Elapsed,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM
39,12.69294,11.53692,9.68303,6.048291,4.52845,3.958887,13.99126,15.22406,10.74918,7.953422,5.502714,4.870944,5.715615,6.334642,8.522795,7.448311,5.299092,3.622546,10.0857,10.26882,5.973125,5.148298,2.706838,3.826326,6.256874,8.970482,7.762845,7.156815,5.103188,3.386175,6.611335,7.917266,7.523561,5.375738,3.172894,3.015985,5.514543,7.734178,8.101971,5.378264,4.88625,2.767079,3.045039,3.279785,3.727464,1.743449,1.745869,1.173992
42,14.00575,12.44399,9.974786,5.962054,4.430817,3.760084,15.53426,16.71953,11.25528,7.780183,5.480307,4.85586,5.916087,6.717376,8.916523,7.514705,5.090174,3.558671,10.75403,11.28182,6.011656,4.942734,2.613932,4.012526,6.385816,9.63339,7.809752,7.028017,4.755381,3.325859,7.127616,8.431536,7.249105,5.121937,3.052566,2.915718,5.661695,7.737729,8.265687,5.208485,4.875111,2.718387,3.305007,3.611255,3.708585,1.74247,1.584399,1.19989
45,16.04754,14.32987,10.59668,5.476603,4.373596,3.768211,16.77573,17.90371,11.54785,7.472965,5.498836,4.674039,5.682198,6.596782,8.951565,7.292129,5.164505,3.539838,11.73968,12.0879,6.050218,4.859958,2.587109,4.286934,6.415378,10.40544,7.664195,6.816186,4.796507,3.854857,7.135378,8.711377,7.107698,5.102968,3.061132,2.966663,5.776105,8.197533,8.325942,5.139556,4.781233,2.717165,3.349291,3.800467,3.785503,1.728781,1.704333,1.10948
48,17.56915,16.59256,11.34014,5.530675,4.28689,3.754674,17.65462,19.37527,11.56012,7.188069,5.436471,4.746503,6.02171,6.842895,9.422455,7.230887,5.03155,3.641061,12.85234,13.49212,6.158815,4.605808,2.438363,3.490441,6.898796,11.26601,8.489916,6.592966,4.733285,3.971566,7.262734,8.659377,6.872185,4.747687,3.042246,2.955304,5.874885,8.495897,8.147149,5.005812,4.655024,2.676198,3.633063,3.749211,3.614586,1.638956,1.675438,1.105033
51,20.24671,18.40199,11.91292,5.716836,4.224463,3.793866,19.14195,20.50236,12.02006,6.791957,5.295397,4.700688,6.206089,6.961882,9.374652,7.473465,5.028257,3.561206,13.38602,13.91671,6.39983,4.648385,2.5397,3.69432,7.280026,12.04821,8.680646,6.296385,4.662634,4.024378,7.31072,9.341196,6.848594,4.705028,2.927396,2.881368,6.026658,8.891947,8.40456,4.858205,4.568392,2.681298,3.900491,3.827078,3.571525,1.623385,1.63284,1.178992
54,22.44566,21.25246,12.03296,5.664533,4.082517,3.774213,19.77145,21.0513,12.66513,6.946918,5.295496,4.674874,6.207257,7.143748,9.463612,7.264805,4.955664,3.552032,14.98292,14.7397,6.629031,4.475236,2.34828,3.766792,8.133065,13.16683,8.78715,6.279896,4.56793,3.224674,7.575681,9.658362,6.752925,4.583227,2.953893,2.887378,6.109085,9.02824,8.727775,4.934455,4.501528,2.604402,4.075543,4.09163,3.55597,1.547119,1.614993,1.150303
57,25.16349,23.7049,13.40763,5.499792,3.944114,3.671966,21.26917,22.34171,13.17668,6.774262,5.239262,4.835198,6.124618,7.253075,9.647913,7.09445,4.924273,3.506497,16.49397,15.98284,6.747326,4.418865,2.577988,3.683477,9.579327,14.48162,9.220768,6.240037,4.437562,3.619776,7.835331,10.10209,6.794204,4.390077,2.899123,2.819928,5.989249,9.227294,9.021017,4.686324,4.47475,2.69126,4.069086,4.078108,3.444283,1.48697,1.653456,1.190169
60,27.29776,27.70932,14.69854,5.664996,3.784692,3.731356,21.94893,23.51481,13.32565,6.732325,5.238449,4.707441,6.287401,7.120074,9.746078,7.068385,4.911707,3.576055,17.85949,17.31222,7.500417,4.346841,2.486122,4.084581,10.30426,15.15578,9.459529,6.052244,4.354247,3.101447,8.116312,10.14582,6.628704,4.445408,2.876314,2.786026,6.423793,9.358321,8.867505,4.659266,4.397536,2.522346,4.251985,4.130214,3.350998,1.489497,1.618719,1.160774
63,31.96556,32.02549,15.66571,5.750693,3.698653,3.713229,23.00949,24.78601,13.35777,6.579656,5.122514,4.779852,6.041704,7.214626,9.826518,7.079896,4.79087,3.568793,19.30093,18.96984,7.484179,4.595922,2.543297,3.917594,11.03005,17.02456,9.674502,5.683692,4.153517,4.881371,7.961535,10.30239,6.529318,4.197693,2.809859,2.844005,6.560922,9.951445,8.437091,4.541106,4.30095,2.563571,4.310055,4.135101,3.413249,1.450374,1.605925,1.114624
66,35.28789,35.8119,16.88236,5.450137,3.727927,3.751776,23.84638,25.95409,13.50927,6.333679,5.143229,4.824553,6.06726,7.357552,10.17375,7.06453,4.805264,3.579257,20.63735,20.05797,7.723524,4.399387,2.511867,3.521847,12.41998,17.89114,10.0336,5.553067,4.178815,2.903578,8.121403,10.60862,6.622186,4.167728,2.810702,2.745886,7.029299,9.939623,8.644056,4.487597,4.217611,2.540269,4.450166,4.347311,3.351081,1.4736,1.598087,1.133313
69,39.90936,41.13094,18.98848,5.30539,3.737966,3.707621,24.46705,26.88052,13.9388,6.440486,5.093263,4.81915,6.041947,7.347908,10.4533,6.758844,4.539384,3.535536,21.7388,21.33556,8.250891,4.402536,2.420251,3.566259,14.32047,20.06236,10.22323,5.28444,4.206267,4.418631,8.283071,10.91744,6.380641,4.166166,2.767815,2.758117,7.126592,10.77268,8.765282,4.347653,4.171379,2.507975,4.477102,4.544946,3.308073,1.402555,1.537149,1.126863
72,44.18066,45.7111,20.0386,5.089226,3.617341,3.729892,25.3523,28.32193,14.21368,6.485292,5.106709,4.691096,6.226561,7.333324,10.49617,6.749109,4.755829,3.501944,23.00827,22.22256,8.440284,4.544574,2.538076,4.030737,15.62369,21.06416,10.61125,5.161486,4.176781,3.571252,8.317178,11.15969,6.40537,3.964047,2.702361,2.837631,7.2624,11.03811,8.845235,4.343017,4.008201,2.48421,4.521621,4.571344,3.292541,1.354774,1.558873,1.120846
75,48.43557,49.91282,21.28979,5.20438,3.466676,3.799701,26.24592,28.68782,14.23512,6.384935,5.055254,4.778296,6.23905,7.402859,10.45832,6.53686,4.666383,3.48305,24.05244,23.06693,8.378412,4.596695,2.490963,4.018741,16.98971,23.20016,10.36708,5.185888,4.167205,3.923482,8.062278,11.4407,6.126507,3.88797,2.676206,2.946692,7.239462,11.56175,8.740265,4.224388,3.932246,2.520154,4.718398,4.451903,3.215562,1.329582,1.543219,1.085517
78,52.9938,54.73848,23.10611,5.121323,3.504562,3.758612,27.28171,29.6865,14.80413,6.370951,4.994468,4.629703,6.133609,7.849513,10.48741,6.605098,4.777462,3.476873,25.31382,24.68921,8.151572,4.624581,2.629108,3.954213,19.22619,24.64367,11.13385,5.137257,4.157091,4.224683,8.05994,11.47653,6.262232,3.828193,2.726468,2.809419,7.626551,11.21373,8.916167,4.09962,3.947862,2.424538,4.687287,4.403227,3.173221,1.300831,1.57521,1.124549
81,56.68681,57.95064,24.64983,5.081752,3.537531,3.606232,27.46437,30.58782,14.63564,6.098773,5.032916,4.602728,6.166025,7.865949,10.78293,6.409824,4.576026,3.539352,26.5517,25.83917,8.341741,4.525718,2.558321,3.759227,20.55338,26.60124,11.1091,5.067305,4.224813,3.826167,8.385743,11.90918,6.092172,3.807668,2.752616,2.847503,7.714745,11.53598,8.722106,3.916319,3.952475,2.497762,4.632548,4.394038,3.082713,1.332071,1.487251,1.1007
84,61.75321,62.13955,26.86087,5.01727,3.475447,3.780867,28.26786,31.35072,15.41186,6.02127,5.003543,4.660897,6.099054,7.937541,10.35782,6.586371,4.587901,3.530072,27.93212,27.77225,8.151959,4.447631,2.427209,4.197329,22.23229,29.15772,11.20563,4.95124,4.097692,3.125038,8.621861,12.32958,6.319907,3.726113,2.65924,2.699167,7.749839,11.48519,8.787931,4.01783,3.870192,2.448615,4.752695,4.506414,3.038224,1.243444,1.505014,1.15591
87,65.38592,65.12408,28.13085,5.099379,3.526893,3.787431,28.92189,32.6889,15.66663,6.03546,5.007452,4.777242,5.856264,8.119907,10.64045,6.54847,4.703594,3.504584,28.48068,28.97933,7.990595,4.591779,2.499044,4.169619,25.03561,31.24153,11.12088,4.847749,3.993427,3.199202,8.590076,12.28401,6.191368,3.684752,2.618819,2.75188,8.015597,11.94053,8.413036,3.870511,3.837526,2.477517,4.749144,4.610999,3.087713,1.236069,1.496098,1.155053
90,68.96525,69.33475,29.86457,4.960535,3.51784,3.7522,29.57632,32.96065,15.73318,5.836535,5.009417,4.737154,5.836391,8.23447,10.96737,6.466073,4.630925,3.378808,29.34751,30.52823,8.091311,4.552701,2.580143,4.182381,27.07686,34.35796,11.69608,4.758523,4.086424,3.748042,8.45952,12.5483,6.203744,3.745933,2.57298,2.731355,8.057651,12.16618,8.725231,3.704548,3.864289,2.41239,4.752733,4.458672,3.147885,1.198417,1.50726,1.096899
93,71.90505,72.01469,32.76429,5.094059,3.454542,3.659742,29.73376,33.83421,15.49848,5.928857,4.977563,4.731691,5.737627,8.543715,10.84355,6.316789,4.549468,3.398301,29.75935,31.46578,8.35011,4.518093,2.452864,3.730059,29.39821,37.02449,12.34157,4.640849,4.029659,3.20839,8.858249,12.50466,6.221173,3.624481,2.582958,2.692399,8.180467,12.57006,8.522302,3.749712,3.875322,2.433151,4.633747,4.521644,3.037496,1.208699,1.462438,1.094706
96,74.60281,73.43654,35.02391,5.015692,3.519237,3.701422,30.51082,34.10472,15.86111,5.855011,4.973199,4.679821,5.948525,8.255822,10.88665,6.302303,4.525506,3.58082,30.24784,31.4613,7.926667,4.272639,2.519288,3.493142,31.01952,39.01578,12.27207,4.602114,4.137331,5.349537,8.97835,13.14955,6.365571,3.676086,2.651652,2.881428,8.391312,12.81891,8.32705,3.571859,3.879411,2.472228,4.844069,4.605201,3.008252,1.195542,1.538416,1.06742
