Elapsed,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM
30,4.983234,5.613937,5.767421,4.26179,1.941413,1.463853,5.18191,5.734128,3.987516,4.898451,4.018725,3.378821,7.0782,7.23404,5.948375,3.693557,3.03378,1.93373,8.287123,8.368322,1.996507,9.830262,4.073853,2.997927,6.079084,8.317717,5.832127,4.879313,1.749993,3.342609,6.658944,10.6993,6.364763,12.63768,5.470457,3.95892,6.447309,8.059901,6.949984,6.380487,2.307914,2.261698,5.719446,10.50505,9.536678,11.09527,5.480513,3.482862,3.883287,3.585094,4.094836,4.972871,2.181917,1.643254,4.07971,5.922203,5.106397,7.382232,2.71749,2.488698,4.043464,5.504756,2.335982,2.789742,1.53841,1.4469,4.867379,4.170895,4.18399,4.657434,1.643408,1.758444,5.667596,2.390444,3.756385,2.145228,2.000434,1.659081,3.224039,5.052498,4.773342,2.702654,3.320483,1.831157,4.018094,3.252943,4.795554,2.79483,1.034985,1.114681,3.682596,4.72856,3.259294,3.945056,1.682727,1.67769
33,5.571698,5.699027,5.701315,4.586446,2.186049,1.687268,5.508956,6.799401,4.684887,5.640809,3.991989,3.287447,7.675627,7.729492,7.097662,3.71565,2.630129,1.754534,9.284873,9.754323,1.912167,9.690248,4.298855,2.98082,6.411611,7.209541,5.608508,4.799805,1.961508,3.082455,6.837371,11.33545,6.485262,12.73393,5.182559,3.874068,7.238582,9.519317,7.512412,6.307467,2.506556,2.350425,6.882273,10.05016,10.08786,10.47245,5.528965,3.751264,3.971724,3.826281,4.042627,5.710876,2.214048,1.727423,4.417903,5.31711,5.727556,6.949097,2.585483,2.344074,4.300067,5.913564,2.622941,2.623231,1.441061,1.429076,5.416798,4.432706,4.51807,4.325352,1.536396,1.647317,5.854099,2.566379,3.915316,2.021706,1.895026,1.593743,3.058587,5.471653,4.54134,2.669089,3.433232,1.732494,4.340547,3.568141,4.831918,3.102327,0.9499802,1.082311,4.155666,5.144163,3.651814,3.893855,1.651927,1.694165
36,6.179079,6.223964,6.383919,5.118962,2.257669,1.746562,6.41173,6.880941,5.025472,6.45506,4.375683,3.592947,8.308566,7.893339,7.964157,3.690211,2.823444,1.730428,9.930377,10.37116,2.023277,10.74442,4.273246,3.157165,6.618806,8.48947,5.395269,4.984652,1.909299,3.340441,7.235013,12.11508,6.953876,13.32917,5.161133,3.750478,8.298886,10.89289,8.603703,6.990224,2.638938,2.738711,7.241415,13.18653,11.17421,11.63584,5.634783,3.720003,4.177161,4.217282,4.250761,6.212969,2.284712,1.885397,4.346403,6.253756,6.337446,7.507136,2.876113,2.360566,4.830604,5.578443,3.063367,2.793174,1.575083,1.473773,5.562718,4.74932,4.514587,4.460432,1.485007,1.563849,6.161955,2.601651,3.82553,2.099831,1.950376,1.390765,3.39813,6.134554,4.644596,2.5995,3.035812,1.690375,5.018183,3.747354,5.659931,3.160955,1.000328,1.031229,4.646013,4.888685,3.782438,4.072897,1.698075,2.051891
39,6.415537,7.255501,6.960278,5.282469,2.214697,1.798941,6.98488,6.769028,5.091663,6.729403,4.933126,3.765366,9.070011,8.344999,7.90611,3.489401,2.842668,1.853249,10.60791,11.48755,1.973698,11.1457,4.351473,3.122678,7.271958,9.364977,5.332612,5.046403,2.223865,3.498535,7.558013,12.19699,6.865252,13.56071,4.906595,3.800432,8.957263,11.66348,8.648264,7.395173,2.6114,2.714946,7.94647,14.19549,12.05302,12.63597,5.446333,3.773219,4.603587,4.665886,4.635018,6.176655,2.351552,1.870646,4.746418,5.740702,6.605659,8.032448,2.978003,2.33897,5.157223,6.127144,3.049077,2.538533,1.483112,1.498887,5.742306,5.286515,5.202909,4.778891,1.503821,1.715369,6.430134,2.546353,4.112113,2.255911,2.017267,1.49846,3.674811,6.311837,4.776022,2.61647,2.852194,1.807614,5.239104,3.691987,5.699266,3.198123,0.9950694,1.132591,4.647976,5.589335,3.817984,4.23596,1.845225,1.813316
42,7.324167,8.328918,7.473708,5.920308,2.410897,1.684895,7.233596,7.848967,5.399315,7.374207,5.032984,3.91576,9.588887,8.854826,8.331171,3.89336,2.884991,1.872268,11.04907,12.17734,1.923555,11.56359,4.041773,3.379248,7.57804,8.717305,6.316396,5.290698,2.198205,3.296462,7.5715,12.37542,7.129555,13.88552,5.042887,3.627502,10.03427,12.93273,10.00497,8.018722,2.475279,2.776613,8.413922,14.90381,13.12136,13.59512,5.26263,3.855236,4.910316,4.530669,4.868266,6.718647,2.346533,1.968183,5.256194,5.941068,7.21777,8.35118,3.048907,2.544953,5.570794,6.053903,3.147519,2.825032,1.404048,1.508704,6.510274,5.01487,5.365289,5.042204,1.5674,1.641376,6.892568,2.83618,3.966312,2.304875,1.951537,1.418457,3.814859,6.570746,4.799019,2.794096,3.030041,1.820214,5.367542,4.509243,6.270743,3.219378,0.9968278,1.156441,5.170471,5.826219,3.546117,4.391407,1.592821,1.797097
45,7.625228,8.836934,8.046106,7.165766,2.304636,1.633181,8.248487,8.730894,5.981377,7.945207,4.945845,3.619274,9.782066,9.842503,8.563224,3.969009,2.968238,1.870083,11.9822,12.93006,2.43287,11.87686,4.275909,3.391591,7.595163,9.221123,6.133051,5.415193,2.19619,3.425685,7.590469,12.58545,6.796294,13.51561,5.332526,3.646522,11.3623,13.97983,10.70702,8.225251,2.725412,2.791586,10.44169,16.34958,14.35767,14.09388,5.22997,3.727498,5.537758,5.598742,5.237379,6.226679,2.3725,2.26233,6.078128,6.717486,8.037603,8.942718,2.929226,2.691369,5.778296,6.463016,3.30044,3.091759,1.474285,1.496104,6.929889,5.525841,5.577145,5.247811,1.522208,1.869929,7.108846,2.965131,4.069466,2.189156,1.843945,1.559427,4.063319,6.71846,4.945145,2.911863,2.938463,1.734833,5.317143,4.541852,6.483589,3.252824,0.9356049,1.175255,5.040599,5.988445,4.133693,4.71007,1.632635,1.806521
48,8.77537,9.803133,8.422067,7.525745,2.416856,1.624269,9.491403,9.786043,7.128241,8.369686,5.054735,3.384506,10.65993,10.12653,9.02161,4.037557,2.930524,2.013426,12.89305,13.43678,2.571723,12.40053,4.123791,3.281557,7.693042,8.763658,6.311821,5.014768,2.233255,3.449912,7.604348,12.44851,7.015355,13.21277,5.518705,3.515505,11.97738,14.61115,10.49241,8.758211,2.556272,2.780284,10.73363,17.02763,15.32629,15.18307,5.189405,3.764836,5.464378,4.767691,6.264836,6.963573,2.3003,2.294393,5.89492,7.445196,7.887433,9.920133,3.212686,2.797835,6.402733,6.69396,3.498313,3.023468,1.479714,1.563507,6.554254,5.685557,5.798596,4.854984,1.476112,1.989473,7.375932,3.025175,3.956785,2.204658,1.788578,1.561032,4.161095,6.986451,4.718504,2.846167,2.876915,1.803516,5.469859,4.521655,6.582014,3.249904,0.8314439,1.2556,5.369933,6.299511,4.493741,4.754084,1.697204,1.727321
51,9.598124,11.18796,9.312258,7.905034,2.591288,1.625789,9.733767,11.59093,8.237373,9.826899,5.061308,3.432702,11.47874,10.9388,9.810457,3.96708,2.99354,2.111304,13.37163,14.10952,2.632536,13.53594,4.146719,3.177311,7.929654,9.038462,6.468617,5.291296,2.237608,3.510998,7.812722,12.95856,7.011753,13.63739,5.289725,3.553885,13.13512,15.32426,11.87778,8.596686,2.639843,2.914697,12.18036,17.88506,16.70277,15.57621,5.292627,4.033903,6.077889,5.399639,6.764334,6.927157,2.414926,2.278037,6.202128,7.541845,9.242702,10.13023,3.09094,2.894005,6.615733,6.942421,3.838608,2.928219,1.375519,1.640215,7.199245,6.159599,6.061619,5.200776,1.391619,1.839472,7.477873,3.284699,4.255968,2.024865,1.903033,1.581707,4.152883,7.167815,5.033001,3.111137,2.954033,1.749361,5.132143,4.711658,6.488728,3.362345,0.9047373,1.203511,5.513514,6.358788,4.660355,4.64755,1.704426,1.804933
54,11.44989,12.1581,10.29478,8.235102,2.732053,1.676853,10.71391,11.83443,8.673462,10.86675,5.021478,3.577684,11.98684,11.45255,9.824919,4.214874,2.956884,2.204283,14.09929,14.77175,2.983603,12.92147,4.481431,3.368014,7.97633,8.945637,6.193335,4.851552,2.121428,3.614118,7.906075,12.84069,7.101146,13.74394,5.210832,3.411003,15.11857,16.01708,12.50572,9.487764,2.510141,2.931104,13.28955,18.71655,17.84654,16.29464,5.177932,3.892609,6.832489,5.713984,6.834196,7.959018,2.26122,2.041613,6.896306,7.954357,8.995062,10.29763,3.193871,2.690993,6.837492,7.415917,3.764597,2.749177,1.503223,1.572505,7.240904,6.270999,6.033278,5.427314,1.355339,1.962925,7.635592,3.496657,4.559539,1.985273,1.723718,1.55422,4.598687,7.029799,4.80858,3.070947,2.908893,1.875973,5.613288,4.568366,6.784104,3.421895,0.9347513,1.164039,5.96468,6.734286,4.483122,4.290251,1.656332,1.881641
57,12.55516,14.35002,11.43678,9.365764,2.75633,1.636408,12.2983,13.6021,9.60601,11.93757,5.531714,3.619376,12.62678,12.15598,10.48565,4.01502,3.042641,2.151408,14.24629,15.22789,3.14518,13.79372,4.203641,3.592111,7.917804,9.170979,6.344548,5.322641,2.272625,3.781465,7.983944,13.31775,7.224308,13.87755,5.156369,3.382047,16.21172,16.19347,12.37364,9.791046,2.458666,2.904778,13.80308,18.73638,17.83621,16.68379,5.067779,3.737588,7.579218,6.643083,7.990637,8.099374,2.401353,2.254989,7.683959,9.306658,10.2705,11.57797,3.165992,2.831434,7.123221,6.928967,3.843883,2.948535,1.454549,1.596765,7.826038,6.248088,6.247593,5.466786,1.446183,1.946313,8.06632,3.572272,4.800488,2.090817,1.651944,1.59755,4.470642,7.214782,5.324775,3.319749,2.826465,1.878432,5.780294,4.851723,6.394879,3.393042,0.8630285,1.240098,5.892769,6.870134,4.557405,4.888686,1.614572,1.743915
60,12.96735,15.21023,12.53751,9.542296,2.971687,1.68329,13.47994,13.58426,11.26429,12.57995,5.560772,3.675238,12.72459,12.73243,10.64246,4.380019,3.001547,2.193492,15.07693,15.4765,3.04329,14.23219,4.291173,3.603379,8.170344,8.817403,6.224288,5.467862,2.335367,3.687616,8.233412,14.10851,7.435055,13.81607,5.216995,3.559434,16.90201,17.21881,13.14427,10.21474,2.667876,2.934024,15.04273,20.12152,19.74138,16.63811,5.431207,3.76475,8.227727,7.741563,8.041036,8.351761,2.319114,1.932074,8.177669,10.08545,11.94404,11.36994,2.968784,2.834268,7.156922,6.738691,4.035439,2.862967,1.494721,1.540391,7.662447,6.750198,6.394948,5.541002,1.393906,2.016858,8.437449,3.841783,5.006778,2.12947,1.769132,1.581604,4.695729,7.126584,5.4162,3.388296,2.727683,2.184205,5.776896,4.671468,6.650578,3.60483,0.8886206,1.224203,6.198355,7.056005,4.499135,4.626789,1.664527,1.711716
63,14.99817,17.32102,13.60749,10.55177,2.980683,1.668419,15.31441,16.03519,12.66185,14.32035,6.171858,3.421076,12.88692,13.03332,11.19981,4.447388,2.947511,2.109938,15.48092,16.2635,2.569196,14.28639,4.454217,3.285774,7.820353,9.043907,6.272041,5.518909,2.492181,3.788038,8.467566,12.85286,7.538465,13.85153,5.300549,3.493533,18.02798,18.28282,14.30915,10.58595,2.623914,3.027941,16.14627,20.81616,19.76791,17.77339,5.330614,3.890714,8.604847,8.474292,8.837855,8.259226,2.469474,1.994902,9.624554,11.61133,11.61787,12.45701,3.079484,2.898052,7.849889,7.455935,4.150869,3.04008,1.566478,1.53532,7.729646,6.941635,6.750505,6.143414,1.455266,1.939416,8.574065,3.562575,4.903094,2.320087,1.711853,1.601631,4.411604,7.831126,5.516178,3.241129,2.83268,1.999016,5.82301,5.050962,7.01655,3.655844,0.8491825,1.240337,6.160607,7.233801,4.572941,4.564285,1.559478,1.658722
66,16.31215,19.82704,15.63823,12.83198,2.938036,1.676392,17.26865,17.84251,15.09532,15.84947,6.259885,3.29373,13.58262,14.18839,11.46494,4.230735,3.011995,2.342725,16.52731,16.67308,2.327206,14.65547,4.346625,3.175603,8.545998,9.254807,6.740944,5.502691,2.636958,3.946064,8.424353,13.86319,6.958417,14.22157,5.261862,3.689818,19.75403,19.31931,14.17801,10.84809,2.68191,2.976587,16.51444,21.60489,21.12306,18.45946,5.54539,3.85737,9.726614,10.13494,9.895634,9.147727,2.513385,2.005863,9.752649,11.96159,13.48805,12.96177,3.111222,2.914168,8.456519,8.239677,3.875433,3.165292,1.49228,1.517257,8.228854,7.572781,6.669359,5.973438,1.44533,1.880856,8.881272,4.147539,5.04374,2.505002,1.764146,1.539452,4.880525,7.902729,5.800354,3.446753,2.844562,1.956693,5.626092,4.925272,6.746323,3.764785,0.9082714,1.349705,6.258519,7.171657,4.755569,4.810714,1.56868,1.670144
69,18.82911,22.99313,18.11119,15.31291,3.249153,1.63902,19.00087,19.98129,17.0116,18.35802,5.916467,3.536027,14.72064,14.16584,10.95116,4.452237,3.090632,2.329153,17.3914,16.79375,2.453016,15.55457,4.461593,3.20811,8.398147,9.24844,6.280543,5.783589,2.619868,4.169324,8.514293,14.13369,6.960039,13.95791,5.300907,3.528617,20.35849,20.8045,14.4379,11.11436,2.615293,3.34797,17.7824,22.5545,21.99724,18.48754,5.413724,3.958817,10.65827,11.88866,11.13899,10.63178,2.480486,1.913226,11.36767,14.12289,15.2822,15.00147,2.824826,2.88791,8.418924,8.331785,4.310004,3.239268,1.38718,1.614111,8.221308,7.459128,7.081529,5.627185,1.351788,1.91227,9.538164,4.069312,5.307071,2.582444,1.631491,1.5709,4.911819,8.146273,5.706147,3.563531,2.907151,2.091414,5.675159,5.155174,6.588296,3.479977,0.8931108,1.270453,6.325376,6.841452,4.954569,4.776654,1.629476,1.66987
72,20.26234,25.16672,19.65684,16.50964,3.383089,1.605131,21.6874,23.49858,20.03712,20.4387,5.848346,3.360723,15.2044,14.91018,11.57338,4.583373,3.07245,2.318824,17.97618,17.2829,2.215585,15.49001,4.188497,2.924054,8.598888,9.254841,6.731008,5.84208,2.45602,4.413567,8.239098,13.78049,6.971307,14.35079,5.230448,3.385052,22.9898,22.30267,15.82147,11.20925,2.616914,3.303223,19.15592,23.89935,23.14791,18.25643,5.147731,3.951868,12.64749,12.29361,11.71969,11.71983,2.625075,2.213997,11.852,15.793,16.21679,15.9074,2.92979,2.707007,8.378275,8.480744,4.242344,3.314132,1.422589,1.54833,8.440743,8.007044,7.559926,5.732729,1.398772,1.932791,9.961825,4.076004,5.345416,2.463823,1.681583,1.599616,5.052498,8.217072,6.099401,3.427512,2.772601,1.875119,5.579262,5.464516,6.880412,3.86828,0.9250027,1.2234,6.041439,7.089911,5.157428,5.00799,1.618191,1.57218
