Elapsed,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM
30,7.761404,7.921401,10.7309,11.9443,7.525305,3.98546,15.9042,15.22662,19.0614,13.83778,5.062972,3.252765,12.39155,11.68163,17.94848,13.79351,7.008516,5.010911,19.33976,15.3273,11.46959,15.55215,4.243297,2.834444,10.91896,10.09702,10.05692,9.009263,4.561032,2.878583,11.60502,8.753445,9.490958,5.74193,3.438593,2.295969,10.52863,10.72434,10.00821,5.730767,5.419967,3.541704,7.728927,5.782669,5.801919,4.442616,3.135502,2.691124
33,8.749393,8.612241,12.31099,12.72814,8.10273,4.377883,16.8837,16.20162,20.37184,14.54479,5.036247,3.560993,12.62712,12.01716,18.41744,13.56003,6.621086,5.277982,22.652,17.13345,12.59723,15.94804,4.342819,2.842472,12.09847,11.31481,9.633701,9.187699,4.471965,3.028604,12.80972,9.117967,10.13151,5.977906,3.48283,2.268076,10.73409,10.52935,10.20994,5.885955,5.306976,3.434541,8.170603,6.258051,5.955354,4.454718,3.064001,2.656478
36,9.75834,9.140313,13.8084,14.51327,7.860553,4.859768,18.31196,17.10501,21.85096,14.78695,5.150491,3.655804,13.26478,12.25969,18.45635,14.07961,6.7369,5.441979,24.41467,18.03967,13.08265,16.41168,4.331377,2.968393,12.69817,11.69007,11.39,9.710506,4.661731,3.117731,13.61095,9.209477,10.22056,5.902262,3.404022,2.420046,11.39473,10.9461,10.65453,5.896775,4.962152,3.748057,8.385394,6.61887,5.883034,4.317597,3.228977,2.738746
39,10.58068,10.07463,15.20147,15.67154,8.174328,4.546061,19.76273,18.1307,22.97222,15.75531,5.211027,3.756594,13.58126,12.65169,18.95261,13.94411,7.453501,5.633801,27.38487,19.90473,14.67902,17.01811,4.144571,2.958833,13.47933,12.91595,12.75796,10.47402,4.885855,3.176537,14.57732,9.435794,10.47395,5.991988,3.574749,2.415524,11.78813,11.33759,10.88146,5.854101,5.29133,3.707963,9.167881,7.033025,6.479663,4.364931,3.269519,2.781056
42,11.64981,10.98336,16.64559,17.6577,8.518228,4.813823,21.26876,18.82258,23.60269,15.80376,5.33496,3.880777,14.29889,12.95803,18.76355,14.41434,8.450603,7.402654,30.52321,20.8215,15.23758,17.23995,4.377618,2.863452,14.9641,13.5488,13.32912,10.46359,4.845783,3.090809,15.06762,9.387815,10.8003,5.867403,3.486048,2.572859,12.21809,11.91322,11.01734,5.813529,5.32546,3.821667,9.393719,6.994874,5.913553,4.599852,3.259966,2.780851
45,12.93334,12.27523,18.71689,19.91861,8.786323,4.603001,22.59447,19.69972,24.51943,16.5325,5.508935,3.867719,14.38879,13.0437,18.73472,14.02845,9.115585,9.153539,30.11467,22.774,16.72162,17.40714,4.418403,2.974941,16.16485,15.15203,14.62997,10.86359,5.025192,3.103458,15.75419,9.846526,10.90854,5.897322,3.503158,2.564034,12.75469,12.07065,11.14703,5.782153,5.414732,3.84412,9.806614,7.22251,6.569291,4.721819,3.296669,2.814184
48,14.80724,14.27438,21.16807,22.34291,8.886165,4.617092,24.24847,20.94732,25.36575,16.41085,5.64032,3.993602,14.81647,12.95605,18.71657,14.22722,10.85942,9.577991,31.57186,24.69315,17.10143,17.84618,4.497286,2.994033,18.07493,16.56101,15.77879,11.64877,4.800514,3.113481,16.54515,9.740608,11.11653,5.950247,3.53398,2.788469,13.72859,11.98104,11.65214,5.626532,5.834297,3.881126,10.13974,7.184935,6.520053,4.827239,3.319819,2.859378
51,17.19708,15.70074,23.58716,24.01432,9.679768,4.735091,25.54123,22.06834,26.65443,16.34766,5.612388,4.065361,14.82466,13.36285,19.06964,13.74345,12.10328,9.073828,33.95465,26.23661,18.59965,18.53497,4.525658,3.043066,20.20658,17.69051,16.37938,12.03436,4.948334,3.071429,16.79902,10.32368,11.06441,6.040733,3.648125,2.780365,14.24399,12.53314,11.74241,5.610332,5.595673,3.690609,10.42191,7.166815,6.389124,4.773941,3.229432,2.804039
54,19.27132,17.61576,26.7646,27.67151,9.422902,4.941361,26.99309,22.85538,27.6538,16.57068,5.65391,4.068594,14.69526,13.52492,19.35375,13.08764,13.1416,8.275186,38.05678,27.74924,19.35935,19.14738,4.560471,3.098913,21.23,19.34805,17.41099,12.83033,4.982039,3.156133,17.42883,10.60799,11.53996,6.211992,3.755357,2.647228,14.59568,12.41285,11.8194,5.491506,5.647535,3.818936,10.71381,7.373729,6.394951,4.930571,3.233962,2.840879
57,21.39339,20.48335,29.27854,32.13258,9.156795,4.831139,27.92123,23.94627,28.37012,17.56112,5.469403,3.974958,14.91958,13.54196,19.3853,13.13842,13.47371,7.717036,42.86877,29.24462,20.33293,19.73132,4.530066,3.163782,24.85387,21.26414,19.04885,13.64371,5.118273,3.243022,17.17361,11.01842,11.74763,6.158627,3.89527,2.639109,14.5078,13.05175,11.96968,5.334436,5.785242,4.043651,10.9231,7.535131,6.550185,4.783745,3.237513,2.836053
60,24.70614,23.00691,33.74874,35.34823,9.786559,5.074619,29.34405,24.78734,29.14647,17.6088,5.706599,3.828846,15.34019,13.86528,19.64448,13.43097,13.39933,6.855233,42.7482,30.66212,20.59921,19.92643,4.601574,3.029317,26.84965,23.58387,21.45793,14.89015,5.341668,3.273169,17.89269,10.705,11.67526,6.178909,3.670524,2.60554,14.8317,13.40116,12.15318,5.473158,5.969968,3.744264,11.16625,7.533584,6.313336,4.857575,3.161331,2.842252
63,27.58873,26.06416,37.92861,39.40315,10.66679,4.983474,30.19061,25.77823,29.46221,17.64486,5.512062,3.950594,15.65703,13.90439,19.79988,13.59863,13.39871,6.464692,45.55159,32.18318,21.76111,20.56331,4.609367,3.081696,30.882,25.7223,22.48091,16.09351,5.462945,3.231754,18.04269,10.96305,11.91352,6.200534,3.939311,2.723653,15.89954,13.78814,12.42949,5.41417,5.997247,4.321756,11.53722,7.426815,6.355767,5.151409,3.222929,2.786989
66,30.59042,28.71604,41.11839,43.34155,10.54289,5.031656,31.30548,26.47268,29.75544,17.7093,5.653651,3.977796,15.92694,13.93915,19.86279,13.87312,13.27672,6.003704,45.67385,33.07962,22.33866,21.09803,4.738726,3.0635,33.37409,29.1755,25.02074,17.99462,5.498145,3.263509,18.00461,11.02503,11.9648,6.306408,3.849227,2.782733,16.54756,14.64146,12.69792,5.526691,5.895395,4.315367,11.40425,7.490978,6.703286,5.136415,3.230608,2.930279
69,34.53648,32.57505,46.53763,48.68355,11.07531,5.360569,33.23723,27.06333,30.77315,18.45984,5.56366,3.984367,16.06098,13.94223,20.04205,13.59202,14.04537,5.777896,45.96257,34.03074,22.59605,21.6577,4.824416,3.08851,34.95033,31.02107,27.61604,19.15659,5.655443,3.206312,18.93901,11.11482,12.64378,6.456421,3.801848,2.783765,16.47928,14.87768,13.50559,5.40854,6.088278,4.118643,11.51756,7.784773,6.959233,5.251387,3.269845,2.952641
72,37.50229,36.23873,50.61155,53.30579,11.01133,5.522867,34.03489,27.80455,31.79475,18.85356,5.597639,3.863788,15.96329,14.09697,20.02235,14.3003,14.50577,5.653326,47.75978,34.354,22.8422,21.88037,4.681368,3.112222,37.9008,34.8194,31.60683,21.44543,5.825753,3.287419,19.73036,11.61174,12.49534,6.496265,4.003906,2.686951,16.97577,15.2792,14.20795,5.375312,6.196611,4.24999,12.14264,7.711133,6.68786,5.250969,3.155291,2.907667
75,40.28002,40.54786,54.30421,57.67813,11.33307,5.835928,34.53529,27.92365,32.23754,18.78647,5.616706,3.846032,16.05126,14.13767,19.84064,14.62092,14.05408,5.515529,48.42043,35.7995,23.68986,22.41863,4.701204,3.068516,42.32755,37.55693,34.10309,22.68882,5.986852,3.352872,19.70745,12.41231,12.44305,6.594369,4.111973,2.848512,18.04205,15.24057,14.44865,5.557726,5.960886,4.712669,12.11707,8.153553,7.214118,5.334034,3.229728,3.024794
78,43.18164,45.7683,56.84729,62.73476,11.93397,5.670489,35.61771,28.29723,32.90396,18.96207,5.715371,3.681048,16.60699,14.38737,20.44779,14.88162,13.49917,5.355955,51.98314,36.54616,24.2292,22.17187,4.857833,3.087834,45.50117,41.728,37.62432,24.1328,6.073649,3.433539,20.05337,12.61397,12.74611,6.792018,4.077289,3.005225,18.05677,15.89225,14.82114,5.50096,6.091216,4.699845,12.26654,8.312315,7.253561,5.515863,3.291145,3.045782
81,46.61102,48.37096,60.16521,67.77316,12.72379,5.574685,35.88991,28.96984,33.99625,18.53849,5.90491,3.768734,16.57822,14.1751,20.34388,14.58245,13.06757,5.372672,52.73092,36.80532,24.80618,22.36656,4.988094,3.085345,49.15355,45.71025,40.85664,25.25857,6.218305,3.723837,21.18996,12.64085,12.85292,6.779984,4.129273,3.411306,19.02715,16.4521,15.392,5.684526,6.129587,4.436317,12.48553,8.254313,7.480605,5.524627,3.200082,3.027677
84,49.26553,51.70796,62.43149,70.77715,13.70559,5.793852,36.78167,29.46644,34.61304,18.67894,5.725638,3.800528,16.97874,14.55863,20.64912,14.58077,12.80867,5.294729,53.29512,38.46004,25.06859,22.67923,5.073451,3.049599,52.2012,49.14814,43.73293,29.56619,6.222683,4.177251,21.09787,13.3041,12.88666,7.062785,4.002153,3.526696,19.079,16.68673,15.71493,5.59546,6.029328,4.692986,12.65967,8.517104,7.372076,5.593647,3.176613,3.017328
87,51.94198,55.04257,64.04807,73.77752,14.56619,5.652597,37.56305,29.93728,34.26326,19.15075,5.67539,4.044335,17.24617,14.2957,20.96462,15.53634,12.43888,5.063996,54.39145,38.48654,25.24591,22.63385,4.987996,3.105408,56.17072,51.64933,47.81803,31.11561,6.318549,4.511096,21.42408,13.60708,13.28056,7.093402,4.072501,3.521414,19.80303,17.18035,16.02417,5.846407,6.08642,5.109668,12.74928,8.946254,7.646021,5.792237,3.329691,2.983941
90,54.52535,57.30326,67.10783,75.05668,14.91912,5.425021,37.63805,30.27141,34.09741,19.63259,5.688845,4.702031,17.40524,14.42351,21.2637,15.48232,11.97932,4.909195,53.58316,38.70834,25.50271,22.85479,5.207172,3.072955,59.67177,54.93203,51.61549,33.38718,6.214283,4.609716,22.58517,13.68693,13.4865,6.88714,4.054282,3.394583,20.47633,17.49732,16.49512,5.810015,5.904303,4.840942,12.94901,8.768135,7.406889,5.794233,3.249419,2.980496
93,57.318,59.60746,68.97077,78.50603,15.4404,5.252426,38.27496,31.34085,34.76637,19.76406,5.751482,4.797965,17.24555,14.46772,21.11745,15.93241,11.96848,5.085455,55.7585,39.03142,25.77104,23.41247,5.387415,3.116577,62.21773,58.54462,54.44609,35.9626,6.112651,4.094786,23.63769,13.91122,13.83599,6.948853,4.260627,3.31088,20.43708,17.97949,16.85119,5.880166,5.858851,4.822519,13.16847,8.747291,7.595531,5.85319,3.173661,2.987257
96,59.39492,62.38965,71.75414,81.04984,16.95244,5.140945,38.92489,31.41244,35.18537,20.56221,5.799932,5.883132,17.75174,14.51877,21.43737,16.02097,11.61225,5.31558,58.19605,38.89347,25.85491,23.24216,5.377756,3.003943,63.61636,60.11952,56.61515,37.60502,6.245584,3.951413,24.11183,13.94513,14.05421,7.114117,4.119978,3.175892,20.80215,17.85812,17.18867,5.908226,5.874588,5.078064,13.07973,8.851966,8.266362,5.966455,3.153204,3.025386
