Elapsed,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM
30,9.299708,10.2944,13.04964,7.700367,9.456386,10.75209,11.643,9.38625,6.604908,6.150004,7.362888,6.434062,7.959666,12.33468,13.61733,12.06394,7.536433,5.194254,8.586288,10.88379,9.777695,9.385055,6.648427,3.136114,8.278398,10.61129,10.45601,9.054475,6.20252,5.040275,8.440265,10.13682,8.1229,5.960804,4.362366,2.582274,10.31511,11.53155,10.45613,10.49707,7.040742,6.275096,12.94847,13.9608,9.079213,5.560994,4.534835,3.090428,5.460299,6.06336,6.721106,5.954845,5.81251,5.536427,5.389549,5.106141,4.670376,4.162837,4.916634,3.32709,6.644176,8.544767,9.441038,7.715766,4.818482,4.228481,8.868912,10.7518,7.42686,7.19182,4.343551,2.324133,7.495715,9.105421,6.712365,5.106362,5.340772,3.626547,7.431572,6.9794,4.955542,4.839055,3.580126,2.779242,5.879179,7.664598,5.759704,5.403584,4.038154,4.244735,7.482312,6.878654,4.49398,4.223906,3.278365,2.650684
33,10.01198,11.36966,14.44266,8.397804,9.924298,11.60283,12.65552,10.24689,7.307796,6.81125,7.841625,6.904621,8.681026,13.53775,14.75608,12.58394,7.842804,5.020692,9.324944,11.90713,10.82354,9.147403,6.931374,2.972591,8.694342,10.93832,10.79189,9.163416,6.369015,4.950113,8.944323,10.81978,8.503314,5.924815,4.153481,2.670062,11.18992,12.24345,10.96669,10.35305,6.964052,6.253534,14.22386,15.17168,9.556995,5.633759,4.336552,3.035794,5.873255,6.190057,7.161857,6.095218,6.098138,5.723749,5.694623,5.217695,4.813992,4.436376,4.948048,3.325707,6.850397,8.7619,9.546838,8.018295,4.932631,4.077815,9.109809,11.45467,7.863088,7.822335,4.69187,2.270542,7.537645,9.09306,6.951827,5.161713,5.184402,3.461829,7.924002,7.043576,4.788588,4.821384,3.932832,2.724182,5.971168,8.040165,5.677601,5.562957,3.954429,3.940823,7.959462,6.533237,4.434413,4.313794,3.146716,2.556408
36,11.20976,11.90148,15.34074,9.107042,11.0399,12.52423,13.81971,10.65305,7.733931,7.274315,8.637678,7.471318,9.716351,14.81891,16.31457,13.24219,8.490614,4.950266,10.52826,13.06512,11.42004,9.587539,7.027493,2.98823,9.51288,11.95731,11.25743,9.286084,6.311188,4.688507,9.517335,11.27592,8.79637,5.853485,4.145337,2.773216,12.38758,13.36014,11.76244,10.68093,7.136333,6.426071,15.46837,16.24921,10.03754,5.720164,4.4766,2.926495,6.295055,6.692389,7.604656,6.585223,6.560554,6.028156,6.092144,5.309922,5.064074,4.756645,4.954877,3.580536,7.287222,9.436411,9.991001,8.132733,4.880064,3.878404,9.480425,12.13265,8.300918,8.134459,4.784729,2.150725,7.761111,9.221123,7.053086,5.081556,5.245198,3.464509,8.224653,7.338355,4.823895,4.716609,3.599093,2.690549,6.295225,8.369328,5.912079,5.580627,3.780663,3.925064,8.001615,6.88374,4.618799,4.430298,3.131846,2.515229
39,11.90745,12.61533,16.73529,9.806547,11.92149,13.82335,15.13105,11.80715,8.667658,8.04952,9.228943,8.237698,10.71533,16.28763,17.60375,13.6913,8.782608,4.924145,11.33164,14.0813,12.78076,10.77565,7.756108,2.957413,10.36484,12.61565,11.95767,9.791814,6.436127,5.039626,10.46564,12.56692,9.508474,5.970023,4.28226,2.836521,13.63467,14.38391,13.23879,10.88934,7.36632,6.68247,17.0272,17.62688,10.82559,6.09083,4.535723,2.92967,6.870407,6.957955,7.973155,7.022918,6.926799,6.413865,6.913908,5.636507,5.173391,4.915541,5.450892,3.74773,8.004807,10.16907,11.21186,8.187724,5.152442,4.008328,10.33408,13.12792,8.480677,8.58646,4.957438,2.18499,8.090649,9.793999,7.225675,5.227085,5.537707,3.538622,8.840657,7.762937,5.039745,4.876769,3.86058,2.675081,6.643289,8.588457,6.005877,5.72718,3.814689,3.956648,8.266891,7.271429,4.501048,4.365695,3.285672,2.522604
42,13.11834,13.60988,18.26827,10.36833,12.54949,14.43749,16.52042,12.14767,9.112351,8.750085,9.603621,8.544665,11.62198,17.80123,18.14918,14.32288,8.511663,4.9208,12.50874,15.41895,13.94217,10.93799,7.496756,2.911385,10.87831,13.41944,12.43659,10.03367,6.379206,4.945623,10.94069,13.26729,10.00953,6.270317,4.210589,2.68471,14.26549,15.36083,13.81153,11.03712,7.092181,6.209622,17.87494,18.51525,11.51451,6.378472,4.532342,3.009503,7.374139,7.141625,8.064305,8.018125,7.134864,6.619608,7.163888,5.891728,5.295888,5.419598,5.715109,3.819657,8.523665,10.83774,11.35692,8.262366,5.299729,3.805469,11.2268,13.58276,9.377287,8.555695,5.052686,2.055971,8.202646,9.852917,7.453493,5.112697,5.3328,3.247036,9.205024,7.979556,5.029894,4.727757,3.817523,2.558269,6.770275,8.731715,5.844299,5.675228,3.836644,3.635561,8.368594,7.429575,4.653081,4.177861,3.290008,2.387064
45,14.34203,14.29402,19.75666,11.57457,13.50605,15.6313,18.26255,13.00721,9.807453,9.638961,10.51078,9.316048,12.71532,19.72783,19.4786,14.76516,8.875263,4.840386,13.47653,17.21803,15.55536,11.53848,7.942457,2.643206,11.89185,14.22867,13.02424,10.2185,6.378814,5.034316,11.77702,13.95458,10.31188,6.375416,4.13704,2.660347,15.84884,15.9698,14.88621,11.80688,7.286197,6.521423,18.88489,19.96044,11.831,6.282472,4.408906,3.050477,7.880108,7.665349,8.550693,8.888015,7.445213,6.999255,8.163601,6.358463,5.594747,5.612844,6.040586,3.961651,9.068029,11.41593,11.85532,9.001737,5.537655,3.927335,12.16228,15.17641,9.737983,9.192492,5.179691,1.961235,8.709571,10.44174,7.801812,5.191727,5.342001,3.385155,9.597406,8.333067,5.127857,4.7646,3.800262,2.418392,7.206007,9.204956,6.029881,5.936065,3.992297,3.626359,9.125225,7.949953,4.771719,4.284565,3.155765,2.44692
48,15.8732,15.09986,21.39024,13.58316,14.69983,17.29186,20.71775,13.75748,10.9381,10.76189,11.03374,9.996346,14.05719,22.52187,22.14552,16.11639,9.350074,5.162874,15.6011,18.95651,17.24657,12.39355,8.073337,3.044775,12.41113,15.05564,13.28166,10.84712,6.440173,5.184932,12.57811,14.41845,10.88391,6.598711,4.125379,2.700332,17.35046,17.36174,15.91889,12.47603,7.232828,6.833103,20.63085,21.44884,12.88719,6.789824,4.558241,3.22817,8.079672,7.744738,8.944647,9.788708,7.782195,7.459674,9.109348,6.420232,5.901425,6.324147,6.487773,4.319803,10.15659,12.23739,13.05836,9.442538,5.871718,4.068117,13.41455,16.24001,10.60197,10.06009,5.717961,1.942062,9.053179,10.72768,8.144599,5.334643,5.605793,3.386162,10.20414,8.78155,5.399809,4.935089,3.83282,2.441935,7.563594,9.553427,6.144046,6.000805,3.982395,3.875314,9.482985,8.289411,4.979137,4.333974,3.255778,2.513129
51,17.74691,16.22666,23.28913,14.86559,15.45593,18.59194,22.6089,14.49663,11.2634,11.83527,11.82593,10.49205,15.83494,24.85625,24.08995,16.87111,9.221242,5.089973,17.18217,20.58935,19.36489,13.34491,7.965353,2.709995,12.61087,15.8319,14.10907,10.84169,6.434267,4.848206,13.36011,14.90733,11.52542,6.776353,4.027159,2.677949,18.45507,18.21588,17.08904,12.645,7.060188,6.718562,22.05117,22.42414,13.44103,7.013153,4.429257,3.089437,9.119215,7.7873,8.98031,11.09967,8.083496,7.629122,9.93584,6.707704,6.273117,7.358944,6.653719,4.326906,11.46068,13.216,13.70798,9.87757,5.730698,4.32846,14.67779,17.35983,11.07036,10.56859,5.441399,1.980919,9.298155,11.07811,8.046602,5.272396,5.457602,3.283777,10.35441,8.794849,5.458694,4.91438,3.740968,2.429336,7.635267,9.912313,6.286911,5.751081,3.994174,3.662229,9.599149,8.390412,5.05803,4.359002,3.346707,2.426741
54,19.91629,16.70721,24.47172,17.33378,16.15864,19.44505,24.67367,15.20598,12.18303,13.09268,12.37813,11.15857,17.95151,28.25241,26.69278,17.71377,9.605089,4.92003,19.68024,22.39087,20.98523,13.97836,8.058347,2.695159,13.59368,16.0902,14.42101,11.32152,6.139727,4.679954,13.88931,15.71209,11.78566,6.67267,3.829097,2.655311,19.93323,19.31451,17.53199,12.69243,6.918672,6.614555,23.48563,23.68348,13.96157,6.846983,4.334998,3.028368,10.04825,7.972711,9.277582,12.59011,8.12587,7.852466,11.38383,6.792247,6.257324,7.911489,6.806009,4.350824,12.29572,14.6281,13.93703,10.28607,5.719702,3.882638,16.10731,18.49314,11.87384,10.28279,5.421988,1.98459,9.562323,11.24144,8.150523,5.205215,5.426734,3.122542,10.85861,9.255302,5.326226,4.98443,3.637832,2.330484,7.808641,10.14653,6.300979,5.681835,3.851446,3.461094,9.877366,8.681931,5.097212,4.324004,3.10202,2.41298
57,22.62697,18.12724,26.11759,19.67453,17.65101,21.26422,28.21323,16.27453,13.11771,14.58842,12.88053,12.27006,20.76187,31.40737,28.61186,19.34693,9.810577,5.231575,22.39485,25.41178,23.17877,15.29235,8.44344,2.902303,14.41965,17.09017,15.50209,11.7831,6.294577,4.910095,14.94586,16.5024,12.434,7.018054,3.999809,2.512036,21.61688,20.38449,18.81219,13.78888,7.30752,6.9808,26.0412,25.65582,14.71072,6.871022,4.305019,3.060823,11.05598,8.524588,9.752716,13.95089,8.745646,8.222827,12.78718,7.011906,7.043611,8.890338,7.071849,4.669368,14.31994,16.41236,15.22652,10.90078,6.260089,4.496644,17.36372,20.20064,12.88823,11.13549,5.488435,2.020938,10.09352,11.72863,8.589909,5.373807,5.488281,3.402261,11.56125,10.22072,5.665702,5.018506,3.742744,2.423258,8.253352,10.49424,6.506484,5.898163,3.930066,3.90398,10.65566,9.183631,5.232258,4.458332,3.226753,2.340865
60,24.42774,18.5691,27.67891,22.60324,18.11102,22.27986,30.58797,16.83715,14.08468,16.33283,13.06009,12.7703,23.48413,34.61037,30.88244,20.34439,9.989483,5.23079,25.14798,27.9324,25.16511,16.01791,8.423296,3.017254,14.88341,17.97664,15.88685,12.12761,6.1449,4.701789,15.62329,17.335,12.80353,7.268868,3.947532,2.59052,22.25325,21.46341,19.52492,13.91958,7.016789,6.822621,26.56747,26.76126,15.02597,7.249558,4.36281,2.913417,12.36241,8.555319,9.844313,14.9011,8.825871,8.55414,13.79664,7.235064,7.00103,9.902292,7.216985,4.805729,15.62541,17.92257,16.78,11.10659,5.946071,3.901504,19.85339,21.948,13.64428,11.94749,5.696091,1.954934,10.11785,11.81349,8.733712,5.391734,5.314292,3.211473,11.56975,10.0454,5.75844,5.028887,3.746483,2.492488,8.342045,10.55693,6.435648,5.660187,3.828909,3.567611,10.83713,9.691563,5.26712,4.381163,3.05268,2.260623
63,27.33369,19.07288,29.50883,25.82633,18.75966,23.29629,34.6294,17.31421,14.67027,18.0783,13.83555,13.2913,26.65128,38.26321,33.64894,21.32628,10.01578,5.078671,28.54262,30.8073,28.53287,17.35286,8.563257,2.945753,15.47387,18.04401,16.17927,12.03973,6.021805,4.578148,16.38725,18.50883,13.08659,7.326028,3.994687,2.554838,23.67848,22.39744,20.15552,14.41485,7.073436,6.454412,28.01645,27.52785,15.67137,7.507768,4.050549,2.798585,13.63279,8.597336,10.24822,16.73572,9.117167,8.843746,15.7273,7.313924,7.087607,11.00828,7.702551,4.965324,17.13607,20.30009,18.43347,11.42822,5.892,3.720481,21.74714,24.87665,15.03169,12.08049,5.613869,1.931255,10.67289,12.27286,9.012425,5.411367,5.247231,3.126741,12.08172,10.49497,5.865759,4.917111,3.586596,2.379142,8.728487,10.80128,6.551624,5.758509,3.822833,3.540295,11.24967,9.571285,5.370854,4.275397,2.970594,2.420065
66,30.65341,19.81507,31.37516,29.25237,19.76009,25.2893,39.31847,17.83453,15.64938,20.64354,14.32967,14.45912,30.8869,43.75977,37.69437,22.62851,10.56202,5.167927,32.47651,34.87802,31.67562,18.43173,9.066305,2.869164,16.40268,18.97644,17.0087,12.63023,5.924559,4.933877,16.85115,18.7921,13.8046,7.497661,4.007577,2.567113,25.09764,23.57671,21.15403,15.03628,7.215686,6.445158,29.43994,28.90823,16.74928,7.885453,4.134051,2.845365,15.45294,8.94055,10.4763,18.92491,9.353061,9.120086,18.43487,7.572866,7.30694,12.65026,8.056265,5.040428,19.4281,22.25077,19.84093,12.32512,6.016222,3.821671,24.60022,27.88205,16.47594,12.87002,5.73249,1.984522,11.07391,12.90968,9.453244,5.377154,5.326158,3.113647,12.62053,11.18394,6.32541,5.025967,3.74971,2.460971,9.177911,11.01462,6.595074,5.790434,3.792887,3.36378,11.47975,10.13781,5.542487,4.301041,2.983944,2.289493
69,35.71841,20.50585,32.51942,34.24849,20.96698,26.84468,44.10562,18.76678,16.72597,23.48078,15.3733,15.58324,34.6414,48.70851,40.83729,24.16813,10.53438,5.185649,37.28363,38.87801,35.07135,19.96721,8.841458,2.906212,17.05727,19.98305,17.6268,13.08256,5.836139,4.788844,17.54005,19.41654,14.17248,7.811049,4.027091,2.582717,26.6466,24.60034,22.07055,15.32853,7.292993,6.611482,30.81573,30.77389,17.43876,8.073458,3.958527,2.768316,17.37342,9.092053,10.7275,21.61484,9.721373,9.439944,21.13191,7.747674,7.613533,14.36433,8.277306,5.215697,21.75779,24.93919,21.83172,13.30478,6.187616,3.953576,28.30177,30.59189,18.17686,13.7123,5.599425,1.945186,11.59342,13.75763,9.515816,5.544485,5.303913,3.092016,13.06519,11.44465,6.385882,5.17264,3.556702,2.411699,9.22983,11.66908,7.036235,5.955699,3.808133,3.638856,12.12283,10.81364,5.624521,4.414967,3.008546,2.362018
72,39.62635,21.02355,34.23893,38.50338,22.20751,28.56679,49.51839,19.56434,17.77386,26.12446,16.02927,16.42795,39.51741,53.02628,44.88039,25.70292,10.96224,5.123436,42.00502,42.44367,38.24628,21.58421,9.882352,2.977252,17.97134,20.77894,18.83103,13.61014,6.180547,4.68178,18.46816,20.15507,14.5859,8.037962,4.008141,2.52047,27.55822,26.13822,22.75943,16.03015,7.147328,6.7307,32.20858,31.43404,18.20492,8.270648,3.986116,2.826653,18.48144,9.291429,11.05627,24.22365,10.4949,9.827053,23.83541,7.937695,7.631273,16.18253,8.865479,5.363018,24.72274,27.70031,23.94492,13.75429,6.56146,3.933856,32.06348,33.73537,20.2501,14.74907,5.848311,1.924869,12.0563,13.96802,9.950504,5.575541,5.307139,3.189466,14.13883,12.48048,6.598472,5.306558,3.688964,2.395514,9.684392,11.73492,7.196395,6.175306,3.836524,3.520285,12.25097,11.40038,5.841193,4.453928,2.985976,2.337245
