Elapsed,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM
30,5.073822,1.938313,8.432986,7.189753,4.774738,4.252577,16.85462,10.27754,8.229697,9.603016,6.096163,2.73159,21.72643,13.76493,10.28355,10.66044,5.997368,3.649157,14.7807,12.43686,10.65588,8.693606,6.728682,4.389554,16.24689,11.09653,9.307467,6.579694,5.829623,2.795989,11.41325,9.163213,6.362847,7.220682,4.828764,2.737296,9.764335,5.194523,5.974445,5.218804,3.831016,3.994649,6.058033,3.820871,4.777303,3.030971,3.193352,2.273767
33,5.187376,1.893059,9.153174,7.744064,4.912549,4.511999,18.53211,10.69272,8.390265,10.03717,6.225528,2.790874,22.37458,13.88339,10.44981,10.75199,6.562348,3.555089,16.5094,13.49954,11.03686,9.327082,6.764231,4.692477,16.90755,12.0548,9.428524,7.113556,6.249279,2.81039,11.90981,9.680162,6.623036,7.384618,4.906972,2.839217,10.06517,5.270091,6.127387,5.406332,4.010622,4.137491,6.515273,4.073085,4.808049,2.994678,3.167667,2.437673
36,5.052925,1.87182,9.740675,8.392488,5.056917,5.003915,19.71572,11.77501,8.825408,10.13217,6.219906,2.843747,23.09818,14.28217,10.71007,10.64352,7.113039,3.518311,17.85183,15.08644,11.95737,9.42206,7.208117,4.699223,17.42303,13.25248,10.26209,7.637979,6.669132,2.736469,12.32306,9.956796,6.781699,7.373441,5.085295,2.918108,10.25983,5.568667,6.294199,5.356608,4.055906,4.325762,6.675006,4.270841,5.046741,3.113534,3.278063,2.437278
39,5.335658,1.865773,10.96118,8.464869,5.382627,5.010289,21.06868,12.49865,9.305381,10.30497,6.365609,2.928693,23.26428,14.46399,10.76008,10.39674,7.751121,3.39673,19.53867,16.67146,12.90815,9.64566,7.43243,4.743871,18.4976,14.20437,11.01846,8.293406,7.095117,2.710921,12.71168,10.18512,6.831976,7.516178,5.313706,2.907022,10.75286,5.920905,6.505795,5.369909,4.09855,4.254625,7.036569,4.251104,4.987085,3.22104,3.343562,2.418961
42,5.295457,1.951835,11.9265,8.992342,5.561998,5.322857,22.54679,13.06535,9.681376,10.7141,6.957397,3.091424,23.90315,14.66452,11.03164,10.86023,8.457479,3.250003,21.5727,17.41652,14.01501,9.814006,8.040768,4.575556,20.33733,15.57365,12.14446,8.669317,7.620981,2.792567,13.12643,10.13843,6.937099,7.657486,5.117051,2.842578,11.26599,6.173817,6.619523,5.55793,4.204795,4.119242,7.325235,4.53597,5.058791,3.319341,3.329926,2.541786
45,5.425962,1.865993,12.80636,9.816297,6.05361,5.213599,24.3575,14.23281,9.855974,10.90181,8.624715,3.06715,23.94947,14.99,11.09398,11.20304,8.442714,3.13126,23.40005,18.62151,15.27068,10.123,8.528258,4.486337,22.48617,16.63288,12.5484,9.254299,7.794941,2.764165,13.93151,10.34907,7.031659,7.75279,5.061924,2.742137,11.87705,6.189175,6.662949,5.348967,4.127452,4.156309,7.609151,4.675648,5.041483,3.321048,3.378056,2.368775
48,6.085221,1.878771,13.96555,10.24314,6.161047,5.316908,25.72987,14.80385,10.20711,11.09961,10.24956,3.224842,24.47607,15.35776,11.08164,11.66055,8.328962,3.095817,25.52751,19.70666,16.04726,10.60714,8.919042,4.331157,23.87985,18.30309,13.66131,9.999794,8.232528,2.900201,14.59505,10.51384,7.024094,7.989753,5.106291,2.825688,12.32082,6.353135,6.815487,5.563287,4.194765,3.915067,7.737767,4.643748,5.074172,3.372965,3.3156,2.430449
51,6.465299,1.839435,15.37766,10.78371,6.571264,5.434847,26.71844,15.16178,10.70704,10.97294,11.51869,4.576231,24.84592,15.46403,11.19666,12.11504,8.216889,3.203944,27.97038,21.41299,17.24931,11.0164,9.140094,4.164663,27.09573,18.43374,14.19861,10.44114,8.683022,2.708971,14.77757,10.71379,7.181179,7.702809,5.07918,2.703606,11.94889,6.439173,7.087241,5.682842,4.156901,3.660562,7.814723,4.707994,5.169339,3.364125,3.403514,2.324537
54,6.839033,1.847456,16.79761,11.35581,7.15494,5.334724,28.30897,15.70331,10.8881,11.23406,10.67127,4.818399,25.17751,15.98995,11.58723,12.75321,8.233833,3.143879,29.43458,22.48243,17.74825,11.04628,9.281297,3.800141,28.85022,19.84307,15.28083,11.01333,8.926206,2.763732,14.9472,11.03848,7.176194,7.791435,5.011844,2.687057,12.18265,6.402441,7.249978,5.942766,4.205896,3.728079,7.943513,4.817981,5.170804,3.470219,3.392375,2.315478
57,7.278137,1.853777,18.08205,12.06801,7.735649,5.329876,29.54969,16.30744,11.44603,11.51865,10.02937,4.014325,25.56795,15.8928,11.69381,13.16333,8.236253,3.022336,31.23143,23.22187,18.42117,11.25462,8.681943,3.768249,30.64848,22.1117,16.3936,11.73538,9.439178,2.685031,15.4051,11.12664,7.265261,8.006758,4.9575,2.762268,12.59057,6.872003,7.278145,6.120892,4.161196,3.566995,7.843117,4.799809,5.180592,3.356021,3.427135,2.202554
60,8.196766,1.880342,19.44188,12.77552,8.028975,5.514505,30.54008,16.68935,11.60763,11.78407,8.913692,5.240437,26.17848,16.30672,11.83438,13.81742,7.830217,2.945023,33.73507,25.05039,19.44547,11.60259,8.136806,3.711863,33.35927,24.04084,17.58771,12.38683,9.790112,2.668542,15.73396,11.01241,7.244637,8.165443,4.839273,2.651735,13.32026,6.773057,7.282,6.202029,4.190045,3.641994,7.808517,4.719354,5.209692,3.321906,3.429912,2.164804
63,9.132012,2.071177,21.18078,13.30997,8.626423,5.447079,31.97899,17.4158,11.80923,12.12894,8.461083,4.282025,26.2794,16.95866,12.06564,14.36448,7.787415,2.944658,35.16758,25.94484,19.98118,12.51081,7.755773,3.599767,37.27919,26.70116,19.79275,13.53487,10.11484,2.726165,15.71723,11.45993,7.387099,8.290424,4.869071,2.567305,14.0364,7.222639,7.451961,6.186148,4.285023,3.626143,7.754483,4.689662,5.057099,3.254844,3.325722,2.246488
66,10.4749,1.973794,23.11771,14.1362,8.773734,5.283484,33.14196,17.89726,11.78416,12.55377,8.271575,4.110425,27.18506,17.64819,12.53598,15.30737,7.565719,2.87469,37.07447,27.05954,20.71146,12.88718,7.635223,3.744924,40.42243,28.03464,20.59628,14.52614,10.57497,2.658018,16.20292,11.54482,7.551749,8.317095,4.771338,2.526831,13.90076,7.698977,7.698302,6.301309,4.356554,3.563595,7.846447,4.76237,5.21102,3.208565,3.186948,2.111522
69,11.93705,2.072255,25.63243,14.90587,9.204303,5.20092,34.33304,18.21094,12.58168,13.05271,8.034134,4.453033,27.25116,18.48093,13.35621,15.47242,7.474307,2.768482,38.23605,28.91095,21.21648,13.44601,7.201075,3.603523,43.90989,30.56063,22.57561,15.33927,11.31438,2.665097,16.50846,11.73059,7.439524,8.414858,4.693047,2.485105,14.42809,8.020885,7.64395,6.42676,4.318379,3.551053,7.808638,4.817556,5.33587,3.267485,3.150913,2.089146
72,14.16018,2.0466,27.95387,15.70533,9.814309,4.976515,35.29308,18.64928,12.65808,13.39023,7.740506,4.379978,27.98236,18.56858,13.79013,15.88821,7.450588,2.855174,39.55682,29.91131,22.7373,13.78755,7.036493,3.511528,48.33217,33.79232,24.78807,16.44278,11.8349,2.655203,16.93963,11.63804,7.633971,8.328787,4.570183,2.452879,14.4137,8.167128,7.923237,6.46718,4.290395,3.501822,7.601685,4.67227,5.291564,3.290887,3.178244,2.064955
75,16.43834,2.031007,30.44025,16.98296,10.42644,4.708162,36.01538,19.08657,12.96254,13.62388,7.329554,4.040746,29.0527,19.38815,14.15982,16.02937,7.238119,2.831326,42.27467,30.65556,22.76271,14.79469,6.616367,3.512127,51.7436,36.48379,26.66808,18.04741,12.69879,2.613409,17.27926,11.97122,7.80646,8.443813,4.659037,2.420517,14.91608,8.336147,8.168615,6.768246,4.27745,3.453328,7.60941,4.7998,5.293879,3.25627,3.068394,2.030119
78,19.06705,1.932433,32.87627,17.99896,10.75713,4.459514,36.55695,19.70421,13.37169,13.93498,6.918964,3.83594,29.68307,20.17753,15.13819,16.89686,7.07743,2.918541,43.18487,30.70999,23.51506,15.41462,6.455078,3.613054,56.37688,39.25824,28.09768,19.41683,13.25943,2.646158,17.67341,12.12113,8.051586,8.601368,4.529209,2.40119,14.77141,8.523174,8.521331,7.039907,4.209591,3.407444,7.658891,4.695498,5.213979,3.227634,3.134985,1.984205
81,21.90215,2.029679,35.15884,19.6008,11.03788,4.416809,37.27124,20.18571,13.16694,14.56741,6.720267,3.865139,30.2491,21.25159,15.93367,17.46931,7.139613,2.951275,44.49756,31.48919,23.89209,15.69825,6.359205,3.584971,60.18384,42.51912,30.30269,20.84813,14.40449,2.623296,17.76623,12.29137,8.339972,8.26159,4.467625,2.353288,14.99127,8.50142,8.600412,7.13698,4.261728,3.362319,7.631551,4.529254,5.245317,3.245981,2.968196,2.100186
84,25.50785,2.122191,37.91405,20.94241,11.8225,4.252334,37.25658,19.96621,13.30599,14.0733,6.667138,3.781877,32.16891,22.79256,16.27887,17.58191,7.145152,3.152119,45.38115,32.31076,24.42961,15.20217,6.477993,3.287874,63.67615,46.50158,32.97901,22.3343,15.37378,2.640187,18.02599,12.35273,8.481647,8.522408,4.438351,2.302229,15.80067,8.747283,8.523289,7.260837,4.280561,3.277805,7.625845,4.51854,5.205124,3.196326,3.119028,2.256246
87,28.62866,2.342931,40.82629,22.07918,12.33184,4.118756,37.74572,20.51261,13.26069,13.4124,6.407532,3.627872,33.13126,23.22501,17.13059,17.92805,6.993834,3.352409,46.31044,32.99818,25.47783,14.77673,6.042327,3.639095,67.42287,49.75707,35.33498,23.8253,15.61147,2.655423,19.15399,12.70363,8.605936,8.466463,4.460371,2.290134,15.3741,8.928937,8.402473,7.400325,4.129303,3.329782,7.496737,4.65796,5.119214,3.111774,2.892006,2.471781
90,31.37304,2.925795,43.88692,23.49458,13.11218,4.046831,38.14398,21.11701,13.76535,13.30075,6.212303,3.74163,34.58171,23.92736,18.21969,17.86608,6.83854,3.039681,47.21255,34.26685,26.03852,14.4418,6.039792,3.906053,70.44516,52.54799,37.53197,25.06632,15.97916,2.593946,19.52731,12.54906,8.782954,8.723283,4.434481,2.342483,16.27203,9.169769,8.754302,7.375854,4.093117,3.17766,7.494855,4.582771,5.139405,3.099763,3.09373,2.290597
93,33.11158,3.494098,45.32529,24.62572,14.38372,3.942224,38.82065,21.5052,13.96823,13.07846,6.168885,3.620034,35.26998,25.15662,18.32768,17.41789,6.691008,2.893061,47.05062,34.84924,26.87262,14.24478,5.802041,3.513447,73.56154,54.26345,40.12975,26.51686,16.61449,2.558905,19.54177,12.60946,9.054025,8.627758,4.38,2.241245,16.28597,9.504699,8.652116,7.47033,4.122884,3.143309,7.389543,4.486185,5.008225,3.103253,3.184512,2.124695
96,35.50305,4.349452,46.90747,25.91227,14.9145,3.934113,39.47092,22.3661,14.2326,13.11023,6.048063,3.572716,36.96303,25.1559,19.02725,17.1705,6.4753,2.809875,48.40256,35.7648,27.9135,14.44151,5.741292,3.314743,75.21471,56.74599,42.9996,28.44633,17.30395,2.463403,20.07808,12.84419,8.874304,8.611156,4.311178,2.276438,16.46578,9.448193,8.835986,7.466097,4.0385,3.341938,7.234689,4.417492,4.90698,3.091818,3.004739,2.152376
