Elapsed,WT UT 0nM,WT E 0nM,WT E/R 0nM,WT E/A 0nM,KO UT 0nM,KO E 0nM,KO E/R 0nM,KO E/A 0nM,WT UT 0nM,WT E 0nM,WT E/R 0nM,WT E/A 0nM,KO UT 0nM,KO E 0nM,KO E/R 0nM,KO E/A 0nM,WT UT 0nM,WT E 0nM,WT E/R 0nM,WT E/A 0nM,KO UT 0nM,KO E 0nM,KO E/R 0nM,KO E/A 0nM,WT UT 0nM,WT E 0nM,WT E/R 0nM,WT E/A 0nM,KO UT 0nM,KO E 0nM,KO E/R 0nM,KO E/A 0nM,WT UT 0nM,WT E 0nM,WT E/R 0nM,WT E/A 0nM,KO UT 0nM,KO E 0nM,KO E/R 0nM,KO E/A 0nM
30,9.643147,11.16641,5.389471,7.660067,5.105517,5.53333,5.369455,2.64656,5.073822,16.85462,21.72643,14.7807,16.24689,11.41325,9.764335,6.058033,11.04997,10.47741,12.32263,10.61159,7.705009,9.042931,7.624283,6.010958,9.621265,11.64116,11.95953,11.93714,8.904391,6.949536,7.139711,6.567599,7.761404,15.9042,12.39155,19.33976,10.91896,11.60502,10.52863,7.728927
33,10.61192,12.06402,5.838167,8.086908,4.768061,5.983619,5.189963,2.909185,5.187376,18.53211,22.37458,16.5094,16.90755,11.90981,10.06517,6.515273,12.85777,10.87499,12.4133,11.44571,8.000392,9.433116,7.850872,6.66593,10.70199,12.50983,12.25892,13.02575,9.702699,7.241723,7.423506,6.886169,8.749393,16.8837,12.62712,22.652,12.09847,12.80972,10.73409,8.170603
36,11.75305,13.10495,5.701622,8.853309,5.299464,6.215581,5.350387,3.037747,5.052925,19.71572,23.09818,17.85183,17.42303,12.32306,10.25983,6.675006,14.21307,11.86406,12.54025,13.12765,8.968197,9.649713,8.06554,6.902369,11.44627,13.29287,12.32857,14.19724,10.04783,7.323627,7.628972,6.788513,9.75834,18.31196,13.26478,24.41467,12.69817,13.61095,11.39473,8.385394
39,12.69294,13.99126,5.715615,10.0857,6.256874,6.611335,5.514543,3.045039,5.335658,21.06868,23.26428,19.53867,18.4976,12.71168,10.75286,7.036569,14.80045,12.91608,12.60744,14.60488,9.730289,10.36648,8.202906,7.094942,12.89477,14.27011,12.64173,15.81591,11.21174,8.244851,7.68959,7.248226,10.58068,19.76273,13.58126,27.38487,13.47933,14.57732,11.78813,9.167881
42,14.00575,15.53426,5.916087,10.75403,6.385816,7.127616,5.661695,3.305007,5.295457,22.54679,23.90315,21.5727,20.33733,13.12643,11.26599,7.325235,17.72202,13.72463,12.9867,15.65995,10.85374,10.72647,8.389537,7.329014,14.53391,15.34285,12.84089,16.65065,12.32901,8.262584,8.132587,7.472387,11.64981,21.26876,14.29889,30.52321,14.9641,15.06762,12.21809,9.393719
45,16.04754,16.77573,5.682198,11.73968,6.415378,7.135378,5.776105,3.349291,5.425962,24.3575,23.94947,23.40005,22.48617,13.93151,11.87705,7.609151,19.88687,14.59099,13.17784,17.28541,12.10872,11.36488,8.423015,7.504438,16.83522,17.06545,13.05047,18.66486,13.01613,8.672405,8.224113,7.641551,12.93334,22.59447,14.38879,30.11467,16.16485,15.75419,12.75469,9.806614
48,17.56915,17.65462,6.02171,12.85234,6.898796,7.262734,5.874885,3.633063,6.085221,25.72987,24.47607,25.52751,23.87985,14.59505,12.32082,7.737767,22.78478,15.66568,13.26256,18.59809,13.6827,11.58316,8.842314,7.768975,18.42078,18.22685,13.10287,20.16396,13.90866,9.203953,8.459724,8.07111,14.80724,24.24847,14.81647,31.57186,18.07493,16.54515,13.72859,10.13974
51,20.24671,19.14195,6.206089,13.38602,7.280026,7.31072,6.026658,3.900491,6.465299,26.71844,24.84592,27.97038,27.09573,14.77757,11.94889,7.814723,26.31114,16.53045,13.55394,20.42198,14.92395,11.92412,9.076848,7.802248,20.98747,19.34228,13.39577,21.31898,15.10649,9.101509,8.441301,8.22626,17.19708,25.54123,14.82466,33.95465,20.20658,16.79902,14.24399,10.42191
54,22.44566,19.77145,6.207257,14.98292,8.133065,7.575681,6.109085,4.075543,6.839033,28.30897,25.17751,29.43458,28.85022,14.9472,12.18265,7.943513,29.01166,17.58844,13.64845,21.50689,16.25211,12.21995,9.238508,7.866237,23.90508,20.20255,13.74317,22.73223,17.15909,9.276076,8.80785,8.56229,19.27132,26.99309,14.69526,38.05678,21.23,17.42883,14.59568,10.71381
57,25.16349,21.26917,6.124618,16.49397,9.579327,7.835331,5.989249,4.069086,7.278137,29.54969,25.56795,31.23143,30.64848,15.4051,12.59057,7.843117,32.77096,17.97481,13.48924,23.52427,18.05148,12.34663,9.6506,7.896961,27.04122,21.48254,13.78892,24.47639,19.13075,9.820045,8.964046,8.597256,21.39339,27.92123,14.91958,42.86877,24.85387,17.17361,14.5078,10.9231
60,27.29776,21.94893,6.287401,17.85949,10.30426,8.116312,6.423793,4.251985,8.196766,30.54008,26.17848,33.73507,33.35927,15.73396,13.32026,7.808517,36.68117,18.91464,13.75802,24.31055,19.61823,13.15404,9.781574,8.038194,30.85805,22.30614,13.55042,25.76786,20.72646,10.04474,9.634202,8.886832,24.70614,29.34405,15.34019,42.7482,26.84965,17.89269,14.8317,11.16625
63,31.96556,23.00949,6.041704,19.30093,11.03005,7.961535,6.560922,4.310055,9.132012,31.97899,26.2794,35.16758,37.27919,15.71723,14.0364,7.754483,40.94017,20.15318,13.71629,26.08822,22.36316,13.15553,10.05645,8.132458,34.91101,23.12038,13.97053,26.99653,23.32084,9.901827,10.08347,8.963137,27.58873,30.19061,15.65703,45.55159,30.882,18.04269,15.89954,11.53722
66,35.28789,23.84638,6.06726,20.63735,12.41998,8.121403,7.029299,4.450166,10.4749,33.14196,27.18506,37.07447,40.42243,16.20292,13.90076,7.846447,46.30447,20.45145,13.39535,27.59176,23.59364,14.16619,9.974687,8.472579,39.57164,24.37904,13.85744,28.13762,26.10462,10.5051,10.27539,8.777817,30.59042,31.30548,15.92694,45.67385,33.37409,18.00461,16.54756,11.40425
69,39.90936,24.46705,6.041947,21.7388,14.32047,8.283071,7.126592,4.477102,11.93705,34.33304,27.25116,38.23605,43.90989,16.50846,14.42809,7.808638,51.45334,21.4905,13.75772,29.23178,26.28587,14.29515,10.27798,8.640089,45.18062,25.50479,13.96678,29.86555,28.49448,10.42318,10.74302,9.037648,34.53648,33.23723,16.06098,45.96257,34.95033,18.93901,16.47928,11.51756
72,44.18066,25.3523,6.226561,23.00827,15.62369,8.317178,7.2624,4.521621,14.16018,35.29308,27.98236,39.55682,48.33217,16.93963,14.4137,7.601685,55.57912,22.5401,14.02137,30.84053,29.28654,14.70975,10.43633,8.613456,49.96651,26.3046,13.94332,30.06417,30.80892,10.6909,10.94053,9.088223,37.50229,34.03489,15.96329,47.75978,37.9008,19.73036,16.97577,12.14264
75,48.43557,26.24592,6.23905,24.05244,16.98971,8.062278,7.239462,4.718398,16.43834,36.01538,29.0527,42.27467,51.7436,17.27926,14.91608,7.60941,60.39029,22.82311,14.29715,32.81474,32.47023,15.29332,11.02423,8.779858,54.59594,26.8012,13.96189,31.33552,32.91488,10.81504,10.81549,9.22567,40.28002,34.53529,16.05126,48.42043,42.32755,19.70745,18.04205,12.11707
78,52.9938,27.28171,6.133609,25.31382,19.22619,8.05994,7.626551,4.687287,19.06705,36.55695,29.68307,43.18487,56.37688,17.67341,14.77141,7.658891,64.177,23.13613,14.11287,33.09313,35.38173,15.67491,11.23208,8.63722,57.9818,27.14347,14.31029,32.37289,37.19549,10.74653,11.18474,9.392809,43.18164,35.61771,16.60699,51.98314,45.50117,20.05337,18.05677,12.26654
81,56.68681,27.46437,6.166025,26.5517,20.55338,8.385743,7.714745,4.632548,21.90215,37.27124,30.2491,44.49756,60.18384,17.76623,14.99127,7.631551,69.78998,23.88516,14.47695,34.1769,38.53698,15.95205,11.68157,8.592892,63.54192,28.32326,14.07182,32.96318,40.07592,10.75449,11.41333,9.24316,46.61102,35.88991,16.57822,52.73092,49.15355,21.18996,19.02715,12.48553
84,61.75321,28.26786,6.099054,27.93212,22.23229,8.621861,7.749839,4.752695,25.50785,37.25658,32.16891,45.38115,63.67615,18.02599,15.80067,7.625845,73.76868,24.75977,14.06805,36.24166,42.15992,16.38417,11.90722,8.709981,65.91946,29.02706,14.1846,33.59302,42.24791,11.2386,12.02202,9.227984,49.26553,36.78167,16.97874,53.29512,52.2012,21.09787,19.079,12.65967
87,65.38592,28.92189,5.856264,28.48068,25.03561,8.590076,8.015597,4.749144,28.62866,37.74572,33.13126,46.31044,67.42287,19.15399,15.3741,7.496737,76.40861,25.5393,14.1701,36.53949,45.49417,16.39411,12.05968,8.769758,69.18546,29.12415,14.16879,34.48067,45.59092,10.93708,11.95237,9.356614,51.94198,37.56305,17.24617,54.39145,56.17072,21.42408,19.80303,12.74928
90,68.96525,29.57632,5.836391,29.34751,27.07686,8.45952,8.057651,4.752733,31.37304,38.14398,34.58171,47.21255,70.44516,19.52731,16.27203,7.494855,78.76928,25.54161,14.2032,36.95457,47.34482,17.16492,12.20468,9.027838,72.22657,29.74425,14.18469,34.47929,47.34733,11.53741,12.22495,9.137461,54.52535,37.63805,17.40524,53.58316,59.67177,22.58517,20.47633,12.94901
93,71.90505,29.73376,5.737627,29.75935,29.39821,8.858249,8.180467,4.633747,33.11158,38.82065,35.26998,47.05062,73.56154,19.54177,16.28597,7.389543,82.57944,26.30938,14.23984,37.46687,50.20876,17.9648,12.33286,9.212786,74.6525,30.36195,14.30291,34.47917,49.74991,11.80611,12.39545,9.297619,57.318,38.27496,17.24555,55.7585,62.21773,23.63769,20.43708,13.16847
96,74.60281,30.51082,5.948525,30.24784,31.01952,8.97835,8.391312,4.844069,35.50305,39.47092,36.96303,48.40256,75.21471,20.07808,16.46578,7.234689,84.45208,26.77798,14.25549,38.44364,52.7111,17.85202,12.39288,9.073555,76.59621,30.77671,14.39439,34.11605,50.96593,11.6404,12.55722,9.232097,59.39492,38.92489,17.75174,58.19605,63.61636,24.11183,20.80215,13.07973
