Elapsed,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM
30,9.621265,9.285857,8.564999,8.143833,6.147585,5.463112,11.64116,12.16285,11.02218,12.31636,8.484651,7.731081,11.95953,13.75167,11.39808,11.81112,8.511497,7.217753,11.93714,10.61214,13.16454,13.04606,9.7132,10.084,8.904391,6.730451,9.235382,7.878043,8.600889,9.239427,6.949536,11.36797,7.908008,8.015855,8.672792,6.369418,7.139711,11.82332,8.541006,10.49537,7.406092,6.384351,6.567599,4.536182,4.608039,3.963516,3.545285,2.778529
33,10.70199,9.431408,8.691854,8.557692,6.113281,5.591719,12.50983,13.13398,11.16277,13.05654,8.453518,7.707575,12.25892,14.06168,11.84246,11.91172,8.040987,7.112038,13.02575,11.73374,14.04559,13.50838,9.929288,9.56255,9.702699,7.046114,9.264717,7.998654,8.900801,10.79365,7.241723,11.79098,7.991635,8.140859,8.694721,6.512496,7.423506,12.15553,8.615823,10.27999,6.865499,6.206081,6.886169,4.518616,4.552238,4.027762,3.447235,2.695343
36,11.44627,10.27983,9.661777,8.559953,6.734305,5.371177,13.29287,14.15022,11.91447,13.45007,8.436233,7.30314,12.32857,14.07393,12.29885,11.50142,7.989176,7.107744,14.19724,12.09396,14.86773,13.74039,10.0782,9.877894,10.04783,7.663762,9.600839,8.113049,9.141216,10.37873,7.323627,12.27755,8.205652,8.171385,8.368481,6.362802,7.628972,12.29457,9.026086,10.09854,6.81501,6.010298,6.788513,4.669289,4.697607,4.171265,3.603933,2.60312
39,12.89477,11.97933,10.59235,8.835979,6.603338,5.445705,14.27011,15.99513,13.2588,13.73564,8.562046,7.162809,12.64173,14.15906,12.46559,11.75251,7.771746,7.197856,15.81591,13.36279,15.51145,13.91311,10.3011,9.91758,11.21174,7.750256,9.451191,8.496389,9.270052,10.31638,8.244851,12.75388,8.449413,7.936016,8.047831,5.909349,7.68959,12.90089,9.119803,9.399745,6.419286,5.645001,7.248226,4.799072,4.663515,4.305783,3.450452,2.470779
42,14.53391,13.47263,11.48872,8.683894,6.852638,5.396149,15.34285,16.71369,13.17143,13.94637,8.510071,7.186574,12.84089,14.08111,12.65897,11.22705,7.111818,7.331655,16.65065,14.11592,16.88285,14.6195,10.67979,10.17093,12.32901,8.70807,10.09523,8.604305,9.68511,9.99248,8.262584,13.55331,8.367062,8.072902,7.86321,5.809348,8.132587,13.02838,9.344944,8.760653,6.334196,5.494382,7.472387,5.020146,4.868494,4.475904,3.530178,2.430047
45,16.83522,15.02725,12.1279,9.40963,6.924442,5.106579,17.06545,17.30084,14.1414,14.21246,8.250102,6.940142,13.05047,14.3653,12.48486,11.26313,7.092522,7.666265,18.66486,15.50062,17.94371,14.57717,10.71921,9.836473,13.01613,9.156536,10.6773,9.259853,9.710187,8.964024,8.672405,14.10473,8.527014,8.083912,8.212724,5.328745,8.224113,12.97785,9.532426,8.090702,6.299002,5.257783,7.641551,5.227379,5.000303,4.347919,3.413166,2.351095
48,18.42078,17.22042,13.24924,9.458982,6.900586,5.100835,18.22685,18.78531,14.72471,13.88141,8.258509,6.67628,13.10287,14.72934,12.53205,11.1225,6.784758,7.735589,20.16396,16.43543,18.16405,14.75911,10.8335,9.594783,13.90866,9.755192,10.46882,9.100386,9.02245,9.255376,9.203953,14.24015,8.629702,8.027139,7.976338,5.398387,8.459724,13.184,9.388962,7.468365,6.083643,5.118158,8.07111,5.295146,5.077935,4.153661,3.395266,2.355261
51,20.98747,19.61321,14.26892,9.445651,6.756933,5.213144,19.34228,20.35576,15.44185,13.72542,8.370105,6.756409,13.39577,14.81261,12.59684,10.61206,6.375875,7.997995,21.31898,17.80083,18.79307,14.4703,10.77599,9.753006,15.10649,10.17285,10.38031,8.589319,8.878304,12.09305,9.101509,14.45884,8.983091,7.834095,7.937335,5.14656,8.441301,13.68015,9.501331,7.274016,5.967085,5.137098,8.22626,5.456283,5.116011,4.253881,3.121555,2.379003
54,23.90508,23.09761,15.86418,9.552199,6.709553,5.27796,20.20255,21.10764,15.90546,13.29269,8.332203,7.018335,13.74317,14.69123,12.61748,10.14588,6.147928,8.49727,22.73223,19.30936,19.48296,14.43624,10.31362,10.1534,17.15909,11.35936,11.15891,8.649438,9.037703,11.94023,9.276076,14.68685,9.070049,7.636332,7.412215,5.067836,8.80785,13.84321,9.269178,6.989326,5.809219,4.940693,8.56229,5.447276,5.01475,4.039289,3.143006,2.276066
57,27.04122,25.82141,17.50838,9.719383,6.970926,5.398919,21.48254,22.13633,16.08026,13.0301,7.903638,7.085299,13.78892,15.00984,12.61815,10.15099,6.11366,8.847459,24.47639,20.96238,20.3697,14.46399,10.61338,10.7244,19.13075,12.33522,11.59148,8.806393,8.63458,9.755685,9.820045,15.02648,8.935653,7.7812,7.397843,4.81075,8.964046,13.9086,9.333813,6.786806,5.693208,4.78719,8.597256,5.594496,5.134123,4.061149,3.122936,2.216501
60,30.85805,29.11145,18.65248,9.55305,7.0695,5.209047,22.30614,23.21592,16.63591,12.81253,7.83399,6.759307,13.55042,14.71937,12.28305,9.721729,5.772273,9.223591,25.76786,21.29214,20.96767,14.69302,10.26504,11.30072,20.72646,12.91101,11.48604,8.604745,8.967673,8.870868,10.04474,15.09691,8.986485,7.50635,7.015459,4.915547,9.634202,14.10787,9.200236,6.463425,5.659282,5.007049,8.886832,5.637877,5.026171,3.950616,3.053522,2.145948
63,34.91101,32.20104,20.31655,9.722533,7.151768,5.167465,23.12038,24.80543,16.7736,12.30872,7.511412,7.046647,13.97053,14.5245,11.93432,9.374833,5.709642,9.354664,26.99653,21.79676,21.8076,14.52573,10.21192,12.153,23.32084,14.45746,12.06807,8.172052,8.981734,10.02515,9.901827,14.95716,9.286153,7.28577,6.748373,4.838818,10.08347,14.4165,9.286692,6.302409,5.581141,4.614808,8.963137,5.657984,5.233039,3.880117,3.116494,2.092181
66,39.57164,36.45742,21.53547,9.340414,7.285407,5.039366,24.37904,25.57833,17.03488,11.76912,7.276711,6.945894,13.85744,15.14887,11.99471,9.178587,5.435667,9.542502,28.13762,23.12954,22.33461,14.04711,10.08926,12.46336,26.10462,15.81431,11.99445,8.341285,8.90933,9.797585,10.5051,15.3529,9.205722,7.508445,6.581203,4.93161,10.27539,14.5829,9.267457,6.091307,5.457839,4.918961,8.777817,5.682805,5.285434,3.705018,3.061922,1.986823
69,45.18062,40.57244,22.70287,9.666095,6.882809,4.999082,25.50479,26.41385,17.43798,11.64624,7.131243,6.997263,13.96678,15.1551,11.73049,9.136663,5.327941,9.702986,29.86555,24.57533,22.14775,13.80503,9.682021,13.58558,28.49448,17.61864,12.71473,8.394955,8.954705,10.78337,10.42318,15.70416,9.090014,7.4273,6.474267,4.850799,10.74302,14.58814,9.047544,5.930671,5.348732,4.977585,9.037648,5.681864,5.354105,3.571654,2.978333,2.011893
72,49.96651,45.69143,24.71847,9.921708,7.098668,5.089051,26.3046,27.20774,17.31405,11.6193,7.131569,6.729775,13.94332,15.27296,11.84564,9.177844,5.233927,9.953289,30.06417,25.63158,22.74638,13.74901,9.458566,14.79502,30.80892,19.02218,13.02921,8.159707,9.357889,10.16552,10.6909,16.13189,9.480972,7.045333,6.481036,4.926716,10.94053,14.64495,8.892242,5.822574,5.193271,4.687469,9.088223,5.683245,5.371033,3.687468,2.969213,2.058521
75,54.59594,49.31213,27.15616,10.07332,6.927038,5.243769,26.8012,27.83108,17.43218,11.0213,6.790827,6.765681,13.96189,15.0187,11.30245,8.971369,4.981061,10.17933,31.33552,26.37338,22.95609,13.31782,9.46594,15.98385,32.91488,20.6307,13.13449,7.897674,9.623761,9.724005,10.81504,16.62545,9.190516,7.101992,6.223366,4.982366,10.81549,14.69167,8.818078,5.887434,5.174407,4.744986,9.22567,5.711214,5.493646,3.452258,2.864386,2.111287
78,57.9818,54.38712,28.82054,9.977904,6.913304,5.293052,27.14347,28.20035,17.26876,10.84135,6.732931,6.884614,14.31029,15.24354,10.88786,8.89483,4.960497,10.0681,32.37289,27.12617,22.53819,13.45846,9.00896,17.17983,37.19549,22.79313,13.78839,8.187213,9.707934,11.57397,10.74653,17.35955,9.598743,6.938571,5.980204,5.097853,11.18474,14.68916,8.866512,5.914038,5.019228,4.451645,9.392809,5.772016,5.388258,3.527386,2.798743,2.04078
81,63.54192,58.05016,30.69016,10.21473,6.49974,5.78317,28.32326,28.97491,17.4415,10.3078,6.486992,6.744905,14.07182,15.09029,10.82325,8.990429,4.737717,10.53687,32.96318,28.22812,23.06959,13.35491,9.175408,17.96935,40.07592,25.09616,14.50103,8.208444,9.717594,10.71725,10.75449,17.48755,9.186289,6.689604,5.779687,5.241333,11.41333,14.73906,8.57994,5.886676,4.784951,4.500701,9.24316,5.777881,5.330415,3.406579,2.726719,2.012751
84,65.91946,62.53053,31.98009,10.42505,6.339939,5.743242,29.02706,29.54444,17.39342,10.1861,6.334476,6.716845,14.1846,15.21272,10.43872,9.010408,4.772059,10.44228,33.59302,28.69227,23.37015,12.89056,9.425724,18.47994,42.24791,27.03478,14.34193,7.955683,9.197018,10.12948,11.2386,17.63087,8.928179,6.871547,5.836923,5.231134,12.02202,14.56209,8.42171,5.690135,4.626812,4.414123,9.227984,5.953965,5.280957,3.228013,2.656053,1.985548
87,69.18546,65.19975,33.46892,9.870193,6.905108,5.589685,29.12415,30.5703,17.37576,10.22367,6.407365,6.731004,14.16879,15.39466,10.95173,8.964662,4.816972,10.66261,34.48067,29.76173,22.79961,13.56035,9.724946,22.06354,45.59092,29.5881,14.89899,8.144098,8.905643,12.60307,10.93708,17.85663,9.37698,6.786464,5.821208,5.144587,11.95237,14.95025,8.566684,5.974377,4.582415,4.285971,9.356614,5.825039,5.0844,3.30006,2.493695,1.989979
90,72.22657,68.01961,35.85954,9.861559,6.447855,5.509208,29.74425,30.93219,16.71033,10.05371,6.355836,6.800745,14.18469,15.20675,10.95534,8.958211,4.676702,10.7863,34.47929,29.9724,22.78927,14.26664,9.541942,21.07051,47.34733,32.64305,15.15407,7.901255,9.053212,12.69488,11.53741,17.92587,9.196085,6.369631,5.812618,5.437033,12.22495,15.02973,8.110636,5.776628,4.499662,4.283854,9.137461,5.869459,5.014045,3.159684,2.485719,1.894888
93,74.6525,69.33968,35.48207,9.315745,6.281459,5.543293,30.36195,31.28046,16.51127,9.840116,6.071578,6.747819,14.30291,15.39103,10.64724,8.68806,4.527774,10.86075,34.47917,30.24972,22.40743,14.8112,10.11226,23.65685,49.74991,35.10259,15.67982,8.158811,9.086918,12.35218,11.80611,18.0498,9.062613,6.624166,5.639994,5.324322,12.39545,15.282,7.870221,5.74671,4.420998,4.361441,9.297619,5.746239,5.155886,3.180869,2.397647,1.924003
96,76.59621,70.10523,35.32771,9.516408,6.217857,5.265819,30.77671,31.42663,16.12206,9.668857,5.805865,6.67943,14.39439,15.59409,10.5519,8.68542,4.367792,10.47725,34.11605,30.21485,22.37264,15.77037,10.33771,24.3303,50.96593,37.28218,16.13843,8.152142,8.848742,12.94451,11.6404,19.02309,9.311443,6.400369,5.429331,4.931587,12.55722,15.33598,7.827311,5.56284,4.398651,3.862309,9.232097,6.062147,5.162965,3.054053,2.40569,1.919761
