Ranking,#Clusters,#Components,GMMweights,mean_test_scores,mean_train_scores
368,6,2,0.5,-2.682627298,-0.605352126
369,4,2,0,-2.686791709,-0.640611172
370,13,2,1,-2.688958784,-0.229024739
371,6,2,20,-2.69159175,-0.354467625
372,2,2,5,-2.692867674,-0.606575484
373,3,2,20,-2.697483324,-0.630109663
374,3,2,10,-2.698780255,-0.590509155
375,8,2,0.1,-2.699976875,-0.439068495
376,6,2,5,-2.703003549,-0.395295034
377,3,2,5,-2.703483901,-0.635205016
378,14,2,0,-2.70487991,-0.341536414
379,13,2,10,-2.708078945,-0.247106714
380,6,2,10,-2.71182503,-0.484343161
381,12,2,0,-2.721695306,-0.396870167
382,13,2,0.1,-2.724152096,-0.414272098
383,13,2,5,-2.729913978,-0.379494334
384,14,2,10,-2.729924623,-0.161349734
385,15,2,0.5,-2.734923359,-0.301698023
386,11,2,0.5,-2.73978212,-0.524162277
387,7,2,1,-2.740414397,-0.397961528
388,3,2,0,-2.741658933,-0.903787233
389,9,2,0,-2.744308104,-0.445148636
390,10,2,0.25,-2.747529867,-0.397166204
391,3,2,0,-2.759414097,-0.81530275
392,15,2,0.5,-2.771852796,-0.275469355
393,7,2,1,-2.771859785,-0.539767331
394,3,2,5,-2.773608172,-0.617563826
395,4,2,0.5,-2.777595006,-0.76365743
396,4,2,0,-2.783722982,-0.64935384
397,6,2,0.5,-2.785741913,-0.476400178
398,3,2,0.1,-2.787133086,-0.804143827
399,4,2,0,-2.788466883,-0.614310933
400,15,2,0,-2.791701962,-0.26634978
401,8,2,10,-2.796216522,-0.286760088
402,11,2,0.25,-2.803908356,-0.385275805
403,13,2,20,-2.807269125,-0.183471035
404,10,2,5,-2.819102058,-0.293182812
405,10,2,10,-2.822129138,-0.1798443
406,2,2,5,-2.825073635,-0.591738222
407,2,2,5,-2.825073635,-0.591738222
408,9,2,20,-2.830824238,-0.245499811
409,14,2,0.25,-2.836237129,-0.311016259
410,2,2,5,-2.840744261,-0.579615499
411,4,2,20,-2.843523567,-0.546715583
412,13,2,0.25,-2.843536111,-0.356137317
413,12,2,1,-2.849505978,-0.372927763
414,13,2,0.25,-2.850093928,-0.364071737
415,14,2,0.1,-2.852058632,-0.300181286
416,8,2,10,-2.853583697,-0.280215442
417,4,2,0.5,-2.854242648,-0.738177401
418,13,2,20,-2.858477106,-0.155287528
419,10,2,1,-2.860548336,-0.328314243
420,11,2,0.5,-2.863123962,-0.361557449
421,2,2,10,-2.865341619,-0.584009397
422,13,2,10,-2.871447872,-0.227132414
423,4,2,0.1,-2.871965079,-0.626359995
424,14,2,5,-2.899802036,-0.277631778
425,3,2,5,-2.901694145,-0.714185008
426,15,2,1,-2.90402666,-0.343185282
427,13,2,0.25,-2.910078324,-0.357458693
428,7,2,0.5,-2.914011533,-0.559335083
429,9,2,0.25,-2.918366501,-0.426781288
430,8,2,20,-2.919072218,-0.26162737
431,14,2,20,-2.921339323,-0.187756888
432,4,2,5,-2.92372892,-0.554759566
433,7,2,20,-2.925101174,-0.370982588
434,8,2,0.1,-2.927131384,-0.545332197
435,14,2,0.1,-2.9285898,-0.321823062
436,4,2,0.25,-2.940023014,-0.666263085
437,12,2,0.25,-2.941322662,-0.40616357
438,2,2,20,-2.957745063,-0.597630223
439,10,2,5,-2.963086247,-0.231918429
440,3,2,10,-2.964481719,-0.646255071
441,7,2,20,-2.974312755,-0.380876592
442,12,2,20,-2.986360191,-0.205290098
443,14,2,0.1,-2.990199459,-0.415344628
444,7,2,0.1,-2.9918833,-0.549595295
445,2,2,0.25,-3.002682818,-0.845213019
446,11,2,5,-3.007050259,-0.364584602
447,9,2,20,-3.011375402,-0.303664733
448,6,2,0,-3.01625115,-0.534830028
449,13,2,20,-3.038810243,-0.200115061
450,13,2,10,-3.044125201,-0.202072688
451,8,2,5,-3.057081542,-0.350113891
452,14,2,0.25,-3.063085376,-0.34752813
453,14,2,20,-3.065746849,-0.172251404
454,3,2,0.25,-3.071445764,-0.77439985
455,3,2,5,-3.074879563,-0.562036719
456,10,2,0.25,-3.078270558,-0.442221716
457,6,2,20,-3.087930168,-0.410300579
458,4,2,20,-3.096208875,-0.492755974
459,3,2,0.1,-3.09626115,-0.778587413
460,4,2,0.25,-3.098435827,-0.761755955
461,12,2,20,-3.107649222,-0.189008142
462,15,2,20,-3.11062995,-0.180989451
463,6,2,5,-3.112286359,-0.427283409
464,4,2,0.5,-3.12679389,-0.684744905
465,7,2,10,-3.127551142,-0.358084775
466,13,2,10,-3.130921868,-0.209811857
467,8,2,10,-3.135126594,-0.263822632
468,3,2,20,-3.137783044,-0.681262891
469,10,2,10,-3.142237722,-0.286224525
470,10,2,10,-3.148782728,-0.194563907
471,14,2,5,-3.155563497,-0.258073271
472,15,2,10,-3.168674046,-0.225102291
473,15,2,0.1,-3.198217632,-0.307503125
474,11,2,0.5,-3.202955738,-0.39170923
475,12,2,0,-3.24237124,-0.34094537
476,10,2,1,-3.259007805,-0.377708002
477,13,2,0.5,-3.260108571,-0.35410106
478,12,2,10,-3.274714685,-0.192084597
479,7,2,20,-3.304092632,-0.360963745
480,4,2,10,-3.304210172,-0.600693354
481,11,2,1,-3.327406905,-0.347877625
482,13,2,0.5,-3.340914823,-0.340733243
483,12,2,5,-3.35073054,-0.284866394
484,12,2,20,-3.352435721,-0.20389891
485,13,2,0,-3.39716375,-0.395109922
486,10,2,20,-3.409432445,-0.269564357
487,15,2,10,-3.423593453,-0.14828912
488,14,2,20,-3.450566584,-0.162580824
489,9,2,0.1,-3.496575355,-0.454197834
490,12,2,0.5,-3.510427315,-0.392728224
491,12,2,1,-3.576657491,-0.269070053
492,11,2,0,-3.592610802,-0.465186307
493,6,2,0.25,-3.615889536,-0.488635522
494,3,2,10,-3.628987711,-0.64808329
495,12,2,0.25,-3.634048611,-0.34256393
496,4,2,10,-3.656150671,-0.569180165
497,15,2,5,-3.671218212,-0.234842169
498,4,2,10,-3.758215797,-0.551925783
499,12,2,5,-3.768434153,-0.262940518
500,7,2,0.1,-3.785711473,-0.481934368
501,8,2,20,-3.802153242,-0.259248341
502,12,2,20,-3.832773405,-0.21629084
503,3,2,0.25,-3.835778594,-0.684205957
504,4,2,0.25,-3.856620199,-0.674451351
505,12,2,0,-3.867162809,-0.414212892
506,10,2,5,-3.905323344,-0.281098828
507,3,2,20,-3.958435309,-0.639544122
508,15,2,20,-3.970122767,-0.096986205
509,3,2,10,-4.072744386,-0.718766779
510,3,2,20,-4.103074373,-0.602922968
511,3,2,1,-4.124508679,-0.608710756
512,10,2,20,-4.267708633,-0.26046299
513,13,2,5,-4.299962,-0.314076868
514,15,2,0,-4.327175651,-0.373863613
515,11,2,20,-4.723797235,-0.187067656
516,15,2,5,-4.815384778,-0.249222364
517,14,2,10,-4.817040466,-0.150727893
518,15,2,5,-5.325748108,-0.244101366
519,12,2,20,-5.707793286,-0.256075198
520,11,2,20,-5.959529629,-0.331130791
