Module,KDeE,KDeEA,KDeUT,KIE,KIEA,KIUT,KOE,KOUT,M10E,M10EA,M10UT,M11E,M11EA,M11UT,M15E,M15EA,M15UT,M4E,M4EA,M4UT,M5E,M5EA,M5UT,M7E,M7EA,M7UT,WTE,WTEA,WTUT
P5_I7_M3,0.036142977,0.045814373,-0.266692229,-0.005674611,0.084531883,-0.119046954,0.017571327,-0.198798034,0.024903091,-0.053096008,-0.22061436,0.03151574,0.111657844,-0.259721535,0.028961121,0.160922774,-0.223827135,0.058940461,0.144311596,-0.257791482,0.078334398,0.18920065,-0.199384309,0.073362487,-0.009756996,-0.204729553,0.424594126,0.504280868,0.004087488
P6_I6_M7,-0.143480643,-0.171005799,-0.013864532,-0.152984509,0.006158688,0.15698825,-0.084167017,0.171939051,-0.219359571,-0.195515902,0.002718149,-0.179867815,-0.18813173,0.014465304,-0.162924857,0.038994373,0.025861071,-0.157505299,-0.043571919,-0.025854623,0.051196728,0.050285018,0.142109036,-0.134982873,-0.160764062,0.060124245,0.399039698,0.408170964,0.505930574
P1_I25_M4,-0.00844394,-0.001073664,-0.002579501,-0.031415711,-0.045278885,-0.011842248,-0.052141356,-0.003064367,-0.030469096,-0.045805225,-0.029439867,-0.03042108,-0.059152706,-0.017378325,-0.058164307,-0.035239984,-0.024052964,-0.069761657,-0.067062761,-0.039014028,-0.091313384,-0.070809794,-0.047141831,-0.062809179,-0.057401036,-0.041732644,0.035442482,0.026595079,0.97097198
P2_I7_M7,0.064416915,0.147176313,-0.307918052,0.031281484,0.233672148,-0.082852268,0.116815989,-0.212419357,0.017772042,-0.014205719,-0.240459192,0.081888388,0.128638271,-0.269906297,0.078900827,0.30562822,-0.256268317,0.042329321,0.201452389,-0.295562441,0.292099546,0.319098689,-0.174578899,0.141069104,0.048914978,-0.180556805,0.001341938,-0.029984455,-0.18778476
P2_I7_M19,0.003831586,-0.018682612,-0.020995822,-0.036930913,-0.056670989,-0.044591103,-0.030915438,-0.043377206,-0.034403093,-0.010851818,-0.031758688,-0.010877626,-0.057269621,-0.020025107,-0.037662521,-0.027915036,-0.047922364,-0.035991534,0.978717546,-0.045634883,-0.072818781,-0.059766474,-0.052150558,-0.039592631,-0.035270171,-0.045295011,-0.021312763,-0.016879617,-0.02698675
P9_I4_M3,-0.13900448,-0.11420149,0.0113581,-0.023664824,-0.089145814,0.439624054,-0.113843319,-0.051730401,-0.182436697,-0.153664948,0.082417522,-0.107671016,-0.049973165,-0.104896029,-0.083244857,0.244588712,0.01889477,-0.174318526,-0.01860322,-0.093129866,-0.140617185,0.264975923,-0.059107176,-0.151703448,-0.083546839,0.13276926,0.010987828,0.636413763,0.09247337
P9_I4_M1,-0.113655273,-0.184349332,0.303949133,-0.03029826,-0.098336836,-0.01018914,-0.106830943,0.203128928,-0.084070805,-0.007864698,0.166734299,-0.147050775,-0.212867681,0.271249383,-0.131260462,-0.359215697,0.282277679,-0.025024419,-0.19589895,0.256335581,-0.148845056,-0.320560571,0.247670383,-0.099955721,0.04353927,0.149633792,0.058423626,0.036483967,0.256848578
P11_I6_M3,-0.143083841,-0.137404484,0.405604912,-0.038443583,-0.152744146,0.238737178,-0.201489664,0.231724075,-0.032012299,-0.053758618,0.220901852,-0.190437093,-0.101365847,0.28511831,-0.132761841,-0.243934624,0.259036324,-0.150124872,-0.163268882,0.264708861,-0.196294982,-0.178865682,0.080961291,-0.118204246,-0.126148287,0.142302648,-0.035537112,0.05616648,0.210618173
P2_I7_M5,-0.189496955,-0.190445434,0.213250179,-0.108264071,-0.116732254,0.194844268,-0.166254431,0.193471596,-0.152427668,-0.143863083,0.175024755,-0.170874578,-0.166213094,0.151211665,-0.190574131,-0.146099872,0.187022164,-0.142151297,-0.132546,0.156496718,-0.152852189,-0.115574492,0.178658082,-0.146485292,-0.112807374,0.182136601,0.172801206,0.314278191,0.424466791
P7_I5_M7,0.30714231,0.144866033,0.067534777,0.2261882,-0.000507485,-0.287633454,0.274903179,-0.011462675,0.227399745,0.244295533,-0.093436758,0.095860412,-0.07946345,-0.023204429,0.111359913,-0.330257731,-0.023928605,0.255744085,-0.086748918,0.052658799,0.003135596,-0.316294924,-0.070950529,0.0901788,0.121771706,-0.181383795,-0.198024362,-0.286157011,-0.233584963
P2_I7_M22,-0.032303062,-0.036372853,-0.015085103,-0.034915469,-0.060393186,0.011310033,-0.040118237,-0.02701517,-0.050542896,-0.04446525,-0.022940669,-0.025367466,-0.047909267,-0.01920855,-0.035559895,-0.015519073,-0.009119009,-0.056702905,-0.048954606,-0.026652499,-0.077004324,-0.079519849,-0.034610289,-0.047936092,-0.066739137,0.976326205,-0.008319881,-0.014841645,-0.009519855
P3_I10_M15,-0.053021432,0.042739036,-0.272861484,0.028029324,0.307149498,0.039726443,0.058992093,-0.099078082,-0.002265836,-0.048993835,-0.15673347,0.064630165,0.105570232,-0.15059669,-0.002997052,0.326362695,-0.197999156,-0.018855999,0.215741138,-0.243880719,0.388809297,0.33766967,-0.066820883,0.112212805,0.08159354,-0.01212513,-0.249074391,-0.277041764,-0.256880014
P4_I7_M4,-0.12395266,-0.025979893,-0.266837859,-0.034252259,0.236730006,0.158417899,-0.022492568,-0.096614342,-0.152459961,-0.198730524,-0.176388327,-0.074917167,0.064267884,-0.214259688,-0.090338501,0.36384178,-0.185658816,-0.131969168,0.13826445,-0.25469456,0.245715935,0.358490914,-0.088657285,0.02480301,-0.071663455,-0.019160987,0.269530093,0.344340417,0.024625632
P2_I7_M10,-0.02747854,-0.003189863,-0.036232164,-0.025347226,-0.02874506,-0.032944178,-0.029438988,-0.019696468,-0.038894972,-0.044831214,-0.042992185,-0.024046079,-0.041637008,-0.013143969,-0.052836983,0.000764381,-0.032778991,-0.052938184,-0.067376696,-0.044433417,-0.065055858,-0.04734732,-0.051818528,-0.045886528,-0.052314617,-0.028634349,0.978270473,0.005744636,-0.034740105
P5_I7_M6,-0.192936079,-0.066483525,0.086765471,-0.097817078,0.067785082,0.45429299,-0.187430376,0.235142199,-0.125609062,-0.207264216,0.247144919,-0.124760981,0.007945691,0.152624312,-0.171054245,0.153168978,0.115915456,-0.235604959,0.043864394,-0.042125428,0.038692091,0.157106652,0.233228928,-0.129545901,-0.158707374,0.311244228,-0.288344181,-0.224539418,-0.052698568
P6_I6_M5,-0.065974267,-0.10458736,0.022851358,-0.006199269,-0.081240129,0.039236211,-0.129522286,0.020260778,-0.097445928,-0.101494365,0.65410666,-0.084619876,-0.11174755,0.039866994,-0.120450641,-0.047652471,0.118692207,-0.094160611,-0.09865514,0.629335245,-0.134812774,-0.094935645,0.023022893,-0.108242041,0.01088666,-0.025082979,-0.055417035,-0.021919426,0.025900786
