Clusters,Gene
20,3898
20,165904
20,113146
20,6181
20,165904
20,
20,23513
20,7153
20,6949
20,6418
20,29127
20,55132
20,
20,11187
20,653781
20,89796
20,246184
20,10653
20,2017
20,27436
20,81030
20,57464
20,27085
20,1063
20,22974
20,51566
20,1832
20,1829
20,4172
20,29841
20,5321
20,63967
20,83990
20,6599
20,113146
20,5284
20,1983
20,51514
20,991
20,57082
20,55740
20,23644
20,5905
20,51514
20,4691
20,57674
20,4288
20,10743
20,991
20,6703
20,54821
20,55706
20,54867
20,5108
20,3149
20,4839
20,54443
20,114787
20,100529209
20,5905
20,55630
20,4131
20,5903
20,7916
20,6696
20,6696
20,65108
20,54869
20,64710
20,161253
20,29028
20,9859
20,9221
20,7175
20,54856
20,4999
20,55040
20,3437
20,151887
20,9382
20,3835
20,23223
20,54443
20,10606
20,1063
20,1832
20,7153
20,1832
20,8899
20,9053
20,
20,27336
20,2355
20,113146
20,54934
20,55355
20,9181
20,1281
20,7158
20,54443
20,91452
20,6696
20,26010
20,346389
20,55765
20,147798
20,4173
20,10199
20,29028
20,9919
20,4172
20,57655
20,54866
20,25791
20,79983
20,5318
20,7158
20,283638
20,388697
20,701
20,9401
20,4131
20,4869
20,143
20,56257
20,10813
20,56243
20,6696
20,54443
20,4131
20,5932
20,11218
20,8517
20,3875
20,8878
20,3371
20,1832
20,7272
20,3159
20,256714
20,6696
20,6238
20,813
20,92312
20,10631
20,1365
20,4288
20,10460
20,55971
20,374986
20,83540
20,83990
20,10973
20,58472
20,4839
20,4288
20,9053
20,5317
20,8833
20,9203
20,3169
20,9053
20,6597
20,54443
20,5321
20,5108
20,6696
20,10155
20,550
20,1829
20,1382
20,9053
20,3978
20,55183
20,1894
20,10606
20,9869
20,79882
20,2801
20,6434
21,51523
21,6159
21,54854
21,54726
21,4082
21,25
21,9295
21,7110
21,2821
21,57530
21,283638
21,57662
21,51474
21,200186
21,8241
21,4082
21,4082
21,3710
21,3226
21,463
21,283450
21,51720
21,3710
21,23152
21,9855
21,26227
21,3309
21,26003
21,3691
21,79007
21,1106
21,5530
21,5782
21,3069
21,226
21,10579
21,5710
21,80725
21,9329
21,147179
21,288
21,22992
21,7942
21,10565
21,4928
21,1501
21,57648
21,5905
21,10486
21,85456
21,6651
21,10432
21,283638
21,5529
21,9053
21,6840
21,10579
21,5007
21,647024
21,90378
21,5585
21,55596
21,1365
21,5058
21,6305
21,11214
21,7159
21,4296
21,64427
21,673
21,9441
21,84307
21,8996
21,65979
21,130271
21,63035
21,5358
21,23405
21,2125
21,8660
21,2316
21,120
21,9891
21,1869
21,9031
21,27332
21,55205
21,3192
21,9320
21,8672
21,11214
21,3059
21,5686
21,125058
21,4131
21,11167
21,10579
21,5932
21,9950
21,6774
21,647024
21,57062
21,10579
21,79842
21,10521
21,2801
21,201134
21,321
21,23112
21,51143
21,1639
21,8572
21,87
21,56288
21,55700
21,125058
21,283234
21,55181
21,2355
21,6297
21,84365
21,92140
21,55785
21,57521
21,283638
21,85456
21,2317
21,9919
21,8878
21,57530
21,29763
21,8569
21,4660
21,27436
21,11196
21,7175
21,2194
21,55902
21,114879
21,3301
21,79838
21,
21,
21,3428
21,11054
21,58508
21,8669
21,10075
21,23381
21,3895
21,51530
21,56478
21,79056
21,57459
21,10971
21,4131
21,4131
21,23086
21,6903
21,124401
21,27245
21,84132
21,27295
21,26750
21,7408
21,4131
21,9908
21,24149
21,6670
21,4236
21,8473
21,10382
21,25909
21,2909
21,23063
21,2580
21,8729
21,54521
21,57122
21,7431
21,9980
21,3181
21,9129
21,10421
21,146198
21,64342
21,4522
21,23424
21,9604
21,4600
21,54812
21,3838
21,10010
21,1829
21,112942
21,55339
21,24149
21,23286
21,5819
21,51474
21,4131
21,8525
21,79080
21,1829
21,9119
21,10617
21,23524
21,286262
21,54477
21,57606
21,51507
21,3326
21,81844
21,54102
21,
21,114879
21,55917
21,23094
21,10514
21,124245
21,11176
21,51222
21,23218
21,10382
21,8408
21,57122
21,3708
21,64207
21,3850
21,80164
21,6728
21,51361
21,163590
21,4905
21,4131
21,23019
21,2936
21,7257
21,10902
21,7175
21,8729
21,9877
21,51574
21,10623
21,28964
21,23196
21,359948
21,57634
21,23779
21,10509
21,125950
21,
21,54477
21,375449
21,55341
21,
21,126526
21,9855
21,57662
21,9100
21,51585
21,203062
21,9203
21,4134
21,8539
21,26003
21,1452
21,5903
21,23152
21,54885
21,5514
21,4296
21,29896
21,5261
21,4650
21,10919
21,10923
21,80725
21,9789
21,10847
21,7159
21,2950
21,
21,5116
21,81545
21,10129
21,157922
21,5707
21,55323
21,3295
21,1912
21,7165
21,27134
21,55108
21,54904
21,547
21,5052
21,9404
21,49854
21,129563
21,3691
21,80725
21,9699
21,5754
21,9704
21,54913
21,55357
21,4926
21,114882
21,5994
21,144100
21,30011
21,55614
21,51585
21,55773
21,23271
21,23469
21,79180
21,80230
21,7307
21,63893
21,54617
21,5928
21,2074
21,22920
21,2182
21,23426
21,9967
21,8295
21,5108
21,1956
21,26099
21,81030
21,1832
21,9181
21,55872
21,9019
21,9688
21,9656
21,5586
21,91754
21,55201
21,4790
21,6238
21,57799
21,2122
21,5284
21,1495
21,1829
21,51599
21,123169
21,9631
21,23
21,79977
21,64343
21,2182
21,55898
21,
21,4673
21,114824
21,8677
21,811
21,253260
21,64599
21,4780
21,6202
21,11273
21,9274
21,91754
21,7353
21,2317
21,287
21,54432
21,5782
21,678
21,23355
21,7086
21,1729
21,9147
21,30011
21,288
21,84464
21,54517
21,22837
21,7155
21,30849
21,54801
21,7163
21,4046
21,30011
21,9774
21,
21,9124
21,127428
21,23131
21,57221
21,9414
21,63893
21,5108
21,6787
21,831
21,23111
21,8241
21,30836
21,5580
21,2120
21,25865
21,6626
21,124245
21,55027
21,9739
21,3183
21,57703
21,55609
21,1173
21,54440
21,25836
21,283489
21,6651
21,92140
21,117246
21,9877
21,9733
21,10179
21,55914
21,92140
21,7884
21,440026
21,283638
21,58513
21,1937
21,1894
21,79784
21,3932
21,56957
21,2962
21,2962
21,11011
21,
21,5819
21,23196
21,4659
21,4298
21,85456
21,23061
21,55139
21,28982
21,10848
21,55746
21,4926
21,54906
21,8899
21,55841
21,11276
21,5836
21,5591
21,1639
21,24149
21,23139
21,54887
21,208
21,9156
21,7155
21,80230
21,23075
21,54880
21,84678
21,26064
21,126353
21,65095
21,5580
21,51552
21,2597
21,55677
21,84376
21,8569
21,9135
21,
21,1822
21,3187
21,57326
21,984
21,5862
21,375056
21,25921
21,26122
21,2064
21,26086
21,92291
21,728
21,9818
21,5707
21,23332
21,54521
21,226
21,8505
21,81565
21,26058
21,92140
21,202
21,27125
21,675
21,283450
21,23786
21,10389
21,23352
21,11140
21,871
21,7249
21,10342
21,201595
21,85021
21,4627
21,55291
21,10142
21,55230
21,79366
21,84790
21,9108
21,84900
21,113146
21,79091
21,196441
21,4026
21,10522
21,4217
21,57122
21,5478
21,27178
21,57480
21,375449
21,23122
21,6605
21,23329
21,5782
21,2597
21,9208
21,23054
21,394
21,23312
21,51105
21,10600
21,4642
21,54801
21,55787
21,2962
21,201595
21,7110
21,6601
21,83939
21,9406
21,23384
21,7739
21,57465
21,65059
21,3619
21,274
21,8085
21,5981
21,23022
21,10075
21,10075
21,2194
21,5905
21,5998
21,57496
21,23513
21,57662
21,155435
21,8445
21,4983
21,151188
21,163590
21,84875
21,57674
21,25885
21,8986
21,84629
21,55102
21,23211
21,63971
21,388115
21,7536
21,6452
21,91603
21,10059
21,4810
21,57524
21,259282
21,57496
21,55700
21,5563
21,9219
21,51163
21,10657
21,121536
21,8603
21,5591
21,220988
21,25963
21,22827
21,9757
21,7515
21,6903
21,57609
21,8729
21,3636
21,90780
21,4134
21,23350
21,23370
21,5546
21,27327
21,55809
21,60312
21,2873
21,10521
21,6449
21,22870
21,642475
21,10250
21,4542
21,8907
21,7458
21,84958
21,4810
21,5141
21,23141
21,5819
21,9958
21,329
21,27445
21,9699
21,200186
21,1627
21,29924
21,23469
21,65059
21,1452
21,26064
21,9019
21,9743
21,51593
21,5591
21,27185
21,1174
21,11214
21,259282
21,2804
21,1736
21,56852
21,10910
21,28988
21,6626
21,9879
21,29855
21,10628
21,84669
21,55763
21,57701
21,4928
21,30836
21,54904
21,8662
21,23352
21,55968
21,5903
21,10160
21,23307
21,5814
21,157922
21,283899
21,7739
21,7071
21,56916
21,50628
21,9972
21,1452
21,10762
21,117246
21,53373
21,51199
21,9921
21,9589
21,11047
21,8241
21,10253
21,79709
21,23122
21,80124
21,4131
21,1499
21,283638
21,65979
21,10771
21,4683
21,285527
21,4173
21,57122
21,10342
21,51307
21,6949
21,4131
21,22985
21,445328
21,7984
21,5591
21,6651
21,55827
21,4791
21,151636
21,9939
21,6574
21,65117
21,3187
21,56478
21,23332
21,9859
21,1192
21,9667
21,55300
21,604
21,56339
21,1314
21,10195
21,90678
21,51592
21,23524
21,10250
21,51585
21,394
21,11216
21,8737
21,1314
21,9774
21,94240
21,55610
21,55702
21,54776
21,988
21,6198
21,8500
21,5451
21,1627
21,23086
21,7011
21,11083
21,51474
21,51474
21,114884
21,
21,84717
21,55081
21,5411
21,200081
21,84433
21,24148
21,55700
21,6181
21,8241
21,84726
21,23053
21,6439
21,55827
21,85379
21,113146
21,51291
21,55057
21,85462
21,64852
21,4134
21,1060
21,9119
21,85456
21,8537
21,26092
21,113146
21,7187
21,114799
21,64857
21,
21,10189
21,6239
21,9101
21,1781
21,57139
21,57606
21,10813
21,57592
21,375449
21,57538
21,85461
21,10075
21,57690
21,3054
21,131544
21,2737
21,65979
21,604
21,7110
21,2886
21,25836
21,57698
21,7249
21,54828
21,9782
21,4926
21,9181
21,8479
21,5469
21,6840
21,57019
21,55596
21,56243
21,10762
21,100506658
21,51780
21,6249
21,9208
21,100101267
21,55095
21,203447
21,89797
21,11022
21,6810
21,84164
21,23307
21,10916
21,23387
21,6949
21,9138
21,4131
21,30850
21,26121
21,11187
21,54477
21,22985
21,7290
21,126353
21,29911
21,8312
21,10075
21,65059
21,64857
21,57509
21,9898
21,23271
21,2969
21,23141
21,283987
21,144100
21,26058
21,23368
21,9217
21,5546
21,55095
21,23507
21,22874
21,55095
21,8479
21,9414
21,23344
21,9043
21,1211
21,4926
21,283989
21,84079
21,22847
21,11104
21,5510
21,800
21,22827
21,54812
21,4790
21,11214
21,5978
21,84079
21,84138
21,9124
21,23064
21,6195
21,9730
21,23404
21,4082
21,1983
21,6744
21,5318
21,25824
21,26960
21,55139
21,118788
21,80347
21,1912
21,55689
21,6242
21,4928
21,8660
21,9755
21,4627
21,23155
21,51280
21,57332
21,57606
21,5339
21,54625
21,1997
21,55697
21,8673
21,4131
21,23185
21,5682
21,3312
21,23524
21,56006
21,10579
21,
21,2036
21,24149
21,80728
21,1936
21,10257
21,23036
21,23030
21,2124
21,5894
21,6774
21,4013
21,3030
21,10644
21,3710
21,51366
21,4086
21,29841
21,57591
21,4087
21,10432
21,10432
21,5317
21,10067
21,22985
