,Ranking,#Clusters,#Components,GMMweights,mean_test_scores,mean_train_scores
388,141,15,1,20,-56.91538215566533,-29.61327164652107
64,142,4,1,10,-56.924050293634494,-36.92923187792956
55,143,4,4,0.5,-56.95367068829448,-23.00679012597142
76,144,6,1,0.1,-56.95722068260225,-39.8581783880571
255,145,11,4,5,-57.130923542945695,-3.688174930315153
370,146,15,3,0.25,-57.19812389406783,-5.102513534402213
127,147,7,4,5,-57.202505655313736,-8.804904721732921
34,148,3,1,10,-57.30921223800501,-36.11111331261487
355,149,14,4,10,-57.38149299672036,-3.2975223703409933
152,150,8,1,1,-57.39294810083426,-36.610594861138104
83,151,6,4,0.25,-57.40454877658563,-8.498588267047806
353,152,14,2,10,-57.41545989963606,-11.555229232869774
297,153,13,2,0.0,-57.434243322081144,-8.682603159452956
128,154,7,1,10,-57.51763535611177,-28.064523008660863
193,155,9,2,10,-57.51882620177654,-10.240950460800914
390,156,15,3,20,-57.85332945280474,-6.38415773023721
149,157,8,2,0.5,-57.90850929350124,-12.595283006337
68,158,4,1,20,-58.02483581854246,-34.606041335603415
352,159,14,1,10,-58.054142202743925,-32.12156553527971
184,160,9,1,1,-58.132519543315745,-35.183165055538105
372,161,15,1,0.5,-58.199451533156754,-33.350537798328574
178,162,9,3,0.25,-58.37086649103601,-8.703512561730992
41,163,4,2,0.0,-58.418810952577836,-20.715347640048698
162,164,8,3,10,-58.49175660000931,-7.958537938493324
145,165,8,2,0.25,-58.52957437433535,-14.667787184732148
182,166,9,3,0.5,-58.778872983738985,-7.941654208598479
148,167,8,1,0.5,-58.80056423731825,-36.134735234721504
213,168,10,2,0.5,-58.90715846522163,-7.8613451042328295
317,169,13,2,5,-58.94204109368549,-8.761328394616545
384,170,15,1,10,-58.99177424118106,-34.72214414399182
227,171,10,4,10,-59.016327510566086,-5.142339916631182
386,172,15,3,10,-59.066121666388675,-7.3998815208027136
316,173,13,1,5,-59.290681251508964,-34.234145237745
374,174,15,3,0.5,-59.40788072779334,-4.431490860114695
377,175,15,2,1,-59.446537866791786,-9.917239684646663
328,176,14,1,0.0,-59.48848760005251,-34.9087168323136
20,177,3,2,0.1,-59.60768810608795,-26.15862232462115
373,178,15,2,0.5,-59.657433970298214,-7.381233935636925
376,179,15,1,1,-59.6709880134096,-32.86430043137966
103,180,6,4,20,-59.79997676871345,-8.65562346194697
180,181,9,1,0.5,-59.83335341927999,-38.03634263624002
116,182,7,1,0.5,-59.846627324095664,-39.39156326324225
293,183,12,2,20,-59.890915366637216,-6.724883319796236
240,184,11,1,0.25,-59.952590590913815,-37.04551687326555
88,185,6,1,1,-59.9838039878253,-37.36742878343506
168,186,9,1,0.0,-60.08352264519203,-38.4835928112342
380,187,15,1,5,-60.10056271180954,-32.80203006321225
54,188,4,3,0.5,-60.10309556264933,-23.063846030187477
172,189,9,1,0.1,-60.158577342714736,-37.63851474602609
72,190,6,1,0.0,-60.20637055659,-40.08569155730703
381,191,15,2,5,-60.37331935647488,-7.0359103756392924
203,192,10,4,0.0,-60.520221208458224,-4.830620645591062
217,193,10,2,1,-60.536376465785054,-10.158167199297344
200,194,10,1,0.0,-60.589684046080706,-34.91998174100007
272,195,12,1,0.25,-60.71735886806344,-36.40494469094976
96,196,6,1,10,-60.76789195212607,-31.380900458547654
111,197,7,4,0.1,-60.91507346509137,-9.013594254850057
194,198,9,3,10,-61.31107373840452,-8.921015310428086
320,199,13,1,10,-61.34917261287834,-35.57352825129078
312,200,13,1,1,-61.458263367171675,-33.88511007186151
37,201,3,1,20,-61.52639014373498,-36.04573495311453
204,202,10,1,0.1,-61.57805233334415,-38.4999434271424
236,203,11,1,0.1,-61.75092894098664,-36.24260386115379
300,204,13,1,0.1,-61.76849243121701,-37.62350141354957
218,205,10,3,1,-61.78792407860097,-4.68170311292247
232,206,11,1,0.0,-61.94683951452181,-38.64177328328639
252,207,11,1,5,-62.02009715479384,-34.71262422796041
265,208,12,2,0.0,-62.23968086523796,-11.05740600581146
156,209,8,1,5,-62.245299063942355,-34.49503996184159
171,210,9,4,0.0,-62.52913775686754,-4.700774866122341
330,211,14,3,0.0,-62.677619679513406,-5.714890870802813
343,212,14,4,0.5,-62.90727597460811,-2.594398774282136
216,213,10,1,1,-62.98774797084006,-34.724305352789635
244,214,11,1,0.5,-63.018804207742825,-34.3944917127696
360,215,15,1,0.0,-63.10956711646882,-34.626357848623954
304,216,13,1,0.25,-63.16962099024281,-35.90478555426194
92,217,6,1,5,-63.34253610796875,-34.78967083053031
44,218,4,1,0.1,-63.400711296142106,-41.82573204137897
166,219,8,3,20,-63.42936331817606,-7.489204798704391
138,220,8,3,0.0,-63.9033789162943,-7.095119851513357
302,221,13,3,0.1,-64.1398779962414,-4.020705845404801
375,222,15,4,0.5,-64.77543163038213,-2.0724085036197577
93,223,6,2,5,-64.87104641347003,-17.766435251670675
309,224,13,2,0.5,-65.03005245485981,-6.873214492084725
104,225,7,1,0.0,-65.20620500195932,-38.95947493493913
109,226,7,2,0.1,-65.34357108755015,-11.121877343089215
140,227,8,1,0.1,-65.35956299803058,-38.18710702516028
288,228,12,1,10,-65.37722239266927,-33.81844644578899
283,229,12,4,1,-65.42348109106344,-2.1616370422020674
256,230,11,1,10,-65.47876928258927,-32.289713751353304
9,231,2,2,1,-65.90752684496661,-37.8392512445876
29,232,3,2,1,-65.91130302677513,-29.966289328818004
45,233,4,2,0.1,-66.13536449978417,-24.491304319379175
129,234,7,2,10,-66.16196626590583,-10.964613986868589
285,235,12,2,5,-66.29223462133393,-12.99848370080338
25,236,3,1,0.5,-66.45629932107666,-39.74729893637323
276,237,12,1,0.5,-66.51549202416881,-35.554295586892174
114,238,7,3,0.25,-66.51804221225566,-13.69343812026239
368,239,15,1,0.25,-66.58212042260497,-37.98239544189719
174,240,9,3,0.1,-66.66951649521363,-6.857908114916162
212,241,10,1,0.5,-66.82915031807241,-37.23824046033516
136,242,8,1,0.0,-66.89752022850624,-38.45192664272066
31,243,3,1,5,-67.14786296329801,-36.92832089704238
120,244,7,1,1,-67.25740152974328,-37.265514465913995
387,245,15,4,10,-67.28305516357888,-2.5280307129888397
199,246,9,4,20,-67.28411449870457,-4.167774833903718
351,247,14,4,5,-67.32579120617157,-5.585313828092181
60,248,4,1,5,-67.53302178135101,-35.08741265356282
383,249,15,4,5,-67.70647448950872,-3.0078642900362973
142,250,8,3,0.1,-67.74975975071571,-10.048654644539319
290,251,12,3,10,-68.03777832845546,-7.697719141209009
84,252,6,1,0.5,-68.09054893658728,-39.527931777407716
245,253,11,2,0.5,-68.1207087736573,-9.804874844267339
69,254,4,2,20,-68.360884270039,-20.939190548822488
176,255,9,1,0.25,-68.66546717526256,-35.37467502651785
296,256,13,1,0.0,-68.75567042195499,-37.31095760957657
346,257,14,3,1,-68.89939724248063,-4.680728301529295
220,258,10,1,5,-69.16402652498718,-33.68489523729683
268,259,12,1,0.1,-69.21365263233103,-35.62496308819667
7,260,2,2,0.5,-69.21972682475432,-36.101019794197185
4,261,2,1,0.25,-69.38674246060901,-41.74581026082087
52,262,4,1,0.5,-69.54039615878284,-40.26788648586898
97,263,6,2,10,-69.91101089915513,-20.155799425002343
280,264,12,1,1,-70.01873170595522,-35.15874135776334
0,265,2,1,0.0,-70.03043247308278,-42.91347717966699
170,266,9,3,0.0,-70.17994634492845,-6.386647532059613
340,267,14,1,0.5,-70.73418229213448,-34.727248286579176
192,268,9,1,10,-70.74911734488778,-30.966140336320876
48,269,4,1,0.25,-70.8336909617897,-41.31670757640139
94,270,6,3,5,-71.10915137006634,-11.872627879144453
28,271,3,1,1,-71.13248065353966,-41.291417224599094
144,272,8,1,0.25,-71.54732703885746,-37.49692829416674
87,273,6,4,0.5,-71.57067212096786,-13.487880360489438
14,274,2,1,20,-71.64529371282445,-41.44178286052979
110,275,7,3,0.1,-71.73542047726028,-6.499946090804589
35,276,3,2,10,-71.82484027160426,-26.414030321268275
181,277,9,2,0.5,-72.09391520660395,-10.216567182239896
150,278,8,3,0.5,-72.36893698954366,-10.732676941684554
325,279,13,2,20,-72.58340340680577,-8.725514191361107
369,280,15,2,0.25,-72.8051053850311,-7.041909272796843
327,281,13,4,20,-72.89955589547077,-3.615217239867744
122,282,7,3,1,-72.99526568896758,-10.815508573297548
2,283,2,1,0.1,-73.00917289577956,-42.74286770703885
112,284,7,1,0.25,-73.02097185255032,-37.0635963331889
12,285,2,1,10,-73.11585680773103,-41.42408927929657
308,286,13,1,0.5,-73.23698640913469,-36.32231976763732
6,287,2,1,0.5,-73.46072614819046,-41.519667130256884
10,288,2,1,5,-73.54783844669136,-41.65350806796614
305,289,13,2,0.25,-73.55593973298777,-7.225959020537135
19,290,3,1,0.1,-73.6834248279982,-41.85739900660472
22,291,3,1,0.25,-73.68725050601867,-42.0141586413316
46,292,4,3,0.1,-73.79033688531423,-24.147911559094357
38,293,3,2,20,-73.85172963474929,-26.6489702613383
56,294,4,1,1,-74.59579510405631,-40.47671678659243
169,295,9,2,0.0,-74.6765355279578,-15.577231439201165
16,296,3,1,0.0,-74.72892258135171,-42.65328327981359
344,297,14,1,1,-74.74500506506189,-34.343319380445884
341,298,14,2,0.5,-75.27278017220604,-6.238950039255849
49,299,4,2,0.25,-75.36676971513916,-23.032718298037157
26,300,3,2,0.5,-75.65555277238667,-31.463882928930957
246,301,11,3,0.5,-75.9868480641114,-4.066254993311964
47,302,4,4,0.1,-76.15204720258373,-19.551066722484283
329,303,14,2,0.0,-76.86792628883006,-8.986258360636104
53,304,4,2,0.5,-77.17310759586516,-25.545964386549134
8,305,2,1,1,-77.35667484618975,-43.11111662666002
102,306,6,3,20,-77.38235272063224,-10.797329742233568
11,307,2,2,5,-77.560517813504,-35.981319485066614
214,308,10,3,0.5,-77.7652854333513,-6.287831279157242
154,309,8,3,1,-78.04509933936359,-6.7332325818207766
273,310,12,2,0.25,-78.37808568813755,-8.404818011088736
73,311,6,2,0.0,-78.97227494436814,-15.084403503793515
262,312,11,3,20,-79.18691989894702,-6.5782262555581585
40,313,4,1,0.0,-79.44166525204172,-41.355407576434274
113,314,7,2,0.25,-79.62467692242248,-16.582238046337455
345,315,14,2,1,-79.88506769786152,-7.842771077392557
318,316,13,3,5,-80.12272589538694,-6.875356495796396
354,317,14,3,10,-80.18249155357857,-7.558179156378702
251,318,11,4,1,-80.41577163737773,-3.1923924926718557
58,319,4,3,1,-80.62270026706139,-25.890832446942152
234,320,11,3,0.0,-80.72593589245025,-7.732679944653621
157,321,8,2,5,-81.07971874705757,-12.482956483599711
85,322,6,2,0.5,-81.59356125371653,-14.566721117583189
226,323,10,3,10,-82.08559165463569,-6.226948628056932
248,324,11,1,1,-82.43479987720772,-34.729966127929224
366,325,15,3,0.1,-82.46567098522613,-2.919882276982256
337,326,14,2,0.25,-82.77966029500612,-7.555651248833565
23,327,3,2,0.25,-82.81161740244862,-28.16984112715785
175,328,9,4,0.1,-82.95072312165274,-3.4065591914578826
173,329,9,2,0.1,-83.78095759309957,-13.921658368087213
59,330,4,4,1,-83.8388788576415,-22.241632690438042
367,331,15,4,0.1,-84.51518197197413,-2.554205447202152
301,332,13,2,0.1,-84.5920470271538,-9.869113235052248
311,333,13,4,0.5,-84.66070319445193,-3.250576741016032
187,334,9,4,1,-85.53503809835237,-6.536429472148012
190,335,9,3,5,-86.26303830822728,-8.755680571583031
365,336,15,2,0.1,-87.32286304449111,-9.083007192306917
133,337,7,2,20,-87.40449062116805,-11.832017182971445
24,338,3,3,0.25,-87.73581316149838,-23.80812599256877
185,339,9,2,1,-89.10361251358748,-12.064736211510738
123,340,7,4,1,-89.77143072778031,-10.063014566654928
90,341,6,3,1,-89.91493379306779,-11.981457459850702
125,342,7,2,5,-90.28039795825859,-15.838918991238154
81,343,6,2,0.25,-91.20298885345198,-16.027199378509064
27,344,3,3,0.5,-92.51533758365255,-25.773933371460913
131,345,7,4,10,-93.09731889321684,-5.944575638390065
267,346,12,4,0.0,-93.24759373566138,-3.1334826129806794
121,347,7,2,1,-93.66544181524803,-11.45715653685935
310,348,13,3,0.5,-93.70970004674956,-4.620884401101831
235,349,11,4,0.0,-93.72970331855456,-2.9739172156367166
89,350,6,2,1,-94.35955511609447,-18.87660556741553
13,351,2,2,10,-94.53027806580363,-37.14008173961798
250,352,11,3,1,-94.75751410049102,-4.179303759882184
282,353,12,3,1,-95.03613931449904,-6.270971216550668
95,354,6,4,5,-97.56859527656434,-9.832712465402556
186,355,9,3,1,-98.04062431597761,-6.1094614316313365
189,356,9,2,5,-98.7349222884044,-15.054619306890856
78,357,6,3,0.1,-98.78895246286302,-13.812840134332285
42,358,4,3,0.0,-99.29161550158233,-19.572545631332083
243,359,11,4,0.25,-99.453925332675,-2.924211569550384
242,360,11,3,0.25,-100.85562319234307,-4.872833437910043
15,361,2,2,20,-100.9888791968974,-34.338966111977584
77,362,6,2,0.1,-102.37165612956665,-15.064451157835157
82,363,6,3,0.25,-104.65630996493682,-10.417477938046655
210,364,10,3,0.25,-105.51743500314952,-6.224411794265296
314,365,13,3,1,-106.73555511037004,-5.007068104522279
158,366,8,3,5,-109.72680920675948,-9.779803734589311
30,367,3,3,1,-110.76710566039306,-25.857769851376418
307,368,13,4,0.25,-110.78021796834062,-3.654063111995711
105,369,7,2,0.0,-112.25023630042702,-15.872976672727635
107,370,7,4,0.0,-113.38528724072744,-6.812238891685465
70,371,4,3,20,-114.38939973993442,-16.314137890162627
74,372,6,3,0.0,-114.77049964229403,-12.184216610434472
86,373,6,3,0.5,-115.48576116915444,-10.99323567268857
286,374,12,3,5,-115.60105901031775,-6.269827477354427
195,375,9,4,10,-117.01033917714967,-5.047765818666129
147,376,8,4,0.25,-117.76650341125062,-6.561933924036815
5,377,2,2,0.25,-119.52073396292153,-37.55057349778333
75,378,6,4,0.0,-120.47039990211162,-11.24099536159869
266,379,12,3,0.0,-120.60046914469055,-6.3927144275175944
43,380,4,4,0.0,-121.77173104256545,-18.213640091491712
274,381,12,3,0.25,-128.5750948141325,-5.929428654262784
118,382,7,3,0.5,-129.8141431340461,-8.576427298096124
211,383,10,4,0.25,-131.67800072455992,-2.167448537596932
334,384,14,3,0.1,-135.9388426134355,-5.93239240627287
115,385,7,4,0.25,-137.17006291770912,-7.7177649559781285
50,386,4,3,0.25,-140.36256969433063,-16.934901293241857
349,387,14,2,5,-157.06016362208337,-9.523974373781444
331,388,14,4,0.0,-187.74502442049862,-4.054565036049136
139,389,8,4,0.0,-204.28972064522196,-4.3075597411566235
143,390,8,4,0.1,-240.17500503322617,-5.8272104902101365
119,391,7,4,0.5,-291.5488046232764,-8.154168246967426
51,392,4,4,0.25,-297.75809850225585,-17.499636252195607
