,Ranking,#Clusters,#Components,GMMweights,mean_test_scores,mean_train_scores
286,243,12,3,5,-73.07760679904838,-6.16290680392284
14,244,2,1,20,-73.0849896573595,-41.210912784170645
168,245,9,1,0.0,-73.69344630445029,-39.827359366152194
8,246,2,1,1,-73.70661615959453,-41.50599407429006
4,247,2,1,0.25,-73.7213180873528,-43.822167423561694
294,248,12,3,20,-73.73517421477291,-3.937566514400757
345,249,14,2,1,-73.76223277509241,-5.5585540128106175
232,250,11,1,0.0,-73.96806104964219,-37.72524114548709
164,251,8,1,20,-73.97076951627105,-28.408840096927623
19,252,3,1,0.1,-74.02149269462042,-43.15751069630261
16,253,3,1,0.0,-74.0223931756992,-43.47894778949461
261,254,11,2,20,-74.05020939778753,-7.4269592157489885
358,255,14,3,20,-74.19958973713446,-2.832826258116226
76,256,6,1,0.1,-74.28224766675405,-42.359897399516996
240,257,11,1,0.25,-74.29890284910972,-37.29554080937293
230,258,10,3,20,-74.70583130519832,-4.918722604630712
40,259,4,1,0.0,-75.11279596693495,-42.36333251014425
20,260,3,2,0.1,-75.21838118788219,-28.594404709589934
311,261,13,4,0.5,-75.50559861473805,-3.3551340917628507
201,262,10,2,0.0,-75.5342390526543,-10.48811067644589
263,263,11,4,20,-75.55078700306652,-2.633435484854762
332,264,14,1,0.1,-75.66462620276424,-34.43209601490549
7,265,2,2,0.5,-75.71297260679654,-39.09981027721866
126,266,7,3,5,-75.91299341416337,-7.14570581446481
326,267,13,3,20,-76.06990272234516,-4.067475234920698
17,268,3,2,0.0,-76.40432238094438,-34.69614121281431
0,269,2,1,0.0,-76.46026300614793,-43.280413865927905
58,270,4,3,1,-76.57152091904177,-16.930556559632368
26,271,3,2,0.5,-76.71799532440107,-36.01754370647849
296,272,13,1,0.0,-77.39741446131828,-35.128989803891095
334,273,14,3,0.1,-77.60660851254016,-4.2395172842981586
291,274,12,4,10,-77.74151631743128,-3.269104579068609
121,275,7,2,1,-77.88769418362328,-10.267511369685623
95,276,6,4,5,-78.10373837814748,-6.272366201293371
66,277,4,3,10,-78.63298726733692,-14.436321074658299
242,278,11,3,0.25,-78.77426033494092,-5.948461255045595
98,279,6,3,10,-79.1442773758369,-12.367172819290335
234,280,11,3,0.0,-79.50186798722156,-5.363210441642597
111,281,7,4,0.1,-79.89728403928343,-8.675078105546113
265,282,12,2,0.0,-80.18062959180286,-9.026957721327843
90,283,6,3,1,-80.18500588964505,-14.788095441205945
162,284,8,3,10,-80.48479958593006,-6.141908371923732
135,285,7,4,20,-81.52519492605224,-6.157358157504231
361,286,15,2,0.0,-82.2094846972796,-6.903809905957877
246,287,11,3,0.5,-82.54570710049089,-8.22626045156361
195,288,9,4,10,-82.7999861716421,-2.9705816377259047
65,289,4,2,10,-83.29239060958395,-22.025998237780687
117,290,7,2,0.5,-83.3409491818748,-26.02852918102628
105,291,7,2,0.0,-83.85802912485187,-16.541150301348246
23,292,3,2,0.25,-84.91832742023767,-38.09028590831271
183,293,9,4,0.5,-85.04694130593336,-5.1849049297611085
69,294,4,2,20,-85.25999068667122,-17.271790289771
229,295,10,2,20,-86.66173764032047,-7.937489986237648
243,296,11,4,0.25,-87.1024300685518,-5.5196528194394805
169,297,9,2,0.0,-87.18255535461377,-13.295127450773697
27,298,3,3,0.5,-87.98387356793073,-29.64428885779835
251,299,11,4,1,-88.45080571240844,-2.8384636575824027
18,300,3,3,0.0,-89.03453466922397,-29.95916749716619
310,301,13,3,0.5,-89.13432902130002,-4.341897556559198
87,302,6,4,0.5,-89.1989392935798,-12.837368098154903
370,303,15,3,0.25,-89.28364922078717,-4.289662953307934
103,304,6,4,20,-89.41619712649276,-9.312357148625631
173,305,9,2,0.1,-89.47276733754816,-13.236968268839243
281,306,12,2,1,-90.10114132937137,-8.108244693203579
24,307,3,3,0.25,-90.65183631566595,-32.26269497669987
146,308,8,3,0.25,-90.7083547472647,-8.465894108380635
277,309,12,2,0.5,-90.97030820968585,-9.322566393558752
151,310,8,4,0.5,-91.24123611393702,-6.142720574210994
233,311,11,2,0.0,-91.33166155225288,-12.562675419815395
166,312,8,3,20,-92.34939067318977,-5.495999114030189
5,313,2,2,0.25,-92.44785488901312,-38.87285848146629
301,314,13,2,0.1,-92.82408368347654,-8.232044358450414
341,315,14,2,0.5,-92.92769008616715,-8.764383013905903
142,316,8,3,0.1,-93.23453503094808,-9.908946399828878
1,317,2,2,0.0,-93.46773032952949,-39.02443678341045
369,318,15,2,0.25,-94.08762056063982,-7.394600809464919
49,319,4,2,0.25,-94.26699836028311,-27.54294825119149
255,320,11,4,5,-95.92378794841137,-3.2861740735971567
237,321,11,2,0.1,-96.37788962935092,-14.50302915115017
167,322,8,4,20,-96.9718070287332,-3.7688358750421345
73,323,6,2,0.0,-97.03255498809814,-27.758120315052953
11,324,2,2,5,-97.83946261028883,-35.529172476293795
177,325,9,2,0.25,-98.06958133411645,-15.532055697921797
81,326,6,2,0.25,-98.4285804877684,-17.684395318587246
13,327,2,2,10,-99.43570600151232,-36.68421562049229
77,328,6,2,0.1,-99.93734153644598,-23.463890161757448
50,329,4,3,0.25,-101.27391138647899,-20.12928699913794
273,330,12,2,0.25,-101.47164002937534,-10.547516611070215
145,331,8,2,0.25,-101.47880736753004,-16.09619669348365
15,332,2,2,20,-101.73535175780518,-35.64853183981564
130,333,7,3,10,-102.19034282663814,-10.855942060160597
219,334,10,4,1,-103.42417791807866,-3.9980028287311824
258,335,11,3,10,-104.08090026555256,-5.96848524080347
231,336,10,4,20,-104.3624211228901,-3.3869018545704406
38,337,3,2,20,-104.61102647992911,-24.529696636906216
141,338,8,2,0.1,-104.9368689804428,-21.43172074507841
118,339,7,3,0.5,-105.34980102949746,-12.219564174758158
91,340,6,4,1,-105.74904604037684,-10.294817595159776
143,341,8,4,0.1,-105.97163356703838,-5.224410258310956
41,342,4,2,0.0,-107.93591372432397,-32.818579435756604
9,343,2,2,1,-109.46791000476233,-35.033498754643915
109,344,7,2,0.1,-109.66365731323822,-17.72157621711016
217,345,10,2,1,-109.87890836659639,-11.276590565870551
178,346,9,3,0.25,-110.29517751390294,-8.910917942677088
21,347,3,3,0.1,-111.01272525315599,-30.400152309133155
89,348,6,2,1,-111.19145803484476,-18.16109230122592
59,349,4,4,1,-111.22237752463506,-17.88057980331535
287,350,12,4,5,-113.78719346029338,-2.115326376492986
197,351,9,2,20,-114.02082260529974,-8.822154372868386
129,352,7,2,10,-115.67304007327456,-12.972809961277417
293,353,12,2,20,-116.53956064809556,-5.490940304158305
3,354,2,2,0.1,-116.56918062971458,-39.16244528063708
181,355,9,2,0.5,-116.6944956662996,-14.82500601497442
147,356,8,4,0.25,-117.08250232954481,-6.773412140906009
290,357,12,3,10,-119.23412765044387,-3.690829562691364
297,358,13,2,0.0,-120.54837735307122,-12.524604201872293
113,359,7,2,0.25,-121.1525332221826,-18.283603485565713
85,360,6,2,0.5,-121.90942274480001,-16.461885091650128
101,361,6,2,20,-121.99824694375631,-13.415448616954015
185,362,9,2,1,-123.04684839673394,-8.648581212860403
123,363,7,4,1,-124.25140227993207,-7.856470814233812
102,364,6,3,20,-124.3337831811347,-9.95868618760961
107,365,7,4,0.0,-125.08151671727089,-10.657643045894984
115,366,7,4,0.25,-127.24781616348055,-10.572851630062164
67,367,4,4,10,-128.76278571847087,-8.468506983733029
79,368,6,4,0.1,-131.18738738054202,-7.784846869736829
82,369,6,3,0.25,-133.59800522130135,-11.70019696781003
78,370,6,3,0.1,-133.62315848550733,-12.975159781504185
245,371,11,2,0.5,-135.54504369840757,-9.785501837068168
203,372,10,4,0.0,-136.67052983880114,-3.048445364536695
55,373,4,4,0.5,-136.88963235487168,-16.52984774740763
153,374,8,2,1,-139.45784161986418,-12.735960440193672
171,375,9,4,0.0,-140.03998384950503,-5.154042986809975
75,376,6,4,0.0,-142.55950147293782,-12.401716441359193
138,377,8,3,0.0,-144.05620682843022,-7.998487126440755
42,378,4,3,0.0,-144.98223773700946,-28.276324104052275
215,379,10,4,0.5,-149.31235617055614,-5.0585373403619815
137,380,8,2,0.0,-151.69931115288028,-16.439027812805985
45,381,4,2,0.1,-152.646420178729,-30.61816404187387
110,382,7,3,0.1,-153.57171314346309,-9.912100109528932
47,383,4,4,0.1,-155.1530223071357,-23.127073215500797
46,384,4,3,0.1,-155.16814376104048,-27.993288468946368
170,385,9,3,0.0,-160.43542417304104,-5.417989927889627
306,386,13,3,0.25,-164.89002266664562,-3.807623917681996
213,387,10,2,0.5,-165.87994834647628,-14.978542992249169
43,388,4,4,0.0,-166.48634434607467,-26.433849301894913
174,389,9,3,0.1,-167.7485326439406,-7.282730053355093
51,390,4,4,0.25,-182.95273954798344,-26.87504767660286
139,391,8,4,0.0,-221.39178344893935,-9.9756403878855
54,392,4,3,0.5,-261.2808841886106,-19.014878286605
