rank_test_score,param_MSclustering__SeqWeight,param_MSclustering__ncl,param_plsr__n_components,mean_test_score,std_test_score
150,5,6,2,-9.435819438,8.021912879
151,0.1,13,2,-9.453190617,9.340624983
152,3,14,3,-9.453682764,10.69452008
153,3,13,1,-9.454395071,8.577360676
154,50,5,3,-9.469851439,10.06541938
155,7,11,1,-9.475089111,7.841263463
156,1,11,2,-9.492719378,10.37511747
157,1,5,1,-9.502240612,6.836496935
158,50,14,4,-9.519625571,8.626628372
159,5,10,2,-9.52008125,10.57001263
160,50,5,1,-9.521299569,8.489978174
161,3,7,2,-9.523632259,8.000474526
162,5,6,1,-9.528159411,8.696727195
163,50,7,1,-9.53564142,7.574798636
164,7,12,1,-9.540872495,9.081694274
165,3,14,1,-9.549311154,7.157100383
166,5,14,9,-9.55109827,10.92939235
167,50,8,2,-9.557481053,9.96339082
168,50,2,1,-9.563596469,8.501774436
169,3,7,2,-9.565145346,5.959729274
170,5,13,1,-9.566833316,7.404449951
171,3,13,11,-9.571041499,10.05342252
172,50,14,1,-9.573411472,8.241210524
173,50,9,3,-9.600432349,6.264231009
174,0.1,10,1,-9.604074713,8.143704924
175,3,9,2,-9.610951253,8.96926477
176,0.1,6,1,-9.611686449,7.904769122
177,50,4,2,-9.612828806,8.860932976
178,5,14,1,-9.6134257,7.272848958
179,7,12,1,-9.617759414,8.285904176
180,50,12,6,-9.618016937,10.78418908
181,7,5,1,-9.632869987,6.836997766
182,3,10,1,-9.63340804,8.598111205
183,3,11,1,-9.638155347,8.020621164
184,5,3,1,-9.642644406,8.119946053
185,7,7,3,-9.645325567,9.278596517
186,50,4,1,-9.650126145,7.995368103
187,5,6,1,-9.655870784,9.135950105
188,50,7,3,-9.65845779,8.9530489
189,3,7,1,-9.659236492,7.895158931
190,50,14,3,-9.672767863,9.289138361
191,1,7,2,-9.678254852,11.52183031
192,5,7,1,-9.685512925,8.327223028
193,5,13,1,-9.686837896,8.071013689
194,3,8,2,-9.689861881,9.746272288
195,50,10,3,-9.700450268,10.82536378
196,5,2,2,-9.703658516,8.6422785
197,50,9,1,-9.710356174,7.936743129
198,5,11,2,-9.71612738,10.55845542
199,0.1,12,1,-9.747171233,7.774282424
200,3,5,1,-9.758628994,7.681377414
201,3,14,1,-9.767020085,7.956509118
202,1,7,4,-9.786410289,10.12045232
203,50,3,3,-9.805435174,9.584175601
204,1,6,1,-9.806499521,10.01470225
205,7,13,1,-9.810485394,7.34846938
206,50,4,3,-9.814262819,11.31255066
207,3,12,2,-9.82617924,6.978659535
208,5,8,1,-9.827817117,7.572406915
209,1,9,1,-9.829075369,7.719352294
210,50,7,3,-9.829104013,8.308582174
211,50,12,9,-9.839425851,13.16461477
212,3,5,3,-9.863463734,14.16403651
213,0.1,12,3,-9.886042146,11.64563399
214,1,12,3,-9.886440977,10.37292147
215,7,6,1,-9.88843415,7.651734776
216,3,9,3,-9.895899364,9.032479799
217,3,6,2,-9.941940642,11.6617393
218,3,14,2,-9.945517045,7.546092649
219,1,5,2,-9.958169064,6.173395696
220,5,5,1,-9.98224293,7.784617591
221,5,8,2,-9.984874324,8.660271873
222,7,7,1,-10.01653344,8.418817395
223,5,13,3,-10.02112745,12.74372542
224,3,10,2,-10.02437254,8.482086408
225,0.1,14,4,-10.04945721,12.07504836
226,5,12,2,-10.05105685,8.765274054
227,50,13,2,-10.05712393,9.058071614
228,50,6,2,-10.06062726,8.508083873
229,3,9,1,-10.06687619,10.06136395
230,5,11,3,-10.07945875,9.991030776
231,7,11,3,-10.09457167,11.40934186
232,7,7,2,-10.10033124,9.172300412
233,1,11,5,-10.10668871,11.93271023
234,0.1,3,1,-10.13281964,7.607497798
235,5,2,1,-10.13313958,9.543922142
236,50,12,4,-10.13683153,12.38457308
237,5,6,4,-10.14165923,14.98972704
238,1,8,2,-10.14287902,8.206840477
239,7,3,1,-10.14925584,8.321543994
240,7,13,2,-10.15423605,9.288086489
241,50,6,2,-10.163576,10.93173542
242,50,7,1,-10.16503317,8.928417069
243,1,7,3,-10.17466712,11.30285926
244,1,13,1,-10.17573286,7.931437724
245,50,11,2,-10.18649667,9.196881565
246,5,10,1,-10.19158567,8.01624652
247,3,2,2,-10.19267414,9.277221772
248,50,9,1,-10.19916057,8.675143461
249,5,9,3,-10.215765,10.43689142
250,7,6,1,-10.21700728,8.470241268
251,0.1,12,4,-10.21747193,13.92920204
252,3,8,1,-10.23948641,8.708082687
253,5,10,2,-10.24036282,10.16666798
254,1,10,4,-10.25991742,15.31411354
255,7,6,2,-10.26965447,12.73899798
256,5,11,1,-10.28766225,7.730538011
257,7,4,1,-10.29377933,7.919683109
258,50,13,3,-10.30732411,11.49117386
259,0.1,6,2,-10.31701047,10.90174552
260,7,10,4,-10.3177235,9.407010843
261,3,11,3,-10.32033407,8.099225495
262,1,12,2,-10.32508529,12.89251128
263,7,10,1,-10.32759213,8.369735337
264,0.1,13,1,-10.34422159,7.706118433
265,1,9,1,-10.37423179,8.643183849
266,7,4,2,-10.42195071,9.876115743
267,50,14,2,-10.42874551,9.484549768
268,50,11,1,-10.43592882,9.778700046
269,7,14,1,-10.45320637,8.33534876
270,3,12,1,-10.4670653,9.229954109
271,3,11,3,-10.47161056,8.881426045
272,0.1,9,3,-10.48260927,10.02314952
273,5,13,2,-10.49021869,12.28799448
274,50,5,2,-10.51744367,9.427313716
275,7,13,4,-10.5806816,11.14855692
276,1,14,2,-10.58774369,8.23357601
277,7,13,3,-10.62137569,15.11146281
278,0.1,11,2,-10.63385305,8.104211437
279,50,10,1,-10.63829217,8.304679214
280,1,6,4,-10.64065074,7.773048943
281,5,9,2,-10.6538396,7.059578582
282,3,9,2,-10.68749787,10.05056304
283,7,6,2,-10.69746964,9.410950165
284,3,3,1,-10.70401323,8.423833709
285,1,13,2,-10.70508575,10.43994805
286,0.1,12,2,-10.70585083,12.47274737
287,7,10,3,-10.71414244,11.88349376
288,50,14,2,-10.72771189,11.01476359
289,1,11,3,-10.73979738,8.683189461
290,1,6,1,-10.75782866,7.326932479
291,50,9,2,-10.75843648,13.74935222
292,50,13,1,-10.80294694,9.343307702
293,1,4,2,-10.89149239,11.72311377
294,5,11,3,-10.89194627,12.10761681
295,50,10,1,-10.90307276,8.759241695
296,5,3,3,-10.90389655,10.10180246
297,1,3,1,-10.91276172,9.462371631
298,7,13,7,-10.9391181,19.4729666
299,3,6,3,-10.96117749,8.591203405
300,3,3,2,-10.96736563,11.54837157
301,5,9,3,-11.04612893,12.67070003
302,1,13,2,-11.04728967,8.215873715
303,7,9,3,-11.0716978,12.18915229
304,3,14,2,-11.11672576,8.563859819
305,0.1,6,1,-11.11674035,8.683085356
306,7,9,4,-11.15237065,9.600681718
307,5,10,3,-11.1674518,9.53439455
308,1,11,3,-11.17434771,11.96104331
309,1,9,2,-11.17669797,10.25860213
310,5,7,2,-11.17832452,11.98269378
311,1,7,2,-11.18411743,12.08063892
312,50,8,3,-11.20608011,11.73775695
313,5,14,3,-11.21063679,10.66584593
314,5,8,3,-11.21905651,12.78305523
315,7,14,2,-11.22722287,10.03961508
316,5,6,3,-11.22988063,15.49758595
317,1,6,2,-11.24495265,10.57087252
318,7,13,2,-11.25371968,10.08277725
319,5,14,2,-11.29222864,8.326500831
320,0.1,12,2,-11.33672427,8.16085124
321,0.1,7,4,-11.35578897,15.26331087
322,50,9,2,-11.42324259,12.34661055
323,0.1,11,3,-11.42402484,14.3893727
324,7,12,2,-11.44780103,11.99546991
325,7,9,3,-11.46036318,14.00524045
326,0.1,6,2,-11.47066383,11.73818071
327,7,14,3,-11.48991547,11.20562094
328,5,4,1,-11.49063005,9.488246817
329,0.1,10,2,-11.50239879,10.31956092
330,50,12,3,-11.5062467,14.75047104
331,3,12,3,-11.51559714,13.58339776
332,3,6,2,-11.51759464,14.5267408
333,0.1,4,3,-11.53529154,13.78219521
334,1,12,2,-11.55369991,12.08042465
335,7,10,2,-11.56005693,9.154651316
336,1,14,2,-11.57599102,9.356091171
337,7,8,3,-11.63255128,12.3009354
338,0.1,9,6,-11.67366343,10.53004975
339,7,9,4,-11.68208477,14.0677535
340,0.1,13,8,-11.72120631,15.82017584
341,1,2,2,-11.75629013,12.95573452
342,3,12,2,-11.76704021,14.48593194
343,50,13,5,-11.77481811,15.25602263
344,3,12,3,-11.82198718,9.904700341
345,50,11,2,-11.83348721,13.721765
346,0.1,3,2,-11.83874774,11.59277969
347,3,8,2,-11.83879574,11.7155349
348,5,13,5,-11.89582908,13.9586036
349,50,11,3,-11.91279907,12.7922088
350,5,5,2,-11.92323376,13.66872955
351,5,8,4,-11.9246169,12.00442753
352,5,4,3,-11.93626065,12.30053289
353,1,14,11,-11.94551633,10.90948811
354,1,12,4,-11.9931727,9.291186356
355,3,13,3,-12.0068172,12.06829978
356,1,8,3,-12.00882965,14.69870227
357,50,8,4,-12.02569682,14.2141583
358,3,9,3,-12.0261977,11.9065527
359,5,9,6,-12.05814423,15.2990727
360,0.1,12,6,-12.14556684,14.95869458
361,0.1,8,3,-12.2444858,10.87462256
362,3,13,2,-12.29611468,9.84973537
363,0.1,8,2,-12.32389206,11.16591136
364,1,8,2,-12.35198704,7.990118192
365,0.1,14,3,-12.40201427,12.75298938
366,3,10,4,-12.44974866,14.42261096
367,50,10,4,-12.46644516,15.08304741
368,1,10,3,-12.50248848,13.2691069
369,0.1,5,3,-12.50802825,15.94352425
370,7,5,3,-12.58487985,9.938219336
371,5,8,4,-12.62181115,14.73284387
372,3,13,3,-12.62555937,13.49302782
373,1,10,3,-12.65136825,13.13168436
374,1,12,5,-12.70333759,14.97632236
375,3,7,3,-12.70779393,12.40549201
376,7,8,3,-12.74779861,16.98135798
377,7,3,2,-12.7525622,11.63255539
378,50,7,4,-12.772736,19.33507809
379,0.1,10,3,-12.78058432,10.88534246
380,5,5,3,-12.78692928,12.06270845
381,3,10,2,-12.78824041,18.18717807
382,5,6,2,-12.79138009,12.18152394
383,50,12,3,-12.84158339,12.91840569
384,5,13,3,-12.87824601,14.87670993
385,1,7,3,-12.92331868,11.78873068
386,50,13,4,-12.9876105,13.63915581
387,0.1,7,6,-13.03522894,14.29131371
388,1,6,4,-13.1048647,12.46836855
389,0.1,11,2,-13.14942826,8.931101817
390,50,6,3,-13.1514075,16.44233565
391,50,7,5,-13.16436803,12.66121125
392,0.1,9,3,-13.18502067,11.99674362
393,7,13,3,-13.21821369,13.68682821
394,50,12,7,-13.2606945,9.831704977
395,5,7,3,-13.36567674,12.82382178
396,1,5,3,-13.3799439,16.43963969
397,7,7,3,-13.44353793,12.87165936
398,5,14,4,-13.45196569,11.32710343
399,1,6,3,-13.48178657,15.19347745
400,1,14,9,-13.48549285,13.70093905
401,5,10,4,-13.48823863,17.20625358
402,0.1,2,2,-13.50594053,14.20368346
403,3,9,4,-13.56177929,18.7461602
404,5,10,4,-13.60588072,15.09070388
405,1,3,2,-13.65623536,15.58658887
406,3,14,14,-13.66769181,22.66690715
407,0.1,8,3,-13.70344813,11.377119
408,50,5,5,-13.71402212,11.44625437
409,0.1,12,11,-13.74293049,12.37764651
410,7,6,3,-13.78258138,14.44328731
411,0.1,9,4,-13.82342072,14.3313613
412,0.1,14,5,-13.86568268,14.10082008
413,50,12,11,-13.91218137,13.6298349
414,3,14,3,-13.98222105,16.33057253
415,3,13,2,-14.00997727,17.10633743
416,1,6,5,-14.04389663,18.94295016
417,5,11,4,-14.04397364,12.38174741
418,1,8,3,-14.06430547,10.37305786
419,50,8,4,-14.0780429,17.45152856
420,3,12,11,-14.09943636,15.4404021
421,7,13,6,-14.12144095,12.63734084
422,5,11,4,-14.1325418,13.45698313
423,1,13,3,-14.13356964,14.09458415
424,5,7,6,-14.1335719,11.61001889
425,3,11,2,-14.18284706,12.50410704
426,7,8,4,-14.21561655,13.05283828
427,3,3,3,-14.28166955,13.82326153
428,0.1,10,5,-14.30427937,18.16365337
429,0.1,9,4,-14.344437,14.79605868
430,50,11,3,-14.348438,13.08666729
431,50,14,7,-14.35232352,18.92021779
432,50,13,3,-14.40778335,19.40802166
433,50,14,12,-14.43265371,14.17676901
434,7,3,3,-14.48976641,13.61338956
435,0.1,10,4,-14.52466605,11.74015815
436,5,7,3,-14.5595217,14.32815031
437,1,11,4,-14.59898529,15.42985119
438,50,14,6,-14.60898682,13.13407366
439,3,7,4,-14.65523487,12.04908785
440,1,12,4,-14.67006409,11.63807074
441,0.1,11,4,-14.69382303,14.60557955
442,0.1,9,2,-14.73680598,15.75995957
443,3,14,10,-14.74492473,11.73520171
444,7,12,4,-14.79339451,11.4525707
445,5,13,7,-14.82521765,17.32163383
446,0.1,10,3,-14.85795948,13.20243322
447,3,13,4,-14.85868618,12.85012918
448,5,14,12,-14.88559125,11.28291622
449,5,8,3,-14.90591039,20.6662927
450,1,4,4,-15.06471443,14.24800372
451,3,6,3,-15.07725463,14.79270698
452,3,7,3,-15.10723227,9.348029368
453,1,13,4,-15.14270895,20.60194105
454,0.1,14,2,-15.16969727,14.74117538
455,0.1,13,6,-15.18012066,17.81123972
456,1,13,13,-15.2058882,16.24954836
457,7,14,7,-15.20655784,17.50512864
458,0.1,14,2,-15.33445358,16.78656391
459,0.1,11,11,-15.34740028,20.00748348
460,1,13,8,-15.38840724,15.02909037
461,0.1,12,3,-15.39893021,15.80676899
462,3,14,4,-15.44273464,16.63706661
463,0.1,12,4,-15.44973339,14.22971801
464,50,6,4,-15.49819362,13.04819012
465,5,5,5,-15.51699732,15.245319
466,5,12,10,-15.53291272,14.60189988
467,5,5,4,-15.54621735,16.57862674
468,5,10,3,-15.54809879,19.95436415
469,7,13,4,-15.56858756,15.78324019
470,0.1,8,4,-15.59382663,16.17353883
471,1,7,4,-15.6045145,16.80113911
472,7,13,13,-15.65861795,13.88041766
473,0.1,7,3,-15.67185262,16.56206361
474,5,13,4,-15.81523393,16.29933817
475,0.1,14,6,-15.83431194,17.91452338
476,3,7,5,-16.07165613,22.13284871
477,50,9,4,-16.11466525,24.91483161
478,50,13,12,-16.13801068,15.34580085
479,3,13,8,-16.15696624,14.03692154
480,5,14,14,-16.22536569,21.4604524
481,5,14,3,-16.23508151,15.41012634
482,3,4,4,-16.27900156,12.76029498
483,7,6,4,-16.30708305,19.22552961
484,1,4,3,-16.35303299,16.12515844
485,3,12,4,-16.40262869,15.93246845
486,1,14,4,-16.46303,20.78306414
487,1,3,3,-16.51737352,17.95751789
488,50,6,4,-16.53077924,21.62875616
489,1,14,3,-16.53186043,21.66478992
490,5,12,4,-16.55175992,13.81858975
491,0.1,6,4,-16.6766921,19.12025193
492,7,5,5,-16.77303194,17.43152856
493,3,10,4,-16.78529728,19.3279807
494,0.1,11,6,-16.84038592,14.71102496
495,5,7,5,-16.88328255,20.80098953
496,0.1,13,5,-16.88891835,13.74871624
497,5,12,5,-16.89691234,18.72950173
498,1,9,4,-16.90510329,22.37725607
499,3,8,6,-16.93344594,13.42597138
500,5,10,5,-16.93821222,18.29167269
501,0.1,7,3,-16.94109605,25.52010955
502,5,9,4,-16.94266971,13.75360939
503,5,7,4,-17.09094113,22.3373168
504,3,10,3,-17.16485427,20.16901414
505,3,12,7,-17.20858418,14.59150187
506,0.1,11,5,-17.21599766,13.93396957
507,7,13,5,-17.25057976,13.51329651
508,3,14,13,-17.2873288,21.12162663
509,1,10,5,-17.33545869,20.03304429
510,50,10,5,-17.38479866,15.10542842
511,0.1,6,3,-17.40673219,24.28974945
512,0.1,14,10,-17.42771184,14.17823636
513,7,14,4,-17.4528696,12.95844724
514,0.1,10,6,-17.4568739,17.30520708
515,50,14,11,-17.46476364,18.38693306
516,0.1,13,10,-17.51684227,17.68727918
517,7,14,13,-17.55458989,14.20883278
518,3,6,4,-17.55605854,19.64479331
519,3,11,4,-17.56006843,20.57263299
520,50,13,4,-17.58902821,11.94620129
521,3,10,8,-17.66252037,10.67626773
522,3,13,4,-17.67152123,20.61355699
523,7,11,4,-17.69336536,16.3926088
524,3,7,4,-17.79041774,18.97417618
525,50,13,8,-17.80576584,14.00933909
526,50,14,4,-17.81126557,18.07333137
527,7,6,4,-17.97401591,23.90262857
528,7,14,5,-18.11863834,22.05018053
529,50,14,8,-18.191367,22.5687804
530,50,11,5,-18.2228569,19.19837059
531,1,13,11,-18.25775433,23.63869233
532,5,14,10,-18.26452705,24.95501751
533,7,9,7,-18.27809872,26.520715
534,5,11,7,-18.33124741,29.22938416
535,1,7,5,-18.38109712,16.72920319
536,7,11,4,-18.4088832,21.01996842
537,5,14,7,-18.44708182,15.16014746
538,3,13,12,-18.44747854,19.72814971
539,50,10,4,-18.4916789,27.77671337
540,5,7,4,-18.58799656,13.76570607
541,50,7,4,-18.64908959,19.22496506
542,0.1,13,4,-18.66214673,15.98663032
543,1,12,6,-18.67445808,23.29980661
544,1,5,4,-18.72273666,12.50298522
545,50,9,4,-18.77137436,21.30786373
546,0.1,13,3,-18.78973347,22.53190873
547,0.1,12,5,-18.80659521,16.51312549
548,50,12,5,-18.82961926,22.84972016
549,0.1,6,3,-18.85148765,13.73971284
550,50,14,10,-18.89599461,23.25268172
551,1,13,9,-19.00070647,15.83075633
552,5,14,8,-19.04471324,18.21449529
553,5,13,4,-19.07423804,17.08984157
554,3,14,7,-19.13084752,16.72523983
555,3,8,5,-19.14397378,24.70834621
556,50,11,4,-19.18600258,28.61793792
557,7,13,12,-19.20702829,13.31239712
558,0.1,11,4,-19.22993233,17.57938435
559,1,9,5,-19.24840089,24.51986915
560,7,8,4,-19.35541196,20.50872174
561,1,12,3,-19.42989295,18.01363127
562,0.1,10,4,-19.4415027,24.78447404
563,0.1,9,5,-19.4664556,18.31601685
564,7,7,6,-19.46822366,13.6924017
565,7,14,10,-19.48906018,16.79426922
566,3,8,4,-19.54986002,15.78615609
567,50,13,10,-19.58052246,11.67316868
568,5,14,11,-19.61155611,24.3969286
569,0.1,5,5,-19.63926086,17.81928988
570,0.1,13,7,-19.68943497,16.7910817
571,1,5,5,-19.70134836,26.87586535
572,50,13,7,-19.72190767,22.41996936
573,7,10,5,-20.02093731,22.18744418
574,50,13,11,-20.08763549,21.12256394
575,1,8,4,-20.15361468,18.75274925
576,3,9,4,-20.23819349,22.80631084
577,0.1,13,4,-20.33891959,22.73034708
578,0.1,8,4,-20.43596375,15.71533778
579,3,13,10,-20.51652189,37.47947154
580,7,12,11,-20.54639371,31.59744129
581,5,14,6,-20.58869374,14.63915412
582,50,10,6,-20.62267789,32.60979632
583,5,12,8,-20.69501936,18.62002516
584,5,6,4,-20.85679472,28.52394169
585,1,14,4,-20.913958,28.24262328
586,50,12,4,-20.93660066,23.72924852
587,1,9,3,-20.98771353,17.33627977
588,50,11,4,-21.07657755,17.74284932
589,5,13,9,-21.13399217,25.83932442
590,0.1,7,4,-21.28987217,25.17029183
591,5,11,6,-21.34264084,19.20082932
592,5,10,6,-21.52167159,18.72302965
593,5,12,6,-21.61722761,20.5027866
594,5,13,6,-21.62697615,21.30935928
595,3,14,12,-21.68092759,17.97607589
596,7,10,4,-21.68974239,24.7993697
597,3,11,4,-21.79326352,19.24749787
598,3,11,7,-21.87752051,31.20188795
599,50,13,6,-22.00286122,19.41638868
600,50,14,5,-22.09505769,22.14716322
601,1,8,6,-22.15239159,31.46840072
602,0.1,6,4,-22.15470654,32.30626164
603,7,14,11,-22.16682208,19.72677371
604,7,12,6,-22.21933713,27.44802323
605,3,14,9,-22.23204035,28.65387436
606,1,10,4,-22.2381877,18.70722177
607,3,9,5,-22.4223636,39.57408602
608,3,8,4,-22.42441311,18.04456211
609,1,9,7,-22.44069022,19.69137669
610,7,14,4,-22.6836666,24.3039331
611,5,4,4,-22.69841063,30.66673343
612,7,8,5,-22.83033517,31.60313578
613,3,13,6,-22.94672928,26.49744993
614,7,8,6,-22.95468757,23.44155995
615,3,10,10,-22.98435583,18.03562712
616,3,8,3,-23.02210092,24.39870545
617,1,11,4,-23.06128197,25.25746704
618,1,9,4,-23.08964126,21.06331073
619,50,12,10,-23.1796727,27.64339524
620,7,13,8,-23.20161874,25.98423342
621,5,12,12,-23.20259985,24.92146323
622,1,12,9,-23.35058299,16.22399448
623,50,8,6,-23.35820523,20.10935087
624,5,13,10,-23.36149662,28.48236889
625,7,11,5,-23.39725739,32.45782004
626,5,8,5,-23.40690711,23.46083035
627,0.1,4,4,-23.48499616,24.44895371
628,1,13,4,-23.69876347,23.55844985
629,50,14,13,-23.71067166,20.422726
630,3,10,6,-23.79136514,22.60442704
631,3,14,4,-23.80253472,21.71462052
632,5,13,11,-23.84920228,28.13576711
633,5,11,10,-24.05974454,38.41205264
634,0.1,7,5,-24.15073195,24.82106819
635,3,6,5,-24.27678118,33.62100984
636,3,11,5,-24.32877282,26.64314116
637,7,7,5,-24.47046062,22.76761536
638,50,10,8,-24.48991529,19.63129282
639,0.1,5,4,-24.56866046,28.20524633
640,1,8,5,-24.66401833,19.38355023
641,1,12,7,-24.73257817,22.36709385
642,5,14,4,-25.09972207,33.62063042
643,1,8,4,-25.16233471,30.05838215
644,5,9,4,-25.25813488,17.07894567
645,1,14,5,-25.33555168,21.35151384
646,5,8,6,-25.36323472,19.89086896
647,50,11,10,-25.5640865,29.29713594
648,1,11,7,-25.60592328,25.85344579
649,3,9,6,-25.65918968,32.37341814
650,3,13,7,-25.79310264,29.86167799
651,0.1,8,6,-25.87558038,21.50895527
