Elapsed,PC9,PC9-A/E,PC9-E,AXL KO,AXL KO-A/E,AXL KO-E,Kin,Kin-A/E,Kin-E,Kdead,Kdead-A/E,Kdead-E,M4,M4-A/E,M4-E,M5,M5-A/E,M5-E,M7,M7-A/E,M7-E,M10,M10-A/E,M10-E,M11,M11-A/E,M11-E,M15,M15-A/E,M15-E
30,1.4,1.5,1.4,2.2,1.7,0.8,58,44.5,39.7,37.3,22,26.4,41.3,28.6,30.5,49.6,39.8,41.4,64.2,49.5,48,88.3,78.6,72.2,52,44.4,43.7,57.1,41.8,47.6
33,1.5,2.1,1.8,1.8,1,0.8,64.2,44.7,42.2,41,22.4,26.3,47.6,28.3,31.4,57.3,41.7,42.2,68.7,51.1,48.7,98,82.3,76,55,45.6,45.5,63.5,44,45.3
36,1.3,1.5,2,1.8,1,1.2,64.1,43.8,40.4,42.2,23.2,28.2,45.1,30.5,30.2,56.5,40.6,43.7,74.8,53,49.1,104.8,84.8,76.3,55.2,47.3,46.8,64.8,43.5,44.2
39,1.5,1.9,2.4,2.1,1.5,1.1,66.7,42.9,43.6,44.4,23.9,28.6,49,31.3,31.1,60.4,43.9,43.6,78.9,58.1,50.6,115.3,87.8,80,62.3,49,51.2,70.5,46.4,48.6
42,1.4,1.5,1.9,2.3,1.9,1.1,70.9,47.2,42.8,50.9,25.7,26.7,52.4,28.4,31.3,64.4,46.9,45.3,85.8,60.7,53.2,124.2,88.9,84.7,69.2,52.1,48.7,74.7,52.2,47.9
45,1.1,1.7,2.6,2.7,1.8,1.2,73.4,49.7,45,51.9,24.7,27.4,54.6,29.8,29.9,68.8,46.4,44.8,91.5,59.3,55.1,134.1,88.8,85.1,71,56.7,53,84.4,53,47.3
48,1.4,2.1,2.8,2.7,1.5,1.4,78.3,48.7,44.6,54.4,24.9,28.4,55.1,28.3,30.4,67.3,46.6,45.7,95.8,61.9,55,134.7,90.6,88.6,77.6,56.2,52.6,86.4,55.4,45.9
51,1.5,2.1,2.2,2.6,2,1.2,81.7,51,46,57.3,26.8,28.4,60.9,31.3,31.5,73.1,50,45.4,99.1,61,57.4,148.6,94.8,90.6,82.1,58.8,54.5,91.6,58.2,45.9
54,1.9,1.9,2.3,2.6,1.9,1.8,83.5,52.1,46.5,59.5,26.2,27,58.7,32.2,31.1,76.5,49.7,45.2,106.3,62.4,55.5,163.3,93.8,88,87.7,61,56.1,90.3,56.1,45.6
57,0.8,2.1,2.1,3,2.5,1.3,87.7,54.2,48.4,63.2,26.7,26.5,63.3,36.4,33.4,79.3,50.1,46.7,117.8,65,59.1,170.8,99.2,90.2,97.1,62.6,61.1,98.3,58.5,46.7
60,1.8,2.3,2.5,2.9,1.8,1.3,86.5,55.4,48.6,62.4,25,26.1,64.5,35,33.7,79.8,52.5,45.9,120.4,68.3,59.6,182.2,103,89.2,104.8,62.7,60.9,105.2,59,46.3
63,1.8,2.2,2.9,2.8,1.8,1.6,87.2,58,51.2,67.7,28.7,28,65.7,35.3,36.2,86.2,55.5,50.4,128.1,70.4,61.3,192.2,106.2,94,113.8,67,64.8,114.6,63.1,45.6
66,1.5,2.3,2.4,2.7,1.5,1.5,86.8,57.9,50.2,70.7,26.2,27.5,70.4,37.2,34.9,86.2,57.7,48.3,134.7,69.5,61.4,198.3,109.7,97.3,124.5,67.7,62.6,121.6,64.3,47.1
69,2,2.8,2.4,2.3,2.1,1.6,93.6,61.9,53.3,77.8,27.9,27.9,74.7,40.2,36.3,88.2,59.6,49,141.8,73.4,66.1,219.4,112.5,99.1,135,72.4,64.2,126,65.1,48.5
72,1.8,2.9,3.1,2.5,2.8,1.9,94.3,61.5,53.5,80.6,27.7,25.1,71.4,42.4,35.2,95.9,61.5,48.7,146,75.9,63.5,223.5,114.5,98.3,146.5,77.6,65.5,133.4,65.6,45.4
75,2.3,3.2,3.3,2.9,2.4,1.9,100.8,69,53,87.5,28.5,25.2,82.7,41.8,37.3,101.7,64.3,48.9,160.5,80.5,68.3,238.3,121.8,98.8,158.7,78.5,71,140.9,67.6,47.2
78,1.9,3.3,3.6,2.8,3,2.2,102,70.4,53.9,87,27.5,23.6,84.8,41.4,37.7,101.9,68.5,47.4,164.7,81.1,65.9,246,125.7,99.1,168,79.4,71.8,149.4,67.3,44.5
81,2,4,4,2.7,2.9,1.8,106.3,73.9,57.8,96.5,28.1,24.2,86.9,44.7,36.9,105.7,71,49.1,173.7,88.5,71.8,264.5,130.2,101.5,193.1,83.6,72.8,157.3,67.1,46
84,2.6,4.2,4.1,3.2,3,2.4,113.7,75,57.8,96.3,27.6,21.9,90.8,45.1,37.5,112.1,71.6,52.1,182.6,89.6,72,276.5,134,104.2,207.7,90.2,75.2,161.3,70.3,46.1
87,2.4,4.1,4.5,3.4,2.6,2.3,123.1,79.4,60.8,103.5,29.2,23,96.4,50.6,39.9,123.4,73,52.5,196.4,97.9,75.7,299.8,140.8,104.6,235,100,75.6,175.2,71.5,47.9
90,2.4,4.4,4.7,3.3,2.4,2.3,121.9,80.5,59.1,109.4,27.3,23,99.9,47.9,39.6,127.4,75.5,50.5,207.6,100.3,76.8,305.4,142.6,103,249.9,103.1,79,180.1,73.8,47.8
93,2.5,4.8,4.6,3.5,3.7,2.6,130.7,86.7,60.5,116.7,29.7,23.8,112.9,53.3,40.8,128.6,82.5,51.1,214.8,102.8,77.1,332.8,152.6,108.9,271.6,109,82,196.8,78.6,48.8
96,2.7,4.6,5.5,3.9,3,2.7,132,88.6,60.9,121,26.5,21.9,113.8,52.1,41.4,138.9,81,50.3,221.3,106.6,80.4,343.4,154.3,107.2,301.8,109.2,85.4,204.7,79,47.8
99,2.6,5.3,6.3,4.4,2.7,2.9,138,93.6,64.4,130,29.7,22.9,117.3,52.7,41.2,141,87.8,52.2,241,109.7,86.6,365.9,162.9,112.5,335.1,116,87.4,219.7,81.5,52.2
102,3,5.6,5.5,4.1,2.9,2.9,142.3,100.5,66.5,138.4,29.9,23.6,124.3,55.2,40.9,145.9,87.9,51.4,249.9,115.6,87.7,385.3,169.1,113.9,358.1,121.5,89.3,226.4,83.7,54.5
105,2.4,6.6,6.1,4.3,3.1,3.4,156.1,104.6,70.8,149.7,28.7,25.4,136.1,59.2,41.6,164.4,92.8,57,271.3,123.4,90.2,408.5,183.5,120,396.1,135.6,93.2,249.6,86.8,56.4
108,2.3,6.8,5.9,4.6,2.3,2.8,165.7,107.9,72.6,160.8,28.6,23,138.8,60,43.8,165.6,96.6,54.9,282.1,124.3,94.2,414.9,191.3,122,421.5,137.1,96.9,253.2,91.8,55.2
111,2.4,6.7,7,4.1,3,3.3,178.6,117.3,78.8,173.3,29.3,24.4,151.2,63.5,45.4,190,101.5,55.6,306.2,138.8,97.4,453.2,210.6,127.2,454.5,147.8,101.8,280.7,96.4,59.8
114,3,7.1,5.6,4.3,2.6,3.1,197.9,121.7,79.8,179.1,28.3,23.8,168.8,68,41.2,196.8,104.6,56.6,321.7,143.4,100,475.7,214.9,133,477.3,155.7,105.3,300.1,98.7,59.4
117,2.3,6.8,7.4,5.1,3.5,3.3,228.4,132.4,87.5,189.6,28.9,25.9,185.8,70.4,45.3,220.8,112.8,57.5,369.5,152.9,105.4,517.5,225.7,135.8,529.6,157.9,111.7,337.2,105.9,62.2
120,2.7,7.8,7.2,4.3,3.2,3.5,245.4,131.4,89.7,206.7,28.7,24.1,204.8,70.2,43.6,248.4,112.5,59.3,405.1,151,110.1,538.9,231.5,141.3,559.1,170.9,115.1,363.6,105.6,62
123,3.3,8.4,7.9,5.8,3.8,4,282.6,140.6,93.1,228.5,29.4,26.1,243.7,76.3,45.8,289.9,122.9,63.9,453.1,161.3,114.2,594.4,245.7,147.8,602.2,176.2,120.7,397,107.8,67.8
126,3.7,7.6,7.4,5.7,3.9,3.6,305.9,146.9,96.7,244.4,28.5,27.5,272.6,79.5,46.8,329.4,120.9,64,497.2,163.6,118.7,625.9,253.2,154.9,635.5,177.9,126.5,416.6,108.8,68.1
129,4.2,8.2,8.9,7,4.9,4.1,339.2,154.8,102.2,275.7,31.5,26.6,309.4,83.2,48.5,367.8,127.8,68.2,548.5,171.1,122.2,684.3,271.7,162.3,694.1,192,130.4,446.2,112.1,75.4
132,4.7,9.4,9.9,6.4,3.9,3.7,353.5,157.3,107.5,298.6,30,25.8,331.9,83.9,50.7,389,127.9,64.2,568.6,179.1,121.3,696.7,280.8,166.8,730.6,201.2,131.7,454,115.8,73
135,5,8.9,9.5,7.5,5.2,4.2,373.7,165.5,116.5,329.4,29.2,26.3,357.7,91.1,51.6,418.2,140.6,69.6,595.7,187.9,126.8,745.5,292.6,170,780.7,210.2,140.2,467.9,121.9,79.3
