Elapsed,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM
30,7.677625,5.033087,6.278802,4.442369,2.422558,1.730393,5.013641,5.541685,4.276695,3.548456,2.490029,2.701629,9.545368,7.108061,5.48222,6.240592,3.192966,2.235201,10.37401,8.839,7.787009,4.113889,3.645002,2.274315,9.665525,6.87797,8.140775,4.263771,3.890663,3.538622,10.1859,10.18551,6.793221,6.100835,2.882823,2.814207,9.239698,8.250331,7.916354,8.139888,4.07037,3.442502,12.63899,10.05847,9.96138,5.719584,2.54917,2.357869,6.146094,3.050802,4.728423,3.498688,3.339024,3.572938,4.655318,4.880678,3.803984,4.000201,2.414773,2.006699,5.235877,4.404006,4.206065,4.220355,2.066727,2.21707,7.516817,5.545816,4.820651,3.374536,2.752831,1.581399,6.280099,4.684734,4.391185,4.300972,1.380214,1.60624,6.406216,3.393247,2.943448,3.448819,1.745452,2.027033,4.846583,5.493676,3.011705,2.912785,1.650066,2.336665,4.04611,4.172414,3.984836,3.684304,1.893268,2.100121
33,7.770006,5.389498,6.584711,4.844774,2.558269,1.876622,5.427501,6.149305,4.693766,3.850746,2.848233,2.803622,10.6138,7.155506,5.812971,6.479151,3.415988,2.365757,10.99978,9.425809,8.072262,4.128418,3.88706,2.517346,10.19092,7.164178,7.972267,4.377612,4.011162,3.763419,10.89712,10.34233,6.940081,6.310147,3.020241,2.746292,9.956242,9.19034,9.236898,8.445081,4.150101,3.71191,14.5468,11.36234,10.59004,6.013883,2.708032,2.407602,6.328483,3.270118,5.376215,3.707574,3.72323,3.715018,5.435441,5.556999,4.230906,4.415923,2.466486,2.063996,5.338348,4.604799,4.383775,4.156878,1.913311,2.387166,7.933819,6.046629,4.78968,3.579938,2.815556,1.827026,6.942232,4.434874,4.801853,4.313282,1.471826,1.667173,6.706543,3.405027,3.042248,3.71961,1.900473,2.011019,5.141499,5.860314,3.155697,3.081772,1.873429,2.280649,4.378773,4.341657,4.368444,3.943656,2.024336,2.106438
36,8.273976,5.884096,6.632431,5.368687,2.787949,2.052181,5.911566,6.956556,5.553499,4.103099,3.187059,2.912973,11.2563,7.978072,6.257785,6.475839,3.436493,2.30397,11.72723,9.522627,8.510025,4.217947,3.857319,2.807054,10.47674,7.421123,8.128107,4.615708,4.066853,3.851361,11.68821,10.92154,7.01107,6.280423,2.900527,2.750764,10.78321,10.21636,9.6385,8.878933,4.011418,4.077268,15.23337,12.16519,10.96278,6.503241,2.891291,2.470686,6.452995,3.555012,5.279054,4.143067,3.630781,3.815866,5.036672,5.70321,4.557337,4.929096,2.678718,2.030328,5.616139,5.004353,4.581051,4.142896,2.097919,2.304466,8.317495,6.387487,4.945623,3.863329,2.949816,1.774868,7.317372,4.49987,4.58969,4.398407,1.342517,1.785692,7.542853,3.461914,2.998405,3.706549,2.138074,2.102529,5.307122,6.275079,3.238312,3.232712,1.709445,2.40318,4.671776,4.532291,4.453432,3.902494,1.881095,2.199109
39,9.514314,6.843227,7.29704,6.08984,2.665623,2.30986,5.977075,7.732309,5.74118,4.096799,3.459097,3.056794,12.11154,8.328951,6.451271,6.457195,3.746688,2.414073,12.67127,10.33458,8.878933,4.34543,3.554858,3.018654,11.07493,7.555418,8.565972,4.575912,3.909084,4.171732,11.9584,10.87392,7.058259,6.338556,2.890147,2.972882,12.15704,11.35636,10.13474,8.966842,3.905379,4.442864,16.54136,12.89197,11.71214,6.958247,2.991081,2.546711,7.004241,4.116586,5.785911,4.159814,4.224879,4.050702,5.213478,6.222359,4.684443,5.437831,2.99861,2.081888,5.819988,5.174433,4.397485,4.189811,2.15851,2.183283,9.141068,6.743728,5.312363,3.943537,2.660518,1.804029,7.72536,4.544242,5.143206,4.487902,1.340127,1.764676,7.715509,3.789831,2.854226,3.621937,2.091158,2.020204,5.355523,6.61575,3.509547,3.340031,1.758256,2.461774,4.794051,4.861369,4.731974,3.906335,1.980868,2.209234
42,10.51881,7.117194,8.046328,5.995667,2.744909,2.152637,6.32372,8.500875,6.356636,3.937766,3.588013,3.161741,12.42821,8.88718,6.454276,6.680865,3.549463,2.42686,13.08766,11.05298,9.240876,4.251649,3.779126,2.636616,10.92804,7.546199,8.774123,4.683061,3.825103,4.280997,11.94841,11.56064,7.021877,6.389774,2.990757,2.918283,13.3248,12.3874,10.48481,9.51515,3.982856,3.882945,18.21938,13.42666,12.16961,6.95881,2.905802,2.427116,7.797578,3.957417,6.305503,4.524472,4.384441,4.077473,5.967531,6.935113,4.853276,5.7371,2.971174,2.125406,6.33591,5.152135,4.736772,4.347239,2.174849,2.121394,9.566232,7.281298,5.130146,4.026186,2.655926,1.855486,7.929909,4.937753,5.057159,4.817031,1.407172,1.777122,8.275599,3.74563,2.945497,3.781926,2.177666,1.90119,6.017605,6.978495,3.47045,3.181374,1.707994,2.447365,5.202039,5.14435,4.982551,3.932184,2.013733,2.161276
45,11.52279,7.362581,8.026489,6.212593,2.9891,2.330945,7.773472,9.170212,6.867932,4.665407,3.487694,3.429322,13.43357,8.834407,6.459381,6.679602,3.491808,2.443933,14.5202,11.34383,9.265785,4.392909,3.439241,2.537184,11.35872,7.571346,8.945022,4.71917,3.793535,4.151551,12.41006,11.46704,7.339908,6.674958,3.01488,2.902388,14.31576,13.38681,11.57498,9.650948,4.23391,4.086334,20.14759,14.6609,13.69222,7.628626,2.771815,2.61857,8.291562,4.544191,6.808586,4.753656,4.483958,4.10006,6.270419,7.371288,5.334455,5.874365,3.30633,2.162471,6.380539,5.143804,4.604834,4.413311,2.228577,2.182054,10.09672,7.39519,4.981612,3.943554,2.608583,1.756225,7.71848,4.963686,5.200058,4.907977,1.422708,1.773639,8.582703,3.910211,2.993659,3.795891,2.043901,2.015236,6.24131,7.019094,3.389184,3.52959,1.624286,2.297073,5.524817,5.233094,4.948611,4.042678,1.988022,2.038762
48,12.72147,8.185626,8.774073,6.251621,3.196159,2.218385,9.189436,10.83498,7.505054,5.28095,3.877277,3.394989,14.36674,9.142075,6.856544,6.459721,3.711552,2.364186,15.59311,12.613,9.595119,4.612055,3.450577,2.414363,11.41977,7.594087,8.527848,4.795144,3.934761,4.163878,12.83524,11.70146,7.053239,6.348339,3.095447,2.741733,15.39972,14.49647,12.20094,9.975209,3.991033,4.032845,21.62601,15.65413,14.54049,8.09094,2.698369,2.25953,9.947296,4.88411,6.810977,5.365084,4.965137,4.527853,6.488507,7.438452,5.900299,6.324044,3.45138,2.327309,6.301935,5.572467,4.81476,4.590629,2.220945,1.884066,10.71337,7.814207,5.071859,3.997162,2.592739,1.818523,8.1958,4.999385,5.241734,4.893517,1.537761,1.756259,8.432156,3.977085,2.999207,4.007133,2.036269,1.913448,6.74231,7.107958,3.676843,3.457833,1.594887,2.232384,5.322027,5.358477,4.779061,4.096901,2.047452,1.948276
51,14.2516,8.973704,9.529697,6.741901,3.318212,2.354762,10.03411,11.99885,8.404191,5.295547,3.915025,3.484945,14.5803,9.593207,7.144169,6.657032,3.731834,2.460101,16.88048,12.61271,9.849401,4.664656,3.368099,2.3809,11.07787,7.477122,8.666736,4.59628,3.94731,4.039742,13.1796,11.88016,7.052761,6.133922,3.039517,2.765191,16.93737,15.42522,12.71712,10.42141,3.874973,3.922503,23.05234,17.31266,14.99285,8.223595,2.548862,2.130887,10.92826,5.351869,7.266257,5.502571,5.480359,4.758915,7.334462,7.889787,7.213126,6.58075,3.716452,2.390427,6.89658,5.714461,4.982978,4.699656,2.174456,2.084876,10.95297,8.192796,5.106772,4.213953,2.541111,1.750966,8.783189,4.962389,5.262664,4.908728,1.482804,1.685099,8.926071,3.97886,3.071511,3.946439,1.921711,2.004889,6.91215,7.411443,3.459233,3.488343,1.570319,2.133584,5.92309,5.511159,4.820975,4.139635,1.917784,1.924989
54,15.39448,9.597527,10.55823,6.840889,3.461965,2.448765,11.00139,12.54958,9.203299,5.693547,4.241388,3.460872,16.26199,10.38041,7.050747,6.740945,4.481551,2.588215,17.33105,12.83471,9.956976,4.756047,3.418071,2.297158,11.32642,7.62697,8.702127,4.737949,4.035986,3.879155,13.23496,12.10883,7.199793,6.165011,2.948399,2.550194,17.60298,16.5869,13.67969,10.98204,3.918184,3.751946,25.07377,18.55035,16.07552,8.402193,2.282288,2.170564,11.7802,5.943424,7.929995,6.164909,5.68204,4.741057,8.238482,8.657226,7.845193,6.614025,3.900616,2.321146,7.175327,5.769982,4.845098,4.851057,2.120899,1.988141,11.49139,8.403508,5.198966,4.402897,2.53138,1.673661,8.727224,5.162737,5.435338,4.808887,1.506672,1.655495,9.561742,4.07959,3.161911,4.030267,1.842032,1.935335,7.177444,7.39869,3.56307,3.533875,1.552837,2.027904,5.968094,5.715621,4.960135,4.128452,1.894736,1.8876
57,17.34954,10.7209,11.64739,7.677011,3.730964,2.337809,11.85269,13.72962,9.245946,5.812083,4.567427,3.374023,17.13524,10.23048,7.026708,7.432135,4.259212,2.798483,18.73931,13.75111,9.794923,4.968313,3.267251,2.369393,11.33943,7.695177,8.747524,4.881668,4.0527,3.894265,13.36018,11.91582,7.237301,6.191628,2.967947,2.432221,18.60929,17.45025,13.88016,11.0158,4.059803,3.839171,26.43903,19.88653,16.2564,8.667265,2.429233,2.32987,14.03541,6.47746,9.069242,7.055185,6.269514,4.90586,8.553167,10.13812,8.271586,7.078302,3.969316,2.497746,7.25154,6.057163,5.024585,4.902087,2.190061,2.06963,12.19209,8.640051,5.287471,4.514246,2.465069,1.628879,9.361427,5.346424,5.511756,4.972683,1.478348,1.638132,9.657264,4.117815,3.156414,4.064276,1.876281,1.954952,7.279881,7.726521,3.672267,3.511493,1.476931,2.045438,6.159736,5.859802,5.096273,4.061936,1.81866,1.817857
60,19.86207,11.95142,12.61948,9.149793,3.907086,2.392185,13.76542,14.31654,11.50505,6.828972,5.347072,3.302198,17.78771,10.30029,7.109597,6.842579,4.437008,2.779328,18.9461,14.00734,9.972529,5.087481,3.098093,2.106387,11.35042,7.958916,8.679898,5.140953,3.900138,4.035627,13.85266,11.83981,7.106011,6.243802,2.869932,2.277081,18.89094,18.25709,13.39092,11.25386,3.857302,3.694821,28.1497,21.96929,17.38896,8.824726,2.344142,2.257123,15.84507,7.335554,9.219501,6.925808,6.315678,4.870741,10.16303,10.50506,8.567167,7.34614,4.32303,2.47282,7.36509,6.257068,5.279567,5.027384,2.286215,2.012589,11.93875,8.883663,5.536716,4.629452,2.508946,1.524718,9.829699,5.523109,5.552867,4.926996,1.509404,1.616928,10.26202,4.531472,3.357036,4.178646,1.869724,1.991982,7.523372,8.01553,3.78435,3.513013,1.507406,1.977778,6.507782,5.92828,5.306302,4.066034,1.875273,1.833154
63,23.60481,13.7289,14.14406,9.827309,4.247091,2.326609,16.49989,17.07885,13.3492,7.336476,5.506873,3.241641,18.47571,10.36578,7.751977,6.989729,4.546991,2.737977,20.05474,14.50182,9.760742,5.146689,3.103556,2.081956,11.27551,7.980854,8.867955,5.214536,3.858907,4.035901,13.60628,11.5759,7.207373,6.440925,2.869198,2.069664,20.98634,19.28369,13.98598,11.28608,3.947548,3.690792,30.76592,22.30093,17.24333,9.167907,2.413561,2.107463,17.34913,6.964563,10.42678,7.352474,6.88509,4.979103,11.1456,11.84044,9.44225,7.861823,4.455737,2.327018,7.57343,5.967052,5.449714,5.014631,2.379125,2.04846,12.34734,8.824591,5.319756,4.662437,2.460443,1.441864,9.332352,5.501307,5.683542,4.671229,1.497487,1.654454,10.90008,4.546786,3.406308,4.391441,1.742123,2.074905,7.738438,8.090359,3.794167,3.672524,1.659849,1.913721,6.486867,6.081287,5.305568,4.251461,1.867471,1.724947
66,25.19309,14.88245,15.6145,10.30193,4.604663,2.311944,19.30855,18.48256,14.00778,8.285825,5.645453,3.233156,18.88438,10.31662,7.794027,6.811779,4.556501,2.770825,21.47956,15.16472,9.587147,5.140663,2.905461,1.947423,11.52065,7.767906,8.944426,5.452189,3.944134,4.013109,13.66122,11.97779,7.222311,6.321893,2.93177,1.95613,23.24048,20.07232,14.31803,11.67207,4.122323,3.801952,31.68805,22.58745,17.71896,9.801153,2.41706,1.939364,18.71541,8.770369,10.67316,7.871896,6.87121,5.285013,11.52342,13.16565,10.35846,8.805179,4.994383,2.292429,7.83355,6.282848,5.377001,4.842026,2.287341,2.173654,12.80746,8.708803,5.288376,4.723267,2.486103,1.465544,10.32139,5.573781,5.77186,4.758557,1.462453,1.672056,11.2606,4.839362,3.335746,4.424852,1.737052,2.004582,7.751055,8.277033,3.812503,3.570668,1.557993,2.03796,6.610849,6.088833,5.610864,4.184161,1.875273,1.555551
69,30.01038,16.60269,17.11064,11.07325,4.901251,2.281554,22.61884,20.7751,15.79931,8.953046,6.037324,3.171882,19.4466,10.58061,7.49271,7.129026,4.58759,2.847021,21.58212,15.27805,9.606814,5.247487,2.949116,1.856647,11.36961,7.76065,9.158671,5.744287,3.964365,3.964024,13.75659,12.15339,7.226135,6.408128,2.977576,1.920243,24.13115,21.60851,14.74763,11.60525,4.157271,3.889109,34.03493,24.23446,18.77121,10.22451,2.319984,2.075281,21.77333,9.089186,11.37178,7.912443,7.590075,5.426836,13.11172,14.16133,12.02026,9.623562,4.900107,2.30747,8.056982,6.283104,5.32638,5.202995,2.452469,2.028809,13.19887,8.678243,5.381884,4.750396,2.433638,1.366556,10.53976,5.806569,6.28575,5.147065,1.455317,1.646088,11.57474,5.167979,3.481394,4.577346,1.860761,1.938118,8.304092,8.586647,3.868861,3.694257,1.535201,1.943581,6.625789,5.753421,5.650609,4.132293,1.885175,1.657151
72,32.77754,19.01412,18.79424,12.71281,5.037901,2.25294,24.90932,23.71608,17.30084,9.185731,6.371439,3.199352,20.31269,10.12064,8.124863,6.884116,4.64084,2.709056,22.66108,15.20192,9.92389,5.43923,2.860508,1.856886,11.28887,7.495902,9.546752,5.597734,3.886241,4.289721,13.16389,12.11386,7.356332,6.231544,2.915073,1.888624,24.96927,21.86913,14.94344,11.81036,4.166712,3.734003,35.14457,24.41592,19.23898,10.46103,2.261971,1.9745,23.25721,10.43448,12.44636,8.936604,8.304605,5.478294,14.60811,15.29469,12.39604,10.53467,5.14587,2.263918,7.881406,6.660566,5.4183,5.122258,2.573908,2.022526,13.1144,8.824556,5.567003,4.902258,2.483935,1.350422,10.70797,6.385762,6.373897,5.243082,1.417655,1.539913,11.8155,5.46496,3.518408,4.689429,1.838601,1.803004,8.143592,8.774021,3.856773,3.721079,1.365173,1.968456,6.878705,5.806996,5.956297,4.219125,1.839881,1.609638
