Elapsed,WT UT 0nM,WT UT 6.25nM,WT UT 12.5nM,WT UT 25nM,WT UT 50nM,WT UT 100nM,WT UT 0nM,WT UT 6.25nM,WT UT 12.5nM,WT UT 25nM,WT UT 50nM,WT UT 100nM,WT E 0nM,WT E 6.25nM,WT E 12.5nM,WT E 25nM,WT E 50nM,WT E 100nM,WT E 0nM,WT E 6.25nM,WT E 12.5nM,WT E 25nM,WT E 50nM,WT E 100nM,WT E/A 0nM,WT E/A 6.25nM,WT E/A 12.5nM,WT E/A 25nM,WT E/A 50nM,WT E/A 100nM,WT E/A 0nM,WT E/A 6.25nM,WT E/A 12.5nM,WT E/A 25nM,WT E/A 50nM,WT E/A 100nM,KO UT 0nM,KO UT 6.25nM,KO UT 12.5nM,KO UT 25nM,KO UT 50nM,KO UT 100nM,KO UT 0nM,KO UT 6.25nM,KO UT 12.5nM,KO UT 25nM,KO UT 50nM,KO UT 100nM,KO E 0nM,KO E 6.25nM,KO E 12.5nM,KO E 25nM,KO E 50nM,KO E 100nM,KO E 0nM,KO E 6.25nM,KO E 12.5nM,KO E 25nM,KO E 50nM,KO E 100nM,KO E/A 0nM,KO E/A 6.25nM,KO E/A 12.5nM,KO E/A 25nM,KO E/A 50nM,KO E/A 100nM,KO E/A 0nM,KO E/A 6.25nM,KO E/A 12.5nM,KO E/A 25nM,KO E/A 50nM,KO E/A 100nM
60,16.80374,20.89594,13.95846,7.239231,7.414721,8.080576,25.74647,17.80023,17.48752,7.529263,7.480656,5.014359,7.977029,12.4453,7.060393,6.088047,6.148109,5.076452,14.09547,11.42308,9.547383,5.331861,6.071367,3.121841,10.51823,13.36016,8.23657,5.925703,5.406537,7.509851,19.12097,15.5044,9.726904,5.363991,4.332233,4.046674,17.29035,21.39261,15.92358,14.32829,14.88956,16.28582,26.49436,20.2075,15.25427,14.26473,13.07931,8.08884,6.914216,9.936831,9.154898,8.214631,7.501911,7.785593,15.84143,11.95874,9.194506,8.378923,6.56472,4.375017,9.178885,9.490019,9.088075,7.829965,6.957256,6.630535,11.89996,8.472276,7.582223,8.00392,5.328138,3.963785
63,17.72625,22.71021,15.31849,7.570784,7.312319,7.975015,28.17826,19.412,18.65713,7.689813,7.616128,4.765744,8.338017,12.82851,7.153918,6.12472,6.192244,4.892493,14.73778,12.02881,9.045256,5.313507,6.183501,3.332485,10.96229,14.31868,8.273088,5.896406,5.485549,8.263716,19.66868,16.32362,9.583185,5.322743,4.320298,4.182538,18.7944,22.75549,16.3588,14.83689,14.77489,17.89259,27.94783,21.48107,15.03968,13.60058,13.45498,8.36028,6.999204,10.32001,9.247517,8.395006,7.675336,7.8384,16.30207,12.21285,8.986356,8.431506,6.615988,4.288202,9.235106,9.340154,8.948267,7.656472,7.170052,6.667053,12.08438,8.607067,7.680169,8.267078,5.500779,3.923494
66,20.46346,25.53956,16.68925,7.832679,7.978601,8.976863,31.40589,22.06054,20.11444,8.025073,7.603017,5.057296,8.438951,13.31398,7.169505,6.179591,6.181469,4.854864,15.28759,12.34028,9.504957,5.32708,6.107818,3.351282,11.34489,14.24036,8.73991,5.947112,5.59391,9.357467,20.9075,17.32376,9.83745,5.362591,4.072505,4.175078,19.83062,24.14266,17.36779,15.1926,15.52705,17.30369,30.52601,22.8919,15.9986,13.97715,13.5995,8.620946,7.232931,10.63429,9.333548,8.425207,7.471079,7.860423,16.67243,12.09933,9.178577,8.53473,6.882563,4.475968,9.42318,9.409504,8.753585,8.072296,7.337415,6.430254,11.94619,8.503043,7.767548,8.099134,5.242724,3.945415
69,22.30873,29.03417,17.3115,7.934706,8.583746,9.223359,35.57999,25.29097,21.73,8.190184,7.908175,5.286293,8.761917,13.53487,7.278463,6.20462,6.426618,4.874856,16.24636,12.43847,9.845951,5.318236,6.347741,3.458055,11.6789,15.45898,8.962624,5.862875,5.75209,9.947638,21.93526,17.75148,9.856606,5.325868,4.133386,3.987072,21.58306,25.45065,17.2725,16.43155,16.24177,17.80354,32.84481,24.10774,16.13181,14.28851,14.14619,8.673512,7.083885,10.87418,9.488618,8.287124,7.555367,7.749518,17.36847,12.68795,9.129391,8.821109,6.761329,4.539957,9.732743,9.556567,8.957536,7.91905,7.462969,6.355271,12.18567,8.563873,7.629529,8.070676,5.530708,3.860478
72,24.52686,32.55683,19.41365,8.208195,8.644644,8.63867,40.23325,27.91383,23.89288,9.075253,8.640461,5.828115,9.318386,13.85872,7.662977,6.557736,6.500372,4.995014,16.85559,13.56836,9.945196,5.407715,6.633506,3.844258,12.67377,16.14106,8.866796,6.323634,5.988889,11.30668,23.45327,19.12355,10.32247,5.497517,4.262268,4.135674,22.77376,27.1104,18.15759,16.64706,16.42812,18.48213,36.38921,25.87225,16.2138,15.15292,14.92954,9.222283,7.016669,11.49592,9.518873,8.446497,7.760395,8.23944,18.8501,12.74443,9.577671,8.730366,6.626931,4.483566,9.857714,10.0723,9.435044,8.277339,7.357476,7.057508,12.89279,9.071191,7.880449,8.406084,5.376813,4.312769
75,28.76798,35.95705,20.48835,8.67249,9.036361,9.536133,44.93151,31.10302,26.54018,8.754695,8.331341,6.354672,9.627745,14.35332,7.81378,6.51555,5.927598,5.217268,17.12561,13.35029,10.24781,5.460452,6.581194,3.822337,12.80642,17.09684,9.231333,6.260209,5.940317,10.98735,24.7472,20.75047,10.22504,5.729878,4.338225,4.114982,23.47308,28.92923,18.99421,17.75677,17.09455,18.00936,37.93467,27.24307,16.72333,15.31688,14.91991,9.280057,7.824758,11.22781,9.73865,8.259977,7.915721,7.932675,19.12056,13.14037,9.390553,8.901418,6.760663,4.148734,9.739058,10.1612,9.318608,8.513422,7.480161,6.946705,13.05995,9.435829,7.800446,8.308019,5.477526,4.227696
78,31.85694,38.61248,22.56889,9.220063,9.125737,9.842247,49.60625,33.92647,27.92545,9.066188,8.869526,5.902535,9.655829,14.87231,7.955946,6.599906,6.626727,5.432419,17.78588,14.31393,10.71861,6.065187,6.953228,4.251615,13.42408,17.69868,9.212688,6.137815,5.80592,11.34902,25.78924,21.45146,10.78968,5.818127,4.443769,4.391782,25.88264,30.30442,19.647,17.92638,16.8841,19.65339,40.10847,29.08842,17.60551,16.00683,15.94286,9.878374,7.750303,11.2387,9.656461,8.576506,7.957139,7.974623,19.34365,13.38678,9.484827,8.820903,6.887583,4.541494,10.34721,10.33367,9.230973,8.539203,7.395497,6.97479,13.36122,9.512589,7.931223,8.496007,5.615541,4.222455
81,36.1719,44.06084,24.1565,9.745461,9.575809,9.800522,54.99664,37.0734,30.18127,9.008396,8.665268,6.106811,10.36761,15.09125,8.084555,6.612711,6.664783,5.539994,18.8914,14.46094,10.94083,5.567396,7.079617,4.132788,14.11874,17.82431,10.32281,6.391021,6.395562,13.03525,27.25323,22.28048,11.17833,5.737355,4.388897,4.616836,27.50927,32.10109,20.24999,18.57811,17.42843,20.10699,43.05641,31.03809,18.76304,16.1377,16.18803,9.828861,7.72816,11.95591,9.938452,8.59438,8.10313,8.125307,20.5115,13.20705,9.893755,9.022719,7.004462,4.629879,10.27571,10.70389,9.417972,8.199146,7.39116,7.034784,13.42591,9.369417,8.042589,8.574031,5.795232,4.162051
84,39.48411,47.96498,25.90938,9.478973,9.052649,9.271898,60.01965,41.42149,32.59566,8.999058,8.857899,6.333007,10.62215,16.06276,8.066474,6.781492,6.316635,5.56475,19.35246,15.04405,11.34395,5.551979,6.649314,4.055568,14.93188,17.8649,10.34441,6.453491,6.174453,14.4621,28.2414,23.42367,11.83437,5.682945,4.20335,4.524045,29.10149,33.5637,21.70173,18.36235,17.62463,20.47447,45.74258,30.96355,19.27231,16.90688,16.16276,10.11712,7.827849,12.0797,9.922182,8.438063,7.924343,8.222093,21.20954,13.6645,10.1929,8.824182,6.944657,4.728218,10.51828,10.29833,9.078957,8.323881,7.563236,7.112038,13.26148,9.556278,7.929449,8.248589,5.547882,4.254484
87,43.13643,52.1889,27.76921,10.45004,9.437555,9.487203,65.19336,46.31078,35.65911,9.311728,9.385669,6.192687,10.62662,16.48663,8.824677,6.849731,6.649417,5.377292,19.30053,15.26312,11.27083,5.720744,6.536122,4.226347,15.44737,18.89532,10.74886,6.379121,6.119051,14.59126,28.83913,24.6296,12.06019,5.802488,4.33802,4.445647,30.82237,36.54623,21.53339,18.35927,19.05919,21.79983,49.87687,33.5583,19.61036,16.57203,17.1342,10.01188,7.898001,12.65458,9.904903,8.749095,7.943892,8.352563,22.13735,13.89295,10.05654,9.273996,7.161037,4.480885,10.7987,10.50522,9.613574,8.531007,7.522689,7.134198,13.70114,9.578456,7.9674,8.584634,5.795625,4.434942
90,46.85724,56.44163,30.23475,9.966519,9.942841,10.22131,70.19344,50.51354,39.28399,9.94745,9.876853,6.881641,10.64829,16.34113,8.944851,6.606428,6.950666,5.394535,20.23803,16.37912,11.56235,6.117378,6.936325,4.206594,15.84008,19.29407,10.25626,6.592718,6.302583,16.48311,30.19891,25.46482,12.2016,5.693034,4.278283,4.694261,32.03183,38.78836,22.02944,19.15307,19.24461,20.13061,53.94694,35.74815,20.97614,17.0878,17.63371,9.844962,7.632382,12.12513,10.34318,8.57975,8.00952,8.070061,22.43473,14.08382,10.25119,9.099377,6.863629,4.909856,10.83762,10.67023,9.616272,8.857558,7.550364,7.426433,14.00928,9.768988,7.960281,8.418821,5.865658,4.410665
93,50.56955,61.05808,32.62304,10.10862,10.02868,10.291,75.07268,54.98212,43.07618,10.22015,9.401206,6.972724,10.96727,17.17229,9.003173,6.776456,7.135956,5.440272,20.84652,16.75568,12.45202,5.825058,6.517205,3.844412,15.70324,20.2081,11.14913,6.636988,6.543634,15.2977,31.40343,27.66716,12.22571,5.852886,4.270514,4.931897,34.25655,41.37296,23.3192,18.5782,19.37985,20.88647,57.24251,37.64606,20.97796,16.70113,17.41796,9.929319,7.734819,12.11912,10.44311,8.374177,7.99038,8.087252,22.99021,13.97683,10.29604,8.948368,7.398451,4.673483,10.91157,10.3744,9.113752,8.594622,7.547804,7.350595,14.09405,9.694618,7.993402,8.272714,5.666811,4.409538
