Elapsed,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM
30,9.561828,9.642597,11.15859,8.427289,9.74577,9.399191,6.281482,6.204518,7.831296,4.597679,7.657821,5.225462,9.684528,13.44615,14.65332,10.36078,7.708389,4.649426,11.90237,10.51544,10.65085,9.994571,8.170909,3.92993,7.59081,10.58947,9.350178,7.732941,5.697713,4.496916,8.001427,9.743634,7.456259,6.755234,4.565874,4.230837,12.08057,12.61517,9.257233,7.685802,6.759281,5.256058,9.707815,12.96894,6.546383,8.501062,5.62348,4.505214,8.466831,7.722475,8.673342,6.824874,5.392007,6.773604,8.205174,7.366081,8.276588,5.658837,4.279786,3.446241,11.08707,12.40502,13.01922,11.9804,7.017507,6.390713,12.89117,12.86553,11.62855,11.47177,7.154993,4.345686,7.523253,11.13875,8.752595,6.985308,6.51333,6.731384,9.035662,9.088194,7.549715,6.688395,5.55746,3.840366,8.680598,5.51908,6.956454,5.671267,4.596655,5.585067,9.429633,8.263443,7.253946,6.784071,5.397386,5.115497
33,10.54506,10.41789,12.12896,9.237358,10.43766,10.06602,7.059573,6.607077,8.591103,5.0778,8.301976,5.598041,10.56376,14.53746,15.72955,10.33188,7.845501,4.614582,12.54152,11.81492,11.62215,10.07734,7.921117,3.651234,8.130616,11.21172,9.553802,7.867269,5.685079,4.644818,8.579869,10.29059,7.535238,6.806043,4.358047,4.159012,13.17287,13.47827,9.483053,8.003953,6.55649,5.409678,10.35844,14.31226,6.469726,8.370968,5.547967,4.537004,8.779178,7.831536,8.643039,7.431589,5.673299,6.811695,8.572342,7.526786,8.385633,5.649789,4.208352,3.477058,11.76869,13.02161,13.43497,12.3794,7.150077,6.106844,13.7627,12.93558,11.80191,11.63912,6.927976,4.291258,7.506624,11.1253,8.780355,6.881146,6.28196,6.534449,9.121639,8.930594,7.573601,6.918433,5.457567,3.591445,8.981439,5.507436,7.065839,5.597478,4.392618,5.63188,9.065079,8.001375,7.245923,6.754961,4.857374,5.535863
36,11.46334,11.16243,13.16715,10.16999,11.39688,11.1197,8.00281,7.373542,9.173319,5.460658,9.10974,6.205543,11.2746,15.77604,15.99964,10.88983,7.853321,4.439432,13.44463,12.72696,12.61625,10.30593,7.674739,3.577958,8.345734,11.93257,10.00915,7.946828,5.571408,4.782339,9.099103,11.03883,7.728826,6.622869,4.453415,4.257812,14.23746,13.92284,10.01673,8.13941,6.628674,5.365425,11.37763,15.05709,6.734628,8.659257,5.516588,4.534869,9.344711,8.246677,8.886241,7.773506,5.63031,7.019197,9.151756,7.662071,8.782779,6.04417,4.418979,3.592674,11.76341,13.30653,13.27073,13.11267,7.258863,5.887732,14.25144,13.44236,12.61261,11.47823,7.209233,4.150391,7.935321,11.29138,8.955947,6.74074,6.315013,6.315969,9.19442,8.991699,7.608993,6.978374,5.334405,3.536659,9.010086,5.725233,6.93892,5.596334,4.290284,5.390864,9.36095,8.325998,7.206861,6.795781,5.109334,5.028102
39,12.76958,12.13838,14.45992,11.19617,12.25794,12.16151,8.608039,8.075061,10.1915,5.590991,9.715755,6.573256,12.0837,16.96095,16.91691,11.55927,8.023691,4.396528,14.45203,13.45681,13.5274,10.72047,8.034685,3.594894,9.035354,12.33436,10.04101,8.031595,5.636081,4.745462,9.834255,11.55985,8.123719,6.756634,4.545727,4.159968,15.19623,15.07789,10.46715,8.260044,6.50715,5.674818,12.26754,16.21942,6.832232,8.969419,5.608832,4.659979,9.76064,8.278893,8.981592,7.967178,5.752789,7.146525,9.418603,8.006651,8.98574,6.143432,4.564713,3.767841,12.50167,13.81689,13.76268,13.31207,7.416787,5.865981,15.46583,13.93606,13.04669,11.91039,7.126739,4.19594,8.256699,11.43475,8.912891,6.792555,6.217237,6.312708,9.214191,9.177622,7.51948,6.919559,5.54597,3.530256,9.085975,5.495862,7.237113,5.511107,4.321374,5.383386,9.058709,8.36931,7.147275,6.716341,4.845765,5.105765
42,13.91105,12.88209,15.48205,12.12251,13.05177,13.39087,9.444535,8.327022,11.21054,6.035583,10.4945,7.208175,13.12652,18.31637,18.05811,11.73992,8.482726,4.57709,15.44292,15.01362,14.25397,11.45878,8.181375,3.818291,9.496114,13.52134,11.23957,8.184464,5.70963,4.895378,10.81459,12.37165,8.631993,6.808638,4.483975,4.214226,16.17604,16.51381,11.01672,8.750067,6.409135,5.806142,13.0767,17.42447,7.257105,9.049696,5.574994,4.537583,11.0413,8.53963,9.237513,8.397532,6.150619,7.202353,10.34048,8.382457,9.074605,6.798531,4.70966,3.831573,13.08394,14.07776,14.4488,13.53043,7.286915,5.823915,15.84831,14.73421,13.21576,12.34556,7.39577,3.836456,8.544922,11.63417,8.850217,6.942317,6.240029,6.310966,9.619651,9.25865,7.478164,6.78996,5.525893,3.502564,9.305447,5.457259,7.244882,5.784971,4.333598,5.442167,9.691751,8.505654,7.352576,6.701216,4.995322,4.945589
45,15.06317,13.83729,16.83233,13.45978,14.42106,14.36728,10.62393,8.897764,11.89557,6.918295,11.33161,7.781291,14.73092,20.45975,19.4941,12.15399,8.650602,4.697709,17.2141,16.3833,15.83501,11.23313,8.659054,3.596037,10.30799,14.50615,11.45368,8.287275,5.678693,4.799207,11.15847,13.26204,9.04261,6.80553,4.510319,4.219177,18.00107,17.67065,11.8552,8.95424,6.620121,5.578886,14.15113,18.77576,7.417486,9.640276,5.5024,4.898537,11.75027,8.813031,9.348265,9.160344,6.115791,7.315597,10.9199,8.760226,9.173285,6.75054,4.614907,3.977409,13.78679,15.11912,14.87695,14.02243,7.685701,5.742341,16.94964,15.73872,13.65052,12.20813,7.404391,3.995951,8.70631,11.85931,8.961737,6.822143,6.154154,6.182596,9.691546,9.484743,7.45247,6.860078,5.481418,3.478748,9.448532,5.551535,7.236088,5.723066,4.275568,5.315676,9.619362,8.551853,7.30187,6.489907,4.885732,4.804789
48,16.7209,14.83706,18.13572,14.92206,15.01661,15.74069,11.86593,9.614597,13.11566,7.610512,11.9822,8.421125,16.1626,22.00666,20.57902,13.16652,8.984442,4.766803,19.78372,18.29735,16.7735,11.76017,8.811206,3.709622,10.75337,15.42663,11.53916,8.535771,5.549384,4.763063,12.10854,14.11991,9.283778,7.33926,4.510489,4.504224,19.17547,18.40002,12.42174,8.931278,6.450196,5.705617,15.39986,20.07084,7.740488,10.20661,5.565313,4.981288,12.66726,9.12205,9.771208,9.878938,6.355868,7.306633,11.44007,8.807672,9.725077,7.37769,4.897854,4.123706,14.86717,15.80694,14.87911,14.33757,7.737857,5.900486,18.05375,17.31903,14.86873,12.84357,7.248518,3.966688,8.83118,12.43188,9.162972,6.916162,6.152224,6.257034,10.10814,9.85698,7.61833,6.662325,5.493896,3.483255,9.882233,5.704628,7.536825,5.861253,4.349169,5.307395,10.08222,8.990162,7.491174,6.801177,5.179997,5.229782
51,18.60194,15.37598,19.51426,16.28642,16.08472,16.71974,13.26549,10.20972,13.98446,8.075233,12.62883,8.785612,18.14614,24.52064,22.49643,13.19607,9.245486,5.018011,21.70348,20.7252,18.15003,12.29905,8.719439,3.922776,11.18553,16.24734,12.48091,8.741122,5.679564,4.681866,12.54666,15.04724,9.527153,7.229601,4.522457,4.450684,20.40135,19.44143,13.214,9.379166,6.709189,5.421851,16.70198,21.46819,7.943363,10.05651,5.413434,4.545318,13.08744,9.29107,9.734262,10.65114,6.305947,7.607302,12.14658,8.875466,9.83733,7.920144,4.842981,4.130603,16.15058,16.67498,15.74924,14.06687,7.950071,6.194512,19.16703,18.30754,14.77312,14.02513,7.377486,3.727874,9.25957,12.29765,9.122459,6.781406,6.388733,6.435683,10.5257,9.701277,7.407379,6.969566,5.718388,3.428622,9.771582,5.661433,7.283193,5.640297,4.352122,5.340909,10.0049,8.797173,7.651965,6.527978,5.060932,4.805967
54,20.62765,16.18427,20.61636,18.14755,16.73024,17.62944,14.89331,10.39609,14.98684,9.013773,13.06043,9.451607,20.21271,26.42136,24.35982,13.76361,9.41186,5.086525,23.54113,22.13754,19.39994,12.60491,8.758161,3.917535,11.70552,16.89178,12.88627,8.536334,5.584486,4.432535,13.29346,15.42164,9.860668,7.161874,4.390877,4.290626,21.44553,20.08069,12.98495,9.585338,6.334526,5.311646,17.12949,22.32446,8.031918,10.38647,5.107251,4.675941,13.64123,9.340104,9.667662,11.59521,6.303079,7.425,13.0212,8.689971,9.544123,8.450373,4.738838,4.118242,16.94309,17.78533,16.28293,14.6572,7.775776,5.893042,20.96594,19.25201,14.82231,13.72881,7.342008,3.789745,9.209222,12.63113,9.040953,6.696008,6.268131,6.197091,10.31875,9.647532,7.375385,6.440771,5.426461,3.492696,9.53475,5.689278,7.199058,5.398684,4.425808,5.086473,9.780581,8.78698,7.34824,6.739562,5.084014,5.198266
57,22.43291,16.85716,21.96847,20.02267,17.33088,18.82845,16.03413,11.17145,15.8345,10.2272,13.71579,9.84363,21.59043,28.75193,26.10147,14.18528,9.275431,4.950096,25.9537,23.91065,20.86479,13.34773,8.873607,4.11003,12.12365,17.63938,13.3507,8.67365,5.510919,4.485358,14.07635,16.02145,10.00072,7.383955,4.33925,4.455105,22.65517,21.49453,13.99446,9.730027,6.394486,5.401858,18.41783,23.57384,8.492987,10.93323,5.183874,4.61844,14.37983,9.490633,9.737233,12.21787,6.447088,7.515895,14.27396,8.662383,9.778242,9.387071,4.873047,4.285214,18.25206,18.68499,17.58579,14.91844,7.72676,5.931679,22.21029,20.99963,15.93695,14.59961,7.179509,3.730264,9.410356,12.75688,9.010173,6.550873,6.246431,6.11282,11.08752,9.691187,7.566482,6.585924,5.46414,3.763436,9.806429,5.810375,7.620892,5.537434,4.358319,5.000769,10.17595,8.996907,7.45631,6.546263,5.027026,4.933279
60,25.28298,17.3613,23.62484,22.10934,18.25135,20.92038,18.16367,11.68558,16.8203,11.09003,14.61193,10.77104,23.68638,32.04239,28.12228,14.98345,9.687755,5.103,28.38741,26.71605,23.01629,13.83738,8.917398,4.078788,12.91601,18.23652,13.83779,8.940959,5.582369,4.420225,14.79458,16.57037,10.66451,7.695722,4.328067,4.548339,23.42317,22.5981,14.81399,10.1583,6.454173,5.176737,19.64482,25.23822,8.710476,11.14003,5.163011,4.724292,15.42653,9.535415,9.926587,13.53498,6.802798,7.78981,15.61148,8.733131,9.745103,9.88155,5.078108,4.378807,19.72581,20.14902,18.63317,14.87306,7.650872,5.891267,23.37166,22.1369,16.47993,14.70915,7.534282,3.855834,9.405167,12.69024,9.245519,6.512392,6.270111,6.316514,10.57875,9.757634,7.310117,6.594734,5.322094,3.89283,9.964097,5.989179,7.518216,5.327045,4.194882,5.14814,10.52041,9.323457,7.518524,6.602672,5.022365,5.051986
63,29.56747,17.98038,25.22305,24.75946,19.02982,22.52081,20.94168,12.24212,18.11051,12.23409,15.3742,11.40331,27.21188,35.67007,30.33177,16.1773,9.901335,5.146928,31.8731,29.41126,24.98465,14.76755,9.211185,4.121418,13.7325,19.71084,14.46735,9.246031,5.916193,4.481141,15.49362,17.292,10.95416,8.083854,4.43764,4.582775,25.45736,23.67741,15.54395,10.75791,6.382161,5.356701,21.32084,27.15675,9.150868,11.0652,5.209499,4.740186,16.64843,9.695848,9.929456,14.64241,6.959544,7.945889,17.07833,9.043258,9.965256,10.35537,5.222322,4.268756,21.53488,21.20334,19.41565,15.85518,7.995195,5.858401,25.90757,24.01585,17.4055,14.93266,7.507785,4.086368,9.954208,13.65093,9.254518,6.632548,6.208222,6.308235,10.91604,10.26681,7.32299,6.684058,5.453333,4.059307,10.35863,6.135664,7.092405,5.54037,4.33481,5.261248,10.44661,9.427311,7.875737,6.641222,4.966367,5.009373
66,32.89531,18.73363,26.50155,27.68109,19.68236,23.46944,23.17188,12.89723,19.3898,14.06217,16.10642,12.29342,29.93422,38.81101,33.19197,17.00637,10.07295,5.309905,34.65958,32.57102,27.42051,15.54706,9.77056,4.264334,14.16379,20.24979,14.85239,9.558599,5.844692,4.210863,16.31168,18.12042,11.13822,8.269878,4.569493,4.587812,25.81847,24.43469,15.87978,11.07125,6.328978,5.190839,22.62589,28.39876,9.635019,12.08254,5.308471,4.670887,18.35282,9.774639,9.977292,15.62654,6.991999,7.877991,18.69526,9.047714,9.894234,11.1261,5.271218,4.379951,23.19601,22.71744,20.91631,16.03357,8.092528,5.957458,27.90774,26.10328,18.3213,15.45342,7.381378,3.636961,9.471819,13.48849,9.393643,6.801706,6.28394,6.308953,10.70717,10.36894,7.710233,6.873735,5.219249,4.140488,10.34777,6.186028,7.578945,5.462654,4.279,5.162959,10.60383,9.556277,7.753582,6.645643,5.154508,5.064979
69,35.91452,19.12796,27.68249,30.51757,20.50768,24.96949,25.71783,13.04652,20.08466,15.47812,16.48203,12.51849,33.15527,43.17287,36.02201,17.75997,10.09031,5.110034,38.68608,36.50276,29.07172,16.26733,9.169973,4.085429,14.07665,20.84693,15.07534,9.56239,5.688681,4.245964,16.69299,18.29443,11.54283,8.043135,4.330217,4.360676,27.06584,26.39131,16.64863,11.43458,6.319571,5.112936,23.15609,28.89293,9.752564,12.25243,5.085551,4.536508,19.83206,9.76296,9.850288,17.00967,6.949197,7.85595,20.30548,8.708684,9.874958,12.17615,5.248836,4.339693,25.05554,24.3954,21.92745,16.41998,8.011568,5.500539,29.36977,27.29794,19.42816,16.20397,7.368966,3.788516,9.71147,13.73853,9.36911,6.842168,6.260909,6.25647,10.95688,10.40805,7.681159,6.918774,5.39882,3.812982,10.16279,6.099093,7.655396,5.374526,4.145558,5.216875,10.23581,9.286068,7.542682,6.598524,4.903846,4.738855
72,41.00128,20.15067,29.23915,34.88211,21.83372,26.522,29.39527,13.8593,21.79185,17.96351,17.75898,14.43007,36.42392,47.33377,39.49568,19.34381,10.74704,6.094911,42.52469,40.14199,32.03698,17.75518,10.1227,6.658038,15.4448,21.79226,16.64146,10.26652,6.134809,4.631621,17.63404,18.79975,12.29883,8.676247,4.742833,6.317711,29.3694,28.52828,17.43988,11.90177,6.637005,5.616856,25.10703,31.09052,10.86293,13.02979,5.629387,5.363888,21.80731,10.30217,10.46105,19.37872,7.564364,8.52177,22.22743,9.346967,10.56675,14.26935,6.110395,5.353782,27.65983,27.09443,23.6953,18.15609,8.84513,6.580443,32.03686,30.06086,21.84079,17.45458,8.126588,5.152477,11.27003,14.42763,10.49062,7.438454,7.447297,7.543809,12.71937,11.14348,8.884549,7.624784,6.041746,5.749682,11.39408,6.671475,8.150063,6.03676,5.002219,6.6585,12.4847,10.66585,8.96078,7.426108,5.279516,6.052246
