Elapsed,PC9,PC9-A/E,PC9-E,AXL KO,AXL KO-A/E,AXL KO-E,Kin,Kin-A/E,Kin-E,Kdead,Kdead-A/E,Kdead-E,M4,M4-A/E,M4-E,M5,M5-A/E,M5-E,M7,M7-A/E,M7-E,M10,M10-A/E,M10-E,M11,M11-A/E,M11-E,M15,M15-A/E,M15-E
84,88.96225,49.51667,33.41824,29.20148,11.164295,11.657045,73.122075,33.762205,32.75632,45.46066,17.33509,14.832735,51.277195,26.313545,24.40774,45.938755,23.29474,22.81786,60.020495,39.96373,28.024295,48.94603,28.880085,23.9706,55.678365,30.220325,24.03088,41.308175,14.50551,12.9356
87,88.329975,49.461175,33.78743,32.195685,11.116015,11.62615,75.000665,34.539135,33.39758,49.84522,18.449485,15.57958,55.326655,27.07458,25.897065,49.29904,23.783345,23.117915,62.30963,41.565195,29.494075,52.141305,29.933875,23.896135,59.228165,32.49472,24.758145,44.26777,15.091765,12.896245
90,88.471885,50.096975,33.8512,34.5795,11.38272,11.824735,76.9649,36.419775,35.305055,53.69213,19.050325,16.166865,58.89882,27.955315,26.852125,52.72939,24.1122,23.91699,65.471115,43.292205,29.543905,54.867395,31.091935,25.493465,60.78098,33.149455,25.76126,46.67426,15.61742,13.668895
93,88.908625,50.9551,34.39357,37.446865,11.333945,11.704885,78.62803,38.015575,36.62627,55.43627,18.141025,16.02142,60.532275,28.60308,27.721535,54.2311,24.598715,25.674145,66.28223,44.80791,31.314085,57.73649,31.811475,26.272455,61.705955,34.90619,25.9132,48.92968,16.46833,14.24085
96,89.57495,50.926955,34.82632,38.45825,11.3331,11.75698,79.675055,38.700875,37.087325,56.88965,18.740885,16.30176,61.462575,30.14404,28.218075,56.219885,25.29071,26.437085,66.972675,45.31622,31.89825,59.06545,32.22297,26.36661,61.92371,35.602335,26.861775,50.7333,16.731085,14.2885
99,90.850225,51.680625,34.79447,42.184365,11.34604,11.729545,80.63413,39.414775,37.5502,58.418715,19.45182,16.390905,63.834305,30.849855,28.582835,58.96759,26.017615,27.311065,67.41102,47.362115,32.859345,60.903515,32.86488,27.57659,62.24385,36.830785,27.979145,52.74094,17.26964,14.497785
102,91.77078,51.652025,35.256495,43.31703,11.37757,11.749735,80.65437,40.65431,38.766925,60.45008,19.7432,16.84858,64.799,31.5827,29.22226,59.431255,26.202485,28.053195,67.87173,48.21206,33.212625,61.479255,33.90042,28.478375,62.95036,37.82595,28.935415,53.685575,17.711925,14.883775
105,93.37248,52.43533,36.10049,44.849815,11.302195,11.884785,83.19611,41.012235,40.4245,62.4725,19.182185,17.605145,65.207805,32.75269,30.04083,60.234935,27.67131,27.45106,68.209275,49.25098,33.93374,62.330445,34.783725,29.551305,63.306475,38.48699,29.21413,53.602485,18.163235,15.194025
108,94.468995,53.17945,36.53479,46.27948,11.432015,11.79547,84.28944,41.410425,40.891305,62.775735,19.909705,17.28061,66.68897,33.19323,30.57079,60.67402,28.44871,28.044735,69.08963,49.83756,35.0604,63.005205,35.818925,30.32182,64.35672,39.617155,30.53265,54.462155,18.639055,15.452895
111,95.722855,53.6646,36.887275,47.54166,11.660525,11.8196465,85.797545,43.233045,42.103865,63.59218,19.70429,17.657845,67.398325,33.67807,31.33868,61.12167,28.76736,28.773875,69.993495,51.710245,35.617495,63.712325,36.092485,30.6177,65.92102,40.44665,31.450345,55.075565,19.21544,16.2826
114,96.552445,53.619955,36.756205,49.291745,11.49052,11.63475,87.137315,43.621305,43.59524,64.680855,19.323205,17.726505,68.63192,34.394775,31.77107,61.97934,28.530455,29.18396,70.863515,52.773545,35.39307,63.943275,37.282795,30.54895,66.615695,41.753935,31.68417,56.099595,20.00319,16.337905
117,97.060255,54.089845,36.653585,50.92637,11.493855,11.51108,88.21731,44.651595,43.95781,65.658885,19.96258,18.174765,69.758285,34.86542,32.2153,62.972855,29.11898,29.243625,72.58612,52.800535,36.129715,64.731665,38.227925,31.24347,67.46569,42.267375,32.37826,56.67243,20.26044,16.48911
120,97.58126,54.492405,37.323195,51.765735,11.445945,11.407278,88.649585,45.69309,44.56214,67.09344,19.702175,18.51155,70.774375,34.910765,32.62443,63.879235,28.734395,29.620525,74.29265,53.10078,36.643465,65.905005,38.028955,31.235845,68.91898,43.30111,32.81943,57.4895,20.33057,16.555535
123,98.175885,54.93978,38.10937,52.870835,11.68731,11.4885365,89.416005,45.77967,45.226825,68.297445,20.57871,18.76349,72.665465,35.50411,33.422345,64.96691,29.039675,29.674505,76.38105,53.7431,37.288825,67.302205,38.676565,32.021215,70.63284,44.015185,33.105965,58.5964,21.11902,17.088965
126,98.47274,56.46535,39.278,53.266045,11.782095,11.6212885,90.640775,47.212885,46.085585,70.270045,20.49744,18.937255,74.667725,35.460735,33.92105,66.619085,29.2542,30.11737,77.99684,54.85053,38.343745,68.41578,38.96763,32.262655,73.366055,44.50286,34.486765,59.677125,21.019875,17.257895
129,98.55076,55.985285,38.56229,54.373495,11.67289,11.4970465,91.339355,47.225515,46.767545,71.00283,20.529475,18.833525,75.73492,36.86317,33.98511,67.941375,29.776525,30.312035,80.068455,53.87423,38.611895,69.982085,38.576695,32.792935,74.598305,44.77097,34.472595,60.316075,21.21608,17.64654
132,98.851445,57.4615,38.47083,55.91186,12.07598,11.531572,92.549775,48.060855,47.010165,72.29598,22.21904,18.670105,78.60836,37.76663,34.76299,69.60618,30.589955,30.616475,81.673005,54.78393,39.338395,71.009475,39.737915,33.51686,76.171065,46.285865,34.47623,61.94187,21.678095,18.077145
135,98.987035,58.17144,38.644005,56.790135,12.071005,11.4983995,92.976295,47.486785,47.24458,73.911445,21.479495,18.843475,79.370025,38.386125,34.405135,70.648875,30.328505,30.707415,82.962585,55.66621,39.80619,72.00947,39.869205,33.424995,77.06046,45.53152,35.023025,63.45094,21.72354,18.332215
138,99.295715,62.80552,42.599485,60.15937,13.257385,12.19707,94.78101,49.362945,48.89206,75.986585,22.118565,19.8198,81.65184,39.35819,36.63802,75.28624,31.433745,31.702985,85.9234,56.85632,41.169505,74.138885,41.165255,35.005725,81.372125,46.87343,36.15521,66.89129,22.651535,18.96792
141,99.39938,64.732395,44.402265,61.342995,14.02442,12.7298,95.516905,49.29482,48.860975,77.083445,22.03222,19.72576,83.11112,39.4652,37.2751,76.597395,31.688205,32.7902,86.714805,57.34901,41.81833,75.649605,40.86961,34.731715,82.80698,46.918465,36.29552,68.86101,22.72336,18.974295
144,99.536825,65.129155,45.77637,64.13621,14.834985,13.72579,96.56126,51.099465,50.354085,80.425045,24.19477,20.31774,85.96013,41.015095,37.925585,80.07863,32.49902,32.72335,87.907195,57.180605,41.689915,77.98165,42.203125,35.32489,85.11586,47.96409,36.64271,71.12429,22.696555,19.78338
147,99.479695,64.253825,43.96843,64.80197,14.912795,13.01081,96.56602,50.08647,49.32367,79.997485,23.23364,20.019085,86.554525,40.62356,37.281585,80.69934,31.597975,32.333765,87.82833,56.538645,40.836625,78.92157,41.637885,34.485545,85.18349,47.3623,36.01702,71.57621,22.887025,19.529185
150,99.51163,64.702115,43.36321,66.19514,15.098065,13.10963,97.056795,50.50346,49.77181,81.657635,23.34013,20.031865,87.216705,41.27301,37.64848,82.031775,32.53316,32.23453,89.22678,56.7427,41.325745,79.635915,42.19165,35.05154,86.21483,47.58671,36.754415,73.16345,23.423375,19.443185
153,99.53203,64.020585,42.578335,66.524165,14.534465,12.931595,97.51256,49.98201,49.258055,81.83566,23.379835,19.724585,87.467385,40.934025,36.67883,82.29537,32.53811,31.882395,89.56056,55.97379,41.090745,80.24115,42.128115,34.26581,87.04374,46.85482,36.619275,73.37619,23.25872,19.137135
156,99.559685,64.25366,43.4679,68.6845,14.593365,12.956955,97.708095,50.54791,50.16344,82.735285,24.25769,20.162915,88.590445,41.84634,37.71385,83.29756,31.931155,32.04876,90.741935,56.24035,41.574855,81.79887,42.66158,34.6208,87.441345,47.81355,36.35303,74.68723,23.05706,19.350415
159,99.43764,63.82811,42.997255,69.1522,13.757765,12.62618,97.82643,49.7059,49.459095,82.64011,23.86324,19.81445,88.568285,41.40489,36.82438,83.316475,31.595985,31.697045,91.22917,56.076295,40.487325,81.799295,41.935365,34.091685,88.05075,47.801935,35.99156,73.78543,23.241065,19.37835
