Sample ID,Group
C3L.00893,Cold-tumor enriched
C3L.02365,Cold-tumor enriched
C3L.02549,Cold-tumor enriched
C3L.00604.N,NAT enriched
C3L.00140.N,NAT enriched
C3L.00095,Hot-tumor enriched
C3N.00223.N,NAT enriched
C3N.01072,Cold-tumor enriched
X11LU013,Cold-tumor enriched
C3N.00550.N,NAT enriched
C3N.02422,Cold-tumor enriched
C3N.02380,Cold-tumor enriched
C3L.00080,Cold-tumor enriched
C3N.00552.N,NAT enriched
C3N.00546.N,NAT enriched
C3N.00175,Cold-tumor enriched
C3N.02379,Cold-tumor enriched
C3N.02067.N,NAT enriched
C3N.01416.N,NAT enriched
C3N.01023.N,NAT enriched
C3N.00578,Cold-tumor enriched
C3N.02158,Cold-tumor enriched
C3N.02421,Cold-tumor enriched
C3L.00009.N,Hot-tumor enriched
C3N.02529,Hot-tumor enriched
C3L.00095.N,NAT enriched
C3L.02350,Hot-tumor enriched
C3N.02586,Cold-tumor enriched
C3N.00704,Cold-tumor enriched
C3N.00556,Cold-tumor enriched
C3L.00893.N,NAT enriched
C3N.02145,Cold-tumor enriched
C3N.00704.N,NAT enriched
C3N.00959.N,NAT enriched
C3L.01862,Cold-tumor enriched
C3N.00559.N,NAT enriched
C3N.00547.N,NAT enriched
C3N.02003,Hot-tumor enriched
C3N.01030,Cold-tumor enriched
C3N.01071.N,NAT enriched
C3N.02582,Cold-tumor enriched
C3N.02729.N,NAT enriched
C3N.02588.N,NAT enriched
C3N.01023,Cold-tumor enriched
C3L.00913,Cold-tumor enriched
C3N.01414.N,NAT enriched
X11LU016,Cold-tumor enriched
C3N.00560.N,NAT enriched
C3L.01632.N,Hot-tumor enriched
C3L.00510.N,NAT enriched
C3L.00144.N,NAT enriched
