Elapsed,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM
30,5.37318,6.62554,4.703207,3.279042,2.221251,2.224969,6.109358,5.535455,5.843744,4.345536,3.387693,2.057087,7.350115,7.018912,6.650519,7.331207,4.542465,3.549566,10.03228,8.066125,7.667563,5.693245,3.19707,2.005694,5.76813,11.35414,6.486332,4.201078,4.566996,3.775214,11.42768,8.710626,8.809603,5.139253,3.142596,2.523469,8.733701,9.162121,9.560691,6.359356,4.56148,4.470182,13.57662,10.21543,9.60171,6.100397,4.25373,3.037663,7.225226,8.018618,7.375346,6.402487,6.737886,5.355478,10.33909,9.887236,11.67337,7.669908,5.814007,3.032928,7.690084,12.08229,8.88643,6.274448,4.557178,5.322402,14.18957,8.899299,7.923548,6.338938,5.580148,2.717484,6.157769,10.44508,4.561777,2.798622,2.199087,3.019171,8.317041,7.275618,9.989088,6.221151,3.706066,2.887886,7.386865,11.17783,7.736188,5.851013,3.336293,3.852937,12.62368,10.60976,11.00332,6.052479,5.712784,3.073432
33,5.946992,6.73841,4.603176,3.622425,2.347779,2.640346,6.967443,5.982473,6.165327,4.708883,3.561387,2.286021,8.296797,7.430252,6.945219,7.573853,4.822535,3.595738,10.6343,9.133492,8.24577,5.86436,3.399917,2.154515,6.119207,11.81226,7.159925,4.328714,5.047174,4.064526,11.95083,9.313568,9.535316,5.315694,3.515913,2.709039,9.845177,10.24444,10.8003,6.524363,4.772317,4.67935,14.6798,11.42571,10.21818,6.571833,4.50256,3.380598,7.62743,8.646106,8.555871,6.594627,7.080958,5.7429,11.50809,10.70568,12.53536,8.640088,6.031719,3.307368,8.674022,12.862,9.939175,6.999631,4.961294,5.723506,15.93127,9.79043,8.727979,6.871675,6.248361,2.669324,6.499353,10.883,4.708002,2.885807,2.559679,3.246179,8.83937,8.166893,10.63276,6.104077,3.90801,3.379323,8.510632,11.63036,8.427606,6.064779,3.805339,4.165142,14.29335,11.80431,11.82329,6.32059,6.018698,3.444762
36,6.690902,7.10071,5.568675,3.803942,2.637955,2.823874,7.508771,6.444364,6.745611,5.02155,3.680753,2.535405,8.976294,8.321147,7.453342,8.208459,5.426857,4.059427,11.72549,9.857985,8.693493,6.32757,3.674326,2.46763,6.581431,12.59059,7.976892,4.429147,5.373446,4.355385,13.19362,10.02242,9.741039,5.41804,4.004073,3.028709,10.48456,10.97367,11.17811,6.979986,5.220967,5.008711,16.2778,12.54183,11.38806,6.89152,5.011473,3.710171,8.003169,9.350636,9.18053,7.299057,7.734389,6.347361,12.66844,11.57657,13.1491,9.430497,6.29357,3.554968,9.280045,13.85769,10.16123,7.047344,5.24943,6.244028,16.13487,10.40297,9.20447,7.091035,6.38357,2.903866,7.030825,11.64174,5.332175,2.948278,2.425183,3.814049,9.085909,8.836691,11.44493,6.693308,4.137278,3.439791,8.749347,12.5138,8.726789,6.313146,3.734695,4.492445,14.92732,12.18936,12.76986,6.636884,6.205793,3.571654
39,7.632613,7.57528,6.20341,3.944948,2.72533,2.904966,8.225425,7.609591,7.468988,5.289736,3.875656,2.702073,9.619246,9.044797,8.145836,8.438015,5.381808,4.323106,13.24829,10.43133,9.413638,6.578859,3.937572,2.529759,6.996049,13.33024,8.293156,4.464249,5.729395,4.793867,13.6513,10.46144,10.29594,5.606842,4.073745,3.252082,11.03094,12.2146,12.39054,7.640171,5.572909,5.269097,17.64538,13.31065,12.50319,7.477494,5.232348,3.952817,8.795519,9.849812,10.2337,8.041981,8.095824,6.785076,13.69513,12.56798,13.93031,10.19137,6.79173,3.894443,10.4344,14.65028,11.28685,7.29669,5.490877,6.721557,18.23131,11.15588,9.782075,7.355814,6.621981,3.158546,7.695616,12.27575,5.694338,2.971254,2.561485,3.895566,10.25423,9.624324,12.23086,6.900578,4.124037,3.633731,9.68149,13.44525,9.377831,6.562553,3.78328,4.674692,15.97649,12.91911,13.25295,6.887831,6.52884,3.695951
42,8.718433,8.240973,6.511548,4.25395,2.991043,3.203815,9.102382,8.422658,8.61202,5.290244,3.979253,2.648783,10.54146,9.940025,8.405236,8.779903,5.590111,4.652239,14.4609,10.93787,10.13684,6.827181,3.928095,2.802932,7.260033,13.78872,8.414076,4.668667,5.931338,5.348337,14.51381,10.73218,10.97383,5.840792,4.073798,3.213073,11.80895,13.18978,13.10264,8.253941,5.70402,5.975803,19.71006,14.63425,13.57709,7.801164,5.158352,3.884154,9.525354,10.84039,10.69859,8.741038,8.778249,7.054643,14.96863,13.70641,14.94426,10.67704,7.186483,4.098436,11.10341,15.56936,11.69775,7.465307,5.501749,7.025825,19.79044,11.76544,10.07427,7.50934,6.434765,3.180543,8.069775,12.84674,5.756483,3.080869,2.500812,4.110736,10.78726,10.0345,12.35844,7.110536,4.443769,3.696422,9.877614,13.90017,9.760921,6.760984,3.835485,4.797,17.08446,13.7363,13.58362,7.03723,6.551505,3.839651
45,9.400799,9.000567,7.287615,4.675504,2.985079,3.321405,9.999605,9.137938,9.375401,5.648325,4.258981,2.696655,11.41228,10.85752,8.996364,9.098391,5.657969,4.821236,15.2692,11.7622,10.80599,7.018813,4.381517,3.076339,7.638032,14.31198,8.748838,4.771764,6.016209,5.535842,15.10669,11.31922,11.25995,5.983953,4.154503,3.433789,12.76875,14.84409,13.96017,8.849788,5.754723,6.406826,21.40024,15.80829,14.46287,8.250837,5.466094,3.932648,10.83618,12.28557,11.8938,9.285561,9.504214,7.328278,16.14862,14.60656,16.45468,11.30475,7.855705,4.332166,11.39635,16.42193,12.37315,7.749315,5.501916,7.195922,20.95833,12.29164,10.52034,7.707438,6.645428,3.365817,8.652805,13.13172,6.008165,3.297207,2.66399,4.268147,11.3938,10.28272,12.58762,7.219984,4.516416,3.832784,10.43966,14.25566,10.26253,7.021044,4.030448,5.021208,18.30251,14.16991,14.18284,7.307821,6.671302,3.852087
48,10.28476,10.33625,7.975367,4.91069,3.15718,3.470621,11.26002,10.04728,10.68681,5.795872,4.727048,2.682481,12.06226,11.28094,9.485729,9.043713,5.464417,4.877311,16.46413,12.28977,11.35333,7.223467,4.256188,3.181939,8.100885,15.07634,9.167812,4.885696,6.046591,5.587819,15.89558,11.47945,11.47102,5.990175,3.974473,3.900862,14.31766,16.09238,15.20147,8.919209,5.945574,6.752273,23.35304,17.74126,15.42686,8.625011,5.383166,4.215312,12.78485,13.80779,13.10917,10.0205,10.17712,7.719039,18.46944,17.40602,18.39054,12.42486,8.433463,4.413136,12.51297,16.84953,12.7122,7.996021,5.610727,7.648738,22.59881,12.91846,10.97301,8.106637,6.701411,3.265581,9.135221,13.53094,6.166093,3.390243,2.813077,4.162516,12.15601,10.62118,13.13707,7.443538,4.764372,3.82364,11.61249,15.14115,10.87358,7.341769,4.010272,5.281071,19.2165,14.74147,14.78862,7.540989,6.548454,3.727532
51,11.05644,11.34971,8.896529,5.216589,3.44552,3.665205,12.17965,10.76263,11.47222,6.149134,4.778175,3.002842,13.14022,12.06439,10.17317,9.146611,5.591582,5.145262,17.78502,12.74315,11.88027,7.414864,4.142021,3.611498,8.36845,15.5537,9.412249,5.020753,6.182741,5.870817,16.6498,12.02802,11.64871,6.255956,4.112124,6.324467,15.9189,17.70526,15.78811,9.1759,6.388979,7.191839,25.06869,18.89077,16.6846,8.873174,5.507843,4.350453,13.86153,14.95852,14.27725,10.65971,10.85642,7.841834,20.76032,18.87524,20.67006,13.55656,9.04677,4.471905,12.53137,17.625,12.89226,8.311077,5.812193,7.779796,24.10793,13.3584,11.33421,8.40025,6.819881,3.371325,9.16414,13.97148,6.354675,3.604054,2.920339,4.218249,13.15751,10.89269,13.72901,7.55694,4.866635,3.897387,12.18839,15.64652,11.28166,7.530519,3.884458,5.798451,19.54723,15.33989,15.37634,7.725368,6.575551,3.706847
54,12.055,13.18005,10.06804,5.716153,3.738436,3.873797,13.55987,12.18217,12.69302,6.419886,5.201785,2.924816,13.93563,12.28653,10.48663,9.328525,5.700257,5.094037,18.9412,13.76316,12.15779,7.432035,4.134304,5.607199,8.649081,15.85226,10.02054,5.109744,6.441321,6.171199,17.4241,12.45278,11.7527,6.363204,4.473278,6.023934,17.01703,18.65636,16.38464,9.528935,6.694378,7.358546,27.80598,20.461,17.32023,8.931017,5.688131,4.45207,15.06837,16.22668,15.66788,11.14538,11.40726,8.063667,23.28224,21.22376,22.50121,14.83165,9.528071,4.547974,13.83832,18.42685,13.60343,8.673469,5.978816,8.222543,24.80464,14.25435,11.70675,8.939613,7.031379,3.333364,9.662991,14.14197,6.679141,3.618577,2.79026,4.598107,13.60121,11.64173,14.04854,7.823206,4.8697,3.881506,13.12273,16.42356,11.65082,7.782133,3.938498,6.461596,20.73548,15.84349,15.72942,7.806566,6.546292,3.630764
57,14.56206,15.14256,11.13865,6.450442,3.964972,3.919498,15.66489,13.81819,14.20168,6.844057,5.158253,3.110272,14.37655,13.33124,10.91799,9.640895,6.145127,5.388599,20.56364,14.52664,12.42827,7.402397,4.200015,8.293049,9.208795,16.25844,9.792759,5.2119,7.023336,6.237631,17.1554,12.80204,11.99034,6.552233,4.545075,8.25178,18.42696,20.48286,17.55752,10.32547,7.469102,8.085528,30.8459,21.67563,18.08729,9.678113,5.960119,4.134714,17.52531,18.44337,17.62163,12.97934,11.90885,8.478292,25.52653,23.43739,25.38839,15.9107,10.02375,4.525991,14.18312,19.01613,13.81425,8.699813,5.902915,8.846222,26.58087,15.00196,12.42156,9.412848,7.078044,3.449929,10.76629,14.84842,6.848731,3.747147,2.74474,4.50061,14.67932,12.12064,14.46048,7.911325,5.087739,3.757337,13.3038,16.51461,12.43327,8.357736,4.295858,7.323269,21.89066,16.5661,15.98723,8.181932,6.624668,3.620186
60,16.20937,16.37373,12.13907,6.866638,4.21853,4.261947,17.99624,16.15499,14.89264,7.474808,5.722224,2.930279,15.5146,13.69959,10.95637,9.704178,6.072966,5.282839,21.05656,15.31471,12.75655,7.601761,4.060125,6.883157,9.384121,16.3679,10.54705,5.36494,7.195854,6.467431,17.83548,12.96648,11.90575,6.672137,5.06779,7.156784,19.99751,21.96433,18.69016,10.42736,7.442013,8.242036,32.65903,22.604,18.82236,9.555956,5.809515,4.048447,20.22696,21.29547,19.01856,14.14707,12.78266,8.961368,29.69424,26.03292,27.71763,18.11129,11.14495,4.828377,15.32994,19.43,14.30078,9.058356,6.481127,8.832586,27.3425,15.2403,13.28529,9.963032,7.138269,3.415609,10.90618,14.92261,7.225606,3.803821,2.799517,4.519989,14.7555,12.24347,14.89988,8.227687,4.751291,3.893411,13.94574,17.01983,12.66534,8.291668,4.006569,8.269876,22.678,16.49098,16.70989,8.239251,6.521206,3.662648
63,17.76573,18.82626,13.55209,7.634662,4.422789,4.8971,21.13671,18.14575,16.83009,7.97306,6.028167,2.970328,16.24418,14.3834,11.3255,9.841125,6.432239,5.540387,21.82211,15.81647,12.91607,7.624282,3.936457,6.90589,9.362586,16.72297,10.81266,5.252092,7.819064,6.929883,18.20031,13.16117,12.12196,6.718515,5.102444,5.270713,20.49512,22.73856,19.60591,11.09357,8.263813,9.007701,33.99718,23.92845,19.48195,9.79861,5.89912,3.919233,23.89062,24.02501,21.46877,15.45666,14.10052,9.458535,32.04506,28.88545,30.49277,20.01214,11.77078,4.88477,16.06549,20.37429,14.97191,9.238735,6.649434,9.380713,28.36357,15.93812,13.87514,10.60388,7.177788,3.508962,11.3544,15.56891,7.354563,3.890695,2.873286,4.408826,15.2478,12.77741,15.17272,8.346824,4.722199,3.869949,14.31566,17.42889,13.15783,8.757808,4.107428,9.018672,23.24295,17.09669,17.09298,8.601792,6.522845,3.665569
66,20.35892,20.75723,15.33725,8.314386,4.611204,5.085455,24.11914,20.26237,18.25132,8.378755,6.432458,3.027867,16.86771,14.9539,11.83298,9.880489,6.519931,5.805455,22.86153,16.11937,13.04372,7.578671,3.854053,5.610158,9.672886,16.92802,10.88077,5.456025,8.134757,7.319651,18.4018,13.3399,12.81522,6.853161,5.289721,4.374378,21.92799,24.0545,20.47875,11.53144,8.936344,9.595989,36.06067,25.9287,20.38071,10.24179,5.952979,4.309153,25.93771,27.66512,23.32107,16.67868,15.00763,9.775164,36.98973,32.03125,33.48704,22.08639,12.603,5.038212,16.18024,20.91736,15.20876,9.222824,6.990154,10.00646,29.59002,16.64185,14.33352,11.13774,6.839769,3.368268,11.45478,16.04178,7.684947,3.8942,2.870456,4.237864,16.0471,12.92529,15.35721,8.576615,4.850935,3.850335,14.97085,18.08821,13.61518,8.814831,4.028286,9.891029,24.39611,17.52093,17.84146,8.932231,6.598686,3.620095
69,23.43794,24.54419,17.36004,9.019423,4.8697,4.837588,28.03142,23.03922,19.78974,9.071112,6.76348,2.898198,17.54799,15.40385,11.95769,10.35644,7.018965,5.876234,23.57075,16.51056,13.53925,7.603537,3.722661,4.684722,9.55374,16.93641,10.70958,5.500665,9.096189,7.628691,18.69336,13.63056,12.89537,7.077126,5.485466,3.909148,23.53054,25.60602,20.99868,11.54197,10.36674,11.36466,37.98974,26.81752,20.81505,10.69372,5.76379,4.077053,31.21301,31.93465,25.12896,18.28834,16.01583,10.06292,40.05794,35.36855,36.2376,24.03385,13.28267,5.030238,16.89694,21.60872,15.7046,9.676459,7.23478,10.32573,31.08813,17.33714,14.90832,11.9888,6.814722,3.486283,12.13946,16.60153,7.904047,4.128158,2.952459,4.060785,16.94501,13.55815,15.83298,8.646319,4.86143,3.772073,15.72062,18.00763,14.21608,9.225177,4.212945,10.96707,25.23586,18.36579,18.39988,9.232575,6.36614,3.622872
72,27.16235,28.53351,19.69102,9.829067,5.181616,4.541691,32.10153,27.26494,22.46497,9.332417,7.555627,3.118087,18.46186,16.41301,12.47305,10.59791,7.45269,6.380732,24.53052,17.37519,14.05091,7.803121,3.727965,5.444149,10.04144,17.20856,11.01402,5.665838,10.25246,8.849295,19.22506,14.0097,13.14383,7.589158,4.937726,3.616832,25.08735,26.44715,21.49447,12.34964,10.78531,12.75681,40.73542,28.14768,22.32569,10.88218,5.59442,3.840463,35.31438,35.97868,27.68198,19.80612,17.60194,11.12972,46.64972,40.24834,40.88852,26.78716,14.17526,5.265698,17.14986,22.36132,16.15348,10.14189,8.758225,11.60427,32.84464,18.26543,15.96234,13.51648,7.096651,3.560925,12.76905,17.27261,8.383042,4.363201,3.124181,4.295516,17.60805,14.05862,16.00144,9.424374,5.001024,3.825378,16.14562,18.87646,15.10384,9.395,4.668188,13.1092,25.98545,18.75446,18.99427,9.785824,6.573305,3.628973
