Elapsed,WT UT 0nM,WT UT 5nM,WT UT 10nM,WT UT 15nM,WT UT 20nM,WT UT 25nM,WT UT 0nM,WT UT 5nM,WT UT 10nM,WT UT 15nM,WT UT 20nM,WT UT 25nM,WT E 0nM,WT E 5nM,WT E 10nM,WT E 15nM,WT E 20nM,WT E 25nM,WT E 0nM,WT E 5nM,WT E 10nM,WT E 15nM,WT E 20nM,WT E 25nM,WT EA 0nM,WT EA 5nM,WT EA 10nM,WT EA 15nM,WT EA 20nM,WT EA 25nM,WT EA 0nM,WT EA 5nM,WT EA 10nM,WT EA 15nM,WT EA 20nM,WT EA 25nM,KO UT 0nM,KO UT 5nM,KO UT 10nM,KO UT 15nM,KO UT 20nM,KO UT 25nM,KO UT 0nM,KO UT 5nM,KO UT 10nM,KO UT 15nM,KO UT 20nM,KO UT 25nM,KO E 0nM,KO E 5nM,KO E 10nM,KO E 15nM,KO E 20nM,KO E 25nM,KO E 0nM,KO E 5nM,KO E 10nM,KO E 15nM,KO E 20nM,KO E 25nM,KO EA 0nM,KO EA 5nM,KO EA 10nM,KO EA 15nM,KO EA 20nM,KO EA 25nM,KO EA 0nM,KO EA 5nM,KO EA 10nM,KO EA 15nM,KO EA 20nM,KO EA 25nM
45,27.92828,26.613,32.62331,17.27083,17.23809,11.88077,35.07578,32.58025,29.0905,15.94274,15.44574,12.56708,17.52245,11.56269,22.17328,8.268103,14.79748,10.11032,23.72588,20.32421,15.13264,13.81153,7.384433,8.646078,14.55278,13.10017,20.72463,7.769664,10.83547,11.2558,28.81769,22.89573,15.47609,12.76128,8.30283,9.373137,15.38718,14.79333,13.35326,8.303427,10.25594,14.48585,19.93652,13.6091,12.75667,8.863499,8.473505,5.614176,4.115903,4.615862,9.429685,6.192225,7.431316,7.251387,13.73632,9.048518,7.041954,5.022092,4.991413,3.922384,2.781769,3.369107,6.054432,4.153037,5.04905,6.068039,10.36814,7.379466,6.736795,6.61131,4.338413,5.015707
48,32.02754,29.36047,35.85757,18.50741,17.14584,11.61708,40.19971,37.24408,32.97027,16.07915,15.74692,12.26866,18.54038,11.65049,22.97339,8.472344,15.23016,9.790739,25.02187,21.67291,15.65423,13.81348,7.583417,9.111276,15.29609,13.75866,22.05582,7.870189,10.75846,10.3397,30.77085,24.48843,15.90373,13.34229,8.508659,9.435882,16.75855,15.82173,13.80805,8.678789,10.38745,14.11167,21.99116,14.94762,13.05065,8.456244,8.680701,6.334186,4.082031,4.739657,9.956395,6.162826,7.307505,7.548247,13.94318,9.22983,6.940491,4.929932,5.060659,3.999723,2.751721,3.276435,5.999081,4.110884,5.277672,6.115518,10.75967,7.380644,6.764351,6.615356,4.431357,5.075786
51,35.7639,33.39101,39.6651,19.57194,18.96358,12.21456,44.88873,41.03682,37.7036,16.88724,16.84982,12.70684,19.07615,12.48221,24.45097,8.3128,16.04352,10.76846,26.22528,22.6584,16.04267,13.98035,8.178779,8.952022,16.49422,14.4641,23.64636,8.288368,11.0063,11.22304,32.93382,25.80245,17.89577,14.15174,8.460975,9.571286,18.3735,17.14869,14.4526,9.061901,10.74668,15.57096,24.48795,16.28574,13.92692,8.97251,9.070114,6.37615,4.203709,4.858603,10.28001,6.098889,7.621217,7.31628,14.48754,9.645397,7.026008,5.091732,5.143462,4.16567,2.825117,3.329993,6.212321,4.233569,5.119134,6.040807,10.91716,7.932333,6.77369,6.765494,4.368495,5.169566
54,40.5636,37.9383,43.57322,21.11333,19.22314,12.72882,49.93792,46.51285,40.02468,17.82503,17.7388,13.20657,20.31683,12.83975,25.72175,8.947294,16.42797,10.29464,27.02568,23.38251,16.81892,14.56442,8.362347,9.18667,17.99359,15.47119,25.07459,8.335114,11.07605,11.81632,36.03339,27.64973,18.4874,14.42455,8.879324,9.544958,20.27734,17.67358,14.93297,9.360352,11.2733,14.48624,27.27648,17.1559,14.55052,9.445817,8.939848,6.897177,4.323235,4.931726,10.28993,6.049907,7.587292,7.763893,14.93359,9.681251,7.260503,4.999726,5.084835,3.928735,2.795905,3.522915,5.911241,4.253971,5.104058,6.074424,11.17012,8.104888,7.057149,7.016243,4.598431,5.071979
57,44.26229,41.94076,48.05996,22.13208,19.93096,13.05302,55.71907,51.05774,44.13019,18.68987,19.08227,13.04416,20.79983,13.35512,26.63637,8.694667,16.20056,11.2697,27.72288,24.13769,17.23851,14.22524,8.504426,8.764358,18.86498,16.26738,26.98343,8.093209,11.02549,13.72039,36.76778,29.25177,18.83077,15.34084,8.987994,9.493143,22.44397,18.92405,15.12289,9.579139,10.94197,15.02313,30.51172,18.2048,14.82936,9.556604,9.456318,7.130425,4.335442,4.895873,10.35935,6.110567,7.862489,7.437018,15.32541,9.523106,7.484293,4.958701,5.280148,4.040732,2.761384,3.574833,6.047124,4.094801,5.187578,5.866494,11.33709,7.879169,6.983719,6.922411,4.577704,5.01429
60,50.72694,47.10666,51.45464,22.68707,20.30128,13.15484,61.79882,54.93048,49.60034,19.75123,19.0612,12.78759,21.7368,13.0613,26.91611,8.488599,15.7001,10.59787,27.82029,24.80423,17.64544,14.09579,8.088156,8.406461,19.56232,17.75757,28.52676,8.03255,11.26596,13.55759,39.01688,30.2694,19.56715,15.88575,9.08338,9.624501,24.48428,20.46911,16.07312,9.795228,11.26359,15.77884,33.8409,19.60441,15.45239,9.374435,9.482985,7.129162,4.202138,4.875983,10.22276,6.022863,7.738813,7.615872,15.43367,9.946527,7.532232,4.863913,5.23108,4.110559,2.698334,3.461453,6.186113,4.029105,5.222066,6.129654,11.52458,7.918146,6.916982,6.978631,4.562613,4.853499
63,56.24658,52.11292,57.33759,23.51482,21.27341,14.05325,68.34091,62.19924,55.24514,20.60132,19.88099,12.77835,22.44849,13.63197,27.73712,8.569592,16.37756,10.2391,28.06197,25.21604,18.5398,14.51778,8.40916,8.49478,20.98131,18.28885,29.07658,7.948792,11.454,13.23155,40.74999,31.92077,20.0076,15.57089,9.122066,9.593446,27.02947,21.66516,16.11289,9.937258,11.49783,13.87912,37.29212,20.9136,16.26349,9.85466,9.202497,7.442447,4.37978,4.933399,10.36946,6.004254,7.929379,7.804835,15.77561,10.04183,7.815812,4.90388,5.329436,4.082287,2.690344,3.519398,5.941922,4.009438,5.235792,6.27455,11.44803,7.977644,6.938494,7.062937,4.423059,4.73165
66,62.85707,57.64363,62.03954,25.26455,21.20515,14.5391,74.54892,67.89341,59.87456,20.52437,20.50933,13.17611,22.86551,14.2427,28.82041,9.242874,16.56216,10.9977,28.89138,25.93289,18.47369,14.77807,8.476954,8.68449,22.25137,19.87605,30.36984,8.033849,11.58213,12.80289,42.76357,32.82344,21.37917,16.60423,9.035403,10.0366,30.39047,23.52412,17.3347,10.19055,11.44678,15.09386,41.18664,22.2779,17.08768,10.29297,9.559623,7.888885,4.332762,5.036775,10.50399,5.932549,7.790545,7.893288,16.34854,10.27881,7.64575,4.900961,5.358341,3.917245,2.712829,3.545964,5.906394,4.006825,5.313916,6.340622,11.64267,8.028691,7.094727,7.082229,4.491709,4.858193
69,68.55679,63.12631,66.11061,26.1324,22.0179,14.83685,79.06841,73.22678,65.13196,21.84497,21.24252,13.63119,23.49203,14.37638,28.83548,9.009317,17.14786,10.564,29.37041,26.25925,18.78884,15.21947,8.303614,8.483204,23.10456,20.33695,31.66246,8.063334,12.1124,12.81089,44.22811,34.61779,22.37723,16.58718,9.413309,10.51635,33.52296,24.51146,17.75793,10.45834,11.72683,15.99976,45.97286,23.54613,16.80618,10.22304,9.331754,8.453103,4.426201,5.279447,10.73047,5.926846,7.756928,7.605253,16.50268,10.32425,8.015716,4.936779,5.22198,3.951168,2.650462,3.471235,5.966643,3.941522,5.194715,6.221744,11.85229,8.212446,6.726056,6.956164,4.141393,4.714731
72,75.34918,69.67825,71.16218,27.09657,22.13362,14.82579,84.38805,78.41121,70.14893,22.46452,22.23607,14.32621,24.33925,14.90125,29.64787,9.086418,17.42855,11.40654,29.97087,27.11301,19.49301,15.16369,8.763778,8.47552,23.65598,21.26506,32.49988,8.3983,12.51028,14.62631,45.36063,36.24631,23.39441,16.60286,9.670256,10.57784,36.84706,26.80078,19.06477,10.66167,12.38575,17.0768,49.2323,25.33164,17.7697,10.30192,9.711861,8.741019,4.520938,5.15217,10.37359,5.92514,7.655106,7.773233,16.71197,10.35341,7.921134,4.938846,5.096222,3.973227,2.676072,3.535975,6.146453,3.920095,5.157667,6.146948,11.99962,8.141304,6.886251,6.849716,4.336603,4.772949
75,79.68808,75.45133,76.76723,28.965,22.57032,15.64079,87.88958,82.85432,75.09159,22.78218,23.65738,14.45637,24.67773,15.32167,30.15953,8.886307,17.54688,10.94276,29.86917,27.30491,19.61627,15.40942,8.975975,8.795499,24.93751,23.42647,33.79675,8.201332,12.47978,14.97313,46.59764,37.48302,24.55191,17.17178,9.510933,11.25029,40.14561,28.16058,18.73509,10.67794,12.9507,17.12501,54.26993,27.44229,18.34238,10.82596,10.53223,8.805656,4.544772,5.169583,10.92319,5.842797,7.770995,7.428175,17.19761,10.45495,7.680049,4.963345,5.219163,4.044522,2.642916,3.573502,6.11224,3.891977,5.311851,6.2038,12.10316,8.330197,6.989012,6.891918,4.365644,4.627198
78,85.01821,81.36337,81.9073,30.87177,23.90411,15.71197,91.58058,86.78123,79.67244,24.67157,23.76346,14.43283,25.0968,15.68296,30.70811,9.02074,18.50198,11.39126,30.79592,28.02255,20.46371,16.43778,9.23893,8.804035,25.56637,23.71449,36.2529,8.484825,13.11059,16.46535,48.70529,40.09046,26.06184,18.73226,9.42697,11.11468,44.78684,30.12904,19.4077,11.12731,13.36719,19.11662,60.9277,29.31555,19.31659,10.79895,10.95577,9.264317,4.664929,5.213511,10.27556,5.833766,7.771355,7.657018,17.52784,10.39885,8.10125,5.164086,5.3055,3.979833,2.671667,3.631361,6.102149,4.000457,5.184284,6.208258,12.14572,8.461624,7.252342,6.90667,4.561707,4.890598
