Elapsed,WT UT 0nM,WT UT 5nM,WT UT 10nM,WT UT 15nM,WT UT 20nM,WT UT 25nM,WT UT 0nM,WT UT 5nM,WT UT 10nM,WT UT 15nM,WT UT 20nM,WT UT 25nM,WT E 0nM,WT E 5nM,WT E 10nM,WT E 15nM,WT E 20nM,WT E 25nM,WT E 0nM,WT E 5nM,WT E 10nM,WT E 15nM,WT E 20nM,WT E 25nM,WT EA 0nM,WT EA 5nM,WT EA 10nM,WT EA 15nM,WT EA 20nM,WT EA 25nM,WT EA 0nM,WT EA 5nM,WT EA 10nM,WT EA 15nM,WT EA 20nM,WT EA 25nM,KO UT 0nM,KO UT 5nM,KO UT 10nM,KO UT 15nM,KO UT 20nM,KO UT 25nM,KO UT 0nM,KO UT 5nM,KO UT 10nM,KO UT 15nM,KO UT 20nM,KO UT 25nM,KO E 0nM,KO E 5nM,KO E 10nM,KO E 15nM,KO E 20nM,KO E 25nM,KO E 0nM,KO E 5nM,KO E 10nM,KO E 15nM,KO E 20nM,KO E 25nM,KO EA 0nM,KO EA 5nM,KO EA 10nM,KO EA 15nM,KO EA 20nM,KO EA 25nM,KO EA 0nM,KO EA 5nM,KO EA 10nM,KO EA 15nM,KO EA 20nM,KO EA 25nM
30,14.1577,11.90795,13.21309,7.72763,10.53839,10.55814,15.59207,13.53465,7.720973,11.58539,7.589973,9.718384,12.74771,10.44314,12.89173,6.622391,6.940525,8.396029,11.53378,6.199208,10.93545,9.940193,8.100175,8.677356,16.66827,11.04313,13.05572,8.407639,8.880436,10.31743,11.37535,12.01577,10.04823,7.453357,9.044044,10.42812,8.510929,8.159333,9.49497,8.618965,8.289598,11.6566,9.942567,8.982735,9.704385,8.585914,9.330679,7.63974,8.113987,6.23069,8.124111,5.905676,6.040193,6.865558,10.34226,7.570749,7.829163,4.818397,8.914667,5.647263,6.346939,4.479929,5.088675,6.082464,5.208424,4.92966,5.942792,6.334834,4.891451,5.200144,7.157194,7.197846
33,15.44317,12.99972,14.30606,8.331188,11.11902,10.81355,17.60474,15.06936,8.907445,12.0719,8.269573,10.3132,13.76285,11.11685,13.83716,6.609586,7.34165,8.441324,12.66424,6.727747,11.51956,10.10312,8.256101,9.123586,18.60574,11.72778,13.48669,8.369243,9.515662,10.03727,12.20298,12.9393,11.061,8.005456,9.795023,10.51889,9.303362,8.018039,9.96162,8.902715,8.73139,11.90566,10.89311,9.827445,10.15212,9.009949,9.206165,7.406594,8.508317,6.280406,8.447027,5.927717,6.212201,6.98121,10.36198,7.723995,7.913127,4.825909,8.876903,5.364111,6.657919,4.615641,5.14196,6.190143,5.335258,4.843528,6.161392,6.501328,5.195688,5.264065,7.146508,7.200799
36,16.66915,14.37964,15.24165,8.684389,12.00774,10.97665,19.57204,16.13336,9.414797,13.05312,8.891209,10.66473,14.82435,11.93709,14.24697,6.832591,7.502202,8.503708,13.6825,7.220177,12.24951,10.33355,8.275223,9.380309,20.17482,12.755,14.62199,8.605001,10.19053,10.28846,12.32069,14.08649,11.84393,8.292109,10.07,10.28557,9.814932,8.93558,10.2452,9.22616,8.527542,10.64418,11.61672,10.6347,10.49144,9.052769,9.753451,8.13159,8.802209,6.494756,8.110727,5.740156,6.300399,7.337126,11.00886,8.07636,8.108216,4.981118,9.009966,5.451216,6.726091,4.799036,5.223944,6.114698,5.289229,4.889863,6.269531,6.633557,5.111519,5.190002,7.343954,6.994765
39,19.08009,15.66317,17.08687,8.900034,12.80543,11.31957,21.89779,17.55371,10.25901,13.78054,9.466559,10.90977,15.50761,12.80921,15.00787,6.931971,7.920775,8.513832,14.52338,7.278548,13.04682,10.46851,8.503605,8.975942,21.71359,13.67937,15.14428,8.759885,10.47548,10.55148,14.42014,15.17681,12.71889,8.458345,10.50732,10.22661,10.42141,9.378943,10.6228,9.429154,8.75589,11.08827,12.35027,11.2323,10.99517,9.372301,10.1057,7.889343,8.909561,6.6599,8.338699,5.819869,6.603867,7.072515,11.23194,8.043563,8.387853,4.977225,8.781379,5.568984,6.904517,4.770644,5.312346,6.247131,5.171939,4.921277,6.326605,6.777054,5.132877,5.197958,7.267041,7.150282
42,21.12404,17.29014,18.67534,9.446911,13.65366,12.4167,24.63167,19.44065,11.2655,15.01615,10.02498,11.19776,16.41622,13.42136,15.47447,7.427201,8.422612,9.517147,15.08838,8.186104,13.73328,10.69766,9.434311,9.940073,22.89221,14.43101,16.35957,9.313129,10.83344,11.46927,14.85681,16.04154,13.44347,9.014986,11.34416,10.89891,10.91426,9.174463,11.58266,10.50921,9.410459,13.06002,13.90886,10.8864,11.27146,9.935465,10.37189,8.383993,9.42569,6.928898,8.695571,6.304309,6.744939,7.489568,11.77297,8.444534,8.330436,5.187475,8.805622,5.633536,7.330876,4.807777,5.524117,6.586862,5.396241,5.245574,6.869213,6.749395,5.377939,5.459804,7.252001,7.60276
45,23.31659,19.1748,20.59097,10.20994,14.44763,12.84031,27.93773,22.46066,13.01678,15.60968,10.36104,11.2754,17.51572,13.78464,15.78956,7.801761,8.610122,9.43653,15.88406,8.49297,13.94925,11.06073,9.004553,10.1759,24.43999,14.98902,16.97919,9.376861,11.48892,12.0795,15.07642,17.5779,14.01546,8.963511,11.39599,10.71531,11.80242,9.891192,12.32055,10.77261,9.753418,10.83535,14.35704,11.79245,11.80783,10.20491,10.95587,8.772433,9.646645,6.727457,9.118822,6.342346,6.750898,7.454621,12.11448,8.612734,8.345564,5.237721,8.687547,5.82108,7.332191,5.025011,5.486762,6.691125,5.386425,5.202756,6.607691,7.114958,5.352279,5.630771,7.422507,7.66284
48,26.09085,21.69746,23.66228,10.93473,15.34217,13.44155,31.93367,24.8745,14.22129,16.80779,11.08854,12.30843,17.80972,14.35281,16.54647,7.920606,8.833638,9.931605,16.54319,8.694087,14.68912,11.09238,9.38352,10.18038,26.48022,15.80338,18.37672,9.372354,11.76934,12.37252,16.50459,18.79285,15.00811,9.148478,11.97494,10.97257,12.49829,10.68622,12.82821,11.08979,9.881035,12.33339,15.7772,12.69676,12.72854,10.39991,11.42037,8.655144,9.865825,7.105926,8.7136,6.55584,6.801877,7.380354,12.19752,8.861912,8.554414,5.148055,8.543265,5.849813,7.363436,5.207588,5.522597,6.71897,5.308624,5.220478,7.069869,7.29895,5.527702,5.715486,7.186492,7.736577
51,29.29588,24.27747,26.46546,11.44241,16.426,13.65311,35.16363,27.82888,16.02082,18.52221,12.0955,12.07501,18.54806,14.75244,16.95906,8.138966,9.184381,9.954672,17.12086,9.11102,15.2948,11.59446,9.3701,10.14257,27.0936,16.50172,18.75905,9.836818,12.2735,13.07383,17.1358,19.30872,16.08236,9.624739,12.19624,11.05144,13.35664,11.95009,12.45459,11.20585,10.25116,12.35611,16.73529,13.40407,13.67925,10.45248,11.63436,9.116142,9.904955,6.956556,8.839221,6.399899,6.948055,7.545225,12.15629,9.042969,8.465516,5.126748,8.36938,5.871445,7.43893,5.24426,5.706795,6.68761,5.43626,5.22828,7.152671,7.322186,5.582403,5.820586,7.433245,7.774069
54,33.00959,27.98344,29.09297,11.5857,16.80249,14.08837,39.31184,31.08383,18.11149,19.87779,12.99545,12.41207,19.25196,15.4021,16.96005,8.838435,9.408957,10.56542,17.47289,9.258938,15.75844,11.89334,9.592626,9.918442,28.67068,17.86442,19.33857,9.705733,12.149,12.96171,19.3304,20.13281,16.55726,9.904904,12.62132,10.71868,14.40804,12.73724,13.64895,11.32601,10.74546,12.08706,17.88111,14.36431,15.12086,10.97129,11.72361,9.177315,9.956345,7.016192,8.948677,6.404081,6.97165,7.321454,12.35445,9.058896,8.631464,5.224387,8.529161,5.950715,7.431349,5.205898,5.564477,6.768483,5.544058,5.222475,7.269757,7.538277,5.68373,5.710671,7.358671,7.730039
57,36.82856,30.66891,32.954,12.44872,18.14323,15.08484,44.50545,34.75864,19.97557,21.14241,13.67321,12.67033,19.72987,15.52127,17.65386,9.038239,9.44464,10.39984,18.21098,9.719614,16.08014,11.82243,9.741158,10.06581,30.64364,18.52517,20.56195,10.42154,12.67988,13.17948,19.24834,21.61297,17.29308,9.881104,13.001,10.70705,15.55048,13.49531,14.39026,11.47388,10.6566,13.66294,19.48632,15.17675,16.15883,11.03719,12.29523,9.428129,10.09624,7.143299,8.872274,6.310147,6.858645,7.44646,12.45604,8.763453,8.600117,5.191642,8.743051,5.876327,7.566839,5.373331,5.765986,6.830115,5.568216,5.293378,7.253639,7.540103,5.507352,5.835541,7.3599,7.867627
60,41.02436,34.19681,35.58337,12.95576,19.05574,15.41053,50.01293,37.95446,22.11421,22.15959,14.15952,12.60054,20.37883,15.95493,17.82051,10.00652,9.658511,11.04786,18.22571,9.956908,16.69951,12.11358,9.904528,10.04261,31.63707,19.38542,21.2137,10.40107,13.11964,14.77133,20.43733,22.2714,18.57966,9.763167,13.44855,10.67067,16.97334,14.1529,14.93345,11.69297,11.15081,15.26606,21.37031,16.22499,16.52902,11.7887,12.77438,9.566607,9.83622,7.21649,8.992006,6.43961,6.953859,7.523099,12.47886,8.698217,8.598854,5.128557,8.871098,5.956621,7.537748,5.358767,5.659128,6.962838,5.544194,5.256262,7.346242,7.652733,5.670124,5.927614,7.417999,7.657188
63,45.78374,38.68112,39.52808,14.16881,20.59917,16.30282,56.71125,42.90193,25.08307,24.23444,15.36414,13.16679,21.15376,16.88186,18.24506,9.830109,10.14133,10.64528,18.73028,10.38757,17.00514,12.60063,9.745275,9.827361,33.68546,20.1314,21.87285,10.78825,13.1214,14.13393,20.9879,23.75252,19.03312,10.28889,13.58906,10.79127,18.54612,15.07801,15.70557,12.10279,11.92974,15.06177,23.14508,17.51893,17.12496,12.19132,12.92835,10.22842,9.800556,7.126977,8.761883,6.40526,6.963624,7.577203,12.61466,8.615569,8.67983,5.199153,8.633512,5.842746,7.490251,5.608729,5.77775,6.879114,5.545765,5.258703,7.269142,7.606175,5.7539,5.988991,7.511353,7.651708
66,52.04663,44.13654,45.28228,15.36018,22.52776,17.06381,62.39283,48.81013,29.33028,25.69401,16.46287,13.53936,21.44231,17.32907,19.23422,10.70427,10.38692,11.23004,18.70557,10.56323,17.79061,12.87102,9.86777,10.01784,34.50018,20.72706,23.1685,10.99533,13.8831,15.15757,22.23655,24.87383,19.75921,10.20084,13.55795,10.971,20.47616,16.43897,16.26074,12.72099,12.5204,15.88952,25.23625,18.85868,17.62781,13.07737,13.25093,10.29514,10.08639,7.392305,8.78295,6.378966,6.914232,7.585807,12.77588,8.820374,8.533056,5.190651,9.025486,5.962529,7.709021,5.758305,5.546141,7.07161,5.423012,5.453316,7.40096,7.740912,5.493198,6.248975,7.395992,7.660894
69,57.48623,50.33263,50.25737,16.87942,24.78178,18.63083,69.32164,54.70302,34.00645,28.04892,17.5764,13.94968,22.12969,18.05615,19.74925,11.54386,10.56724,12.42361,19.95049,11.24489,18.87521,14.35736,10.29756,10.1269,35.97663,22.67559,24.09402,11.62275,14.33974,18.61637,23.58615,25.59846,21.15975,10.82062,14.44427,11.70006,22.30116,17.64799,17.39989,12.83948,12.99905,16.32319,27.25471,20.5705,18.95436,13.35823,13.68495,11.18413,10.15055,7.63595,9.015327,6.648392,6.816628,7.743696,13.22515,9.057615,8.610088,5.257748,9.362862,6.017384,7.7439,5.606424,5.847441,6.968406,5.59514,5.384991,7.389316,7.659476,5.734999,6.490778,7.523047,8.035965
72,63.02092,54.81054,56.21553,18.32605,26.13795,19.20053,75.42566,60.35468,37.81859,29.84732,19.12255,13.98314,22.68189,18.45654,21.01537,11.65669,10.94716,12.51528,20.36884,11.49067,19.73926,13.8367,9.968859,10.29123,37.22713,23.25156,25.32211,11.80377,14.31357,19.67726,24.68849,27.53078,22.19301,11.26859,14.72726,11.46705,25.11244,18.82674,18.77267,13.38724,14.09405,16.99101,30.17344,21.403,20.26374,13.93702,14.58397,11.46394,10.33734,8.108917,8.799614,6.588706,7.090373,7.890181,13.33576,9.035286,8.675102,5.355062,9.08787,5.936834,7.798807,5.772218,5.901697,6.819188,5.68501,5.43556,7.17997,7.588266,5.599834,6.566854,7.511165,7.80905
75,68.07304,59.55607,62.31464,20.05409,27.844,20.49902,80.80171,65.78156,41.987,33.05022,19.68311,15.04575,23.54139,19.94315,21.06322,13.91158,11.91741,14.48737,21.42336,11.93798,20.48587,15.6216,10.80855,10.67854,38.73851,24.64041,26.15226,13.2757,15.60695,21.11772,26.54884,28.32178,23.52071,13.06673,15.23979,12.00878,27.31389,21.34492,19.31057,13.75729,14.3927,16.22903,33.65319,22.93279,21.38913,14.5398,14.83492,11.80164,10.53682,7.75237,8.981524,6.699644,7.031967,8.072451,13.47354,9.110712,8.663082,5.342206,9.807503,6.423049,7.96018,6.065494,5.969904,7.04624,5.801089,5.489459,7.615889,7.832218,5.975128,6.720082,7.635063,8.162013
78,73.24864,64.15086,65.40968,20.92502,28.88086,21.38689,85.5584,70.7023,47.40046,34.59124,21.27064,14.78845,23.44184,19.66914,20.94865,13.97005,11.66606,14.88151,21.32623,12.32676,21.01287,14.49125,10.19502,10.37046,39.46912,24.31103,26.67805,13.06327,15.23313,19.60116,26.86563,28.39208,23.74575,13.31785,14.84156,12.19993,29.50279,21.92251,20.64675,14.82111,14.71208,16.91471,35.93046,24.67575,22.48354,14.80973,15.16188,11.67853,10.35624,7.500836,8.896143,6.46486,6.786477,7.806165,13.22199,8.875656,8.221547,5.417105,9.392532,6.271255,8.088447,5.906768,5.833134,6.735241,5.701861,5.332732,7.384844,7.467853,5.724892,6.534074,7.824775,7.792184
81,78.47066,69.19907,70.96508,22.40463,31.14305,22.35532,89.60411,76.07903,52.91636,36.25032,23.45036,15.34636,24.45058,20.1715,22.15096,15.42045,12.31889,15.43592,22.1027,12.35136,21.75949,15.38195,10.52567,10.33876,40.57498,25.04444,27.65437,13.91146,16.10946,22.79869,27.23006,29.1312,24.41113,13.51214,15.80327,11.86971,32.49474,24.00761,21.90775,14.44851,15.19722,18.01667,39.41788,26.59519,23.94594,14.9151,15.46757,11.99855,10.21887,7.74274,8.91762,6.360443,6.92953,7.587548,13.40745,8.992654,8.312082,5.402627,9.404433,6.312469,8.062359,5.639665,5.859255,6.762269,5.577366,5.220751,7.396761,7.809649,5.777169,6.900387,7.579439,7.921799
84,83.43526,74.74624,76.11792,24.06511,33.20867,23.83458,91.84384,81.32094,58.64324,39.95484,25.02165,15.91039,24.75974,20.56765,22.08243,14.87211,11.86798,16.82935,22.53148,12.94002,21.21988,17.13695,10.70767,10.41637,41.49112,25.54054,28.3954,13.80655,16.98107,22.61856,28.05985,30.98982,25.13414,14.92432,15.77939,11.82988,35.44261,25.65158,22.73077,14.78597,15.12118,17.62588,42.61864,27.93624,25.37845,15.30084,16.42288,12.62526,10.22056,7.842565,8.97997,6.539433,6.688308,7.574608,13.45394,9.407403,8.842688,5.338314,9.251358,6.362407,8.090581,5.670772,5.80749,6.777257,5.625955,5.353714,7.44219,7.951319,5.563333,7.060359,7.73842,8.031696
87,86.47302,78.37457,80.20573,26.3126,36.02372,24.73559,93.75152,85.44064,63.74494,44.28654,26.68341,16.08151,25.65086,21.03829,22.84415,16.98911,12.17842,19.59302,24.45057,13.40574,22.6318,16.86745,11.38761,10.87404,42.43695,27.88863,30.21394,13.78008,18.13219,24.18972,30.92449,32.45752,27.14182,15.1582,16.5886,12.55318,39.86255,28.05107,24.39839,14.49374,16.79966,17.66834,47.27354,30.79222,26.11371,15.59533,17.49317,13.67252,10.25001,7.774172,9.036703,6.672175,6.718852,8.034736,13.78426,9.164663,9.159352,5.422466,9.178628,6.313442,8.349661,5.717073,5.69353,6.990088,5.703501,5.505166,7.65555,8.142569,6.047226,6.872456,7.827763,8.013224
90,89.22256,82.32934,83.77363,28.69386,38.29247,25.54172,95.74184,86.60075,67.98244,47.37571,28.51899,16.22207,26.83754,23.14909,23.98041,17.1572,13.036,20.85809,25.48671,14.33606,23.84516,18.36952,11.46483,10.89617,44.36151,30.71457,32.82112,16.58075,18.3023,25.83807,31.28017,34.26853,28.19612,16.20807,17.57795,11.90271,42.38484,30.31709,25.14903,15.67328,16.22784,18.2544,50.38568,32.38909,28.10006,15.73357,17.40197,13.10333,10.36329,7.974418,9.090122,6.88304,6.599838,8.024577,13.73743,9.49152,9.36549,5.176054,9.354307,6.49933,8.545877,6.179797,5.839947,6.853915,5.671335,5.390249,7.605903,7.971686,5.936389,6.557155,7.693536,8.11252
93,91.48656,85.50165,86.3004,30.69397,39.874,25.46151,96.84604,88.82939,70.04469,49.69761,29.84444,16.32899,26.55663,23.72097,23.38013,17.21277,12.42881,20.2011,25.15374,13.88925,24.02468,18.11204,10.93875,10.89314,44.00218,31.04875,32.36965,15.62916,18.62306,26.17848,31.92897,34.93254,29.11138,14.94337,16.73623,12.02597,46.32717,32.12808,25.95657,15.57303,16.22203,18.57744,54.97017,33.8368,28.95616,15.73416,17.79457,13.72207,10.46993,7.840379,9.010974,6.569397,6.586897,7.691692,13.48653,9.316696,8.970407,5.275879,9.332556,6.449529,8.53881,5.868577,5.765783,6.642315,5.517407,5.308591,7.592944,7.976671,5.824034,6.497555,7.434935,7.853047
96,92.74011,87.83269,88.25,32.66776,43.1813,26.91082,97.72697,91.36822,74.60797,52.78709,32.78587,17.1006,27.35259,23.9999,24.87509,17.5181,13.12174,21.27117,26.19837,14.85101,25.82149,19.00559,10.99643,10.76402,44.97504,32.845,34.04773,15.75038,19.61424,26.59968,32.09215,36.51328,30.49352,16.33306,17.24327,12.06901,50.64468,35.26826,28.65291,16.40193,16.36493,18.92867,59.33288,36.87352,30.41743,15.91124,18.6648,13.78468,10.26033,7.999685,8.760893,6.417705,6.607623,7.632399,13.61816,8.916032,9.072453,5.312107,9.143338,6.322764,8.444602,5.839827,5.736554,6.694267,5.512747,5.347039,7.430446,8.005985,5.796615,6.891749,7.319882,7.990499
