Elapsed,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM
36,9.712033,7.870018,9.276404,7.855625,9.087425,7.472922,7.72548,5.252165,6.459449,6.338061,6.0643,13.01341,10.67731,11.72208,9.900825,11.04004,7.512428,6.977454,7.398895,6.219986,5.736434,6.846829,9.780786,10.98242,12.99847,12.50552,12.15904,14.68229,7.928851,6.099981,8.861024,5.304066,8.946951,11.64657,5.825656,8.248607,12.30127,9.394872,12.6948,12.3509,11.33764,9.749456,14.06646,11.41455,9.4373,11.43205,6.297974,14.39231,5.08427,5.370923,6.9479,5.855499,6.005381,9.311181,7.763996,5.924132,7.856428,6.613394,4.285931,6.665157,4.273537,3.77817,7.641379,5.360423,7.928339,7.28881,7.204538,6.974296,5.987386,9.575006,4.322074,9.218237,5.768906,3.136405,6.191184,5.662065,4.257625,5.140986,6.568014,6.394623,6.237059,7.384246,4.822972,8.360621,4.314938,4.422308,5.126407,5.740071,4.657691,4.583288,8.620588,6.326264,5.381815,6.716462,4.123365,8.173844
39,10.22816,8.180674,10.55063,8.843081,9.850459,8.291903,8.428094,6.514543,7.516202,6.670502,6.59545,13.52602,10.79885,12.19894,10.2725,12.39213,8.161775,7.373064,7.995742,6.467028,6.212013,6.981654,10.1793,11.66065,13.2723,12.70856,12.77345,15.33942,8.331751,6.413899,9.343534,5.355352,9.204716,12.16343,6.173257,8.34208,13.50429,9.667559,14.04104,13.35338,12.0145,11.68884,14.59679,12.62262,10.42255,12.91308,6.903528,15.32595,5.664421,5.814729,7.88586,7.567284,6.907831,9.677188,8.482298,7.011104,9.142008,8.100432,4.821111,6.894309,4.402061,4.086999,8.182091,5.779133,8.564556,7.905854,7.25574,7.380098,6.18946,10.61315,4.624587,9.423162,6.504743,3.337795,6.43821,6.365326,4.401019,5.214912,7.060479,6.651909,5.957578,7.549664,4.812233,8.584257,4.698716,4.656752,5.454135,5.968743,4.765437,4.963498,9.075935,6.842476,5.693701,7.94466,4.363766,8.992279
42,11.48359,9.914857,11.38715,9.666704,10.30267,9.430929,10.01714,6.888761,8.268514,7.732906,7.332396,15.36235,11.42409,12.88839,11.24319,12.98239,8.58605,7.946418,9.334981,6.879763,6.754141,7.033623,11.22905,12.84233,13.6287,13.10083,12.79707,16.07219,8.492559,6.390355,9.49719,5.680418,9.449369,12.15143,6.577268,8.877687,14.47687,10.80189,15.06551,15.22077,12.3044,12.29839,16.27981,13.22754,11.63854,13.38616,7.14719,16.9467,6.491409,6.140444,8.389764,7.848029,8.010851,10.60851,9.275414,7.699306,9.407352,8.227795,5.20839,7.415899,4.741552,4.641181,8.887657,6.249795,9.001055,7.995418,7.699854,8.050374,6.832523,11.24203,4.736635,9.923702,6.390457,3.090513,6.314347,6.530232,4.533777,5.487871,7.417401,7.15962,6.370158,7.745985,5.123044,7.899213,4.765949,4.78111,5.978048,6.315218,4.776654,5.431121,9.207157,7.414158,6.276019,8.111291,4.572498,9.400848
45,13.04408,11.3881,12.68075,11.01648,12.4636,10.56888,10.10577,7.675012,8.962932,8.868433,7.675285,17.20672,12.35519,14.32542,12.14453,13.93562,9.374198,7.954237,9.850921,7.793464,7.047776,7.762596,11.74502,13.2232,14.00099,12.85959,13.19266,16.37521,9.051249,6.608289,9.73008,5.860587,9.783125,12.61032,6.78366,8.687155,15.7533,12.20486,15.90673,16.1083,14.4786,13.4495,17.80118,14.52811,12.62818,14.51385,7.824382,18.9973,6.510428,7.234656,8.45167,8.410917,9.525155,11.40859,10.47398,7.942594,10.75185,9.271625,5.419614,8.481497,4.810834,4.823467,9.287963,6.574348,9.077728,8.338939,8.471406,8.075865,6.945954,12.0236,4.996961,10.23171,6.946176,3.471116,6.747961,6.696794,4.898229,5.427588,7.82807,7.283568,6.718528,8.172342,5.134738,8.840691,4.593378,5.019804,6.275404,6.383987,4.944411,5.16482,9.529167,7.893698,6.352624,8.197474,4.558908,9.953289
48,13.81788,13.29448,13.53753,12.20143,14.1111,10.74123,11.63671,9.63862,10.06093,9.225868,8.414469,19.12048,13.41353,14.28069,12.60595,14.51851,9.678964,8.875416,10.3902,8.11375,7.502458,8.11998,12.33839,13.06647,14.28501,13.24338,13.52128,16.47527,9.295372,6.654522,9.127239,6.111369,10.019,12.6387,6.834589,8.65919,17.11632,13.35239,17.95489,17.26129,15.43199,14.52198,19.38068,15.93443,12.6884,15.38262,8.686302,20.10677,7.020169,7.056227,9.747698,8.507464,9.349066,13.5334,11.7876,8.455511,10.51095,9.595444,6.202179,8.846102,5.301044,5.305552,9.309748,6.877048,9.702233,9.125379,8.942546,8.014778,7.348274,12.40274,5.727402,10.64981,7.463276,3.4165,7.027084,6.918023,4.804482,5.558672,7.822538,7.930439,6.941379,9.013757,5.437438,8.573569,5.098578,4.759769,6.947969,6.724059,5.061786,5.339936,9.791097,8.460838,6.190399,8.797326,4.683949,10.49764
51,15.99363,14.87021,14.75661,13.9565,15.47725,12.04329,13.44187,11.65345,10.58208,11.32934,8.782814,21.30428,13.43178,15.29017,13.14672,15.63907,10.54483,10.07476,10.90779,8.709162,7.589016,8.569882,13.20999,13.72813,14.17091,13.21093,13.63025,17.09855,9.513391,6.905235,9.017103,6.340878,9.655676,12.64858,7.069476,8.767568,18.87613,14.74365,19.24912,18.53307,16.82021,15.88705,21.4456,17.70438,13.62965,15.89632,9.399943,21.61089,7.44482,7.979778,11.24597,8.913095,10.95379,14.20166,12.00117,9.711811,11.67144,10.585,6.191628,9.636469,5.275213,5.611701,10.82931,7.038011,10.22179,9.57458,9.027996,8.935803,7.756091,12.63593,5.659589,10.1309,7.631255,3.592538,7.763245,7.217343,5.062282,5.631743,7.994308,8.134936,6.601819,9.012545,5.387227,8.93237,5.394842,5.596693,6.534705,6.648905,5.047872,5.240247,10.2096,8.831402,6.584147,8.884481,5.167962,10.85207
54,18.34233,16.57276,16.34706,15.76023,17.0658,14.04927,16.00516,12.57014,10.77524,11.75988,9.395504,23.11006,15.073,15.96845,14.15018,16.20657,11.35804,10.41917,11.53923,9.016915,7.90401,8.8838,13.66872,15.88594,14.00822,13.01947,14.11729,17.64754,9.439637,7.171418,9.986393,6.581467,10.27427,13.32176,7.27131,9.03532,20.04068,16.21003,20.18831,20.89246,19.66486,17.85873,22.71099,19.129,14.95529,17.20816,9.95136,23.935,8.775985,8.85008,11.87512,9.768614,11.92789,14.87861,12.17162,10.32614,12.44924,10.49499,7.215448,10.32474,5.031499,5.499071,11.12962,7.773027,9.93987,9.521109,9.605311,9.574819,7.560915,12.99939,6.337446,11.07328,7.565901,3.838693,7.710541,7.495373,5.252096,6.053322,8.153972,8.617071,7.84318,9.384765,5.620424,9.7947,5.218599,5.482869,6.928609,6.986519,4.74157,5.319534,9.799992,8.71051,6.842373,9.596792,5.277245,11.00873
57,20.70358,18.89804,18.96153,18.59464,19.34323,16.00195,16.04245,14.03687,12.11101,13.85303,11.17276,25.98428,15.35955,17.04952,14.98224,17.35848,11.83974,10.92939,11.86954,9.4675,8.485901,9.588802,14.37925,16.02334,14.16985,13.01155,14.43264,17.45623,9.679373,7.149837,9.670444,6.471383,10.25486,13.19305,7.226426,9.336483,21.74557,17.743,22.18199,21.48681,21.45656,18.95579,24.77517,20.15528,15.1381,18.54962,11.24512,25.33382,9.301451,9.675531,12.95734,11.4237,12.65707,14.81867,15.12676,11.86942,13.63532,12.08402,7.85962,9.975756,5.387159,5.754651,11.11781,8.110556,10.87599,9.743106,9.762056,9.698102,7.694971,13.07945,6.265434,10.87701,8.031937,3.796301,8.541593,7.530287,5.584383,6.057282,8.943877,8.597966,7.704276,9.353095,5.645607,10.03875,5.357111,5.520139,6.775432,7.313241,5.012736,5.408551,9.666364,8.895784,6.723342,9.685621,5.554643,11.27178
60,23.45686,20.44362,22.22031,20.88266,21.22557,18.31039,17.8805,16.12925,14.76943,15.1856,12.40168,29.34143,16.10609,18.66001,15.65259,18.58738,12.38643,11.89267,12.60431,9.514126,8.875587,10.18956,14.90439,16.93213,13.93608,13.55552,14.0308,17.51485,9.608606,7.573976,9.726204,6.477631,10.49723,13.73084,7.024711,9.226688,23.54326,19.13448,23.51967,24.43936,23.41283,19.57542,25.99446,21.93566,17.60686,19.94649,12.963,26.12152,9.455685,10.38434,14.67126,11.9648,15.03848,15.81946,14.91121,13.31,13.8523,13.16736,8.470997,10.51217,5.827005,6.116235,11.20658,8.203125,10.91305,10.38137,10.52833,10.31021,7.839833,14.03638,6.335756,11.51835,7.971533,3.790548,8.411891,8.202561,5.886998,6.419123,9.380856,8.831711,7.968255,9.785378,5.863319,10.33278,5.487888,5.654689,6.481677,7.302843,5.417941,5.53576,10.27002,9.092342,6.931835,10.10921,5.827585,11.38696
63,26.84556,23.85501,22.94883,22.94918,24.00172,20.65117,22.57271,16.762,17.64172,17.56486,14.55551,32.82148,16.30683,19.31818,17.48889,18.31138,12.63178,11.69999,13.28402,10.03198,9.065641,10.52748,15.56466,17.85503,13.92459,13.63232,14.79127,17.92989,9.920629,7.134864,10.02452,6.644654,10.84748,13.15716,7.426877,9.186005,23.96597,20.26543,25.37428,25.36679,24.34814,21.42785,27.70154,23.39121,16.86503,21.61788,14.17148,28.67075,10.27689,11.32915,16.01957,14.17448,16.48193,17.92805,16.96274,14.89449,14.96918,13.1109,9.69117,11.97009,6.030751,6.52564,11.1568,8.122028,11.9178,10.39808,10.56799,10.76768,7.814736,14.36201,7.067171,11.94831,8.342951,4.147351,8.691065,8.540705,5.936339,6.761483,9.710223,9.317788,8.404772,10.29215,6.152702,10.3687,5.48893,5.301368,6.833649,8.177703,5.262989,5.746933,10.8001,9.353727,7.05563,9.963004,5.901288,11.80302
66,30.15471,26.87396,24.10898,27.94681,26.12945,23.17391,26.55914,20.1491,20.8252,20.27581,16.5051,35.98921,16.60238,21.08484,17.90201,19.62739,13.56913,12.58541,13.80322,10.68689,9.175795,10.73582,16.14584,18.67133,13.93739,13.76755,14.98098,17.76055,9.744949,7.172168,9.770525,6.509915,11.01537,14.01249,7.593183,9.402009,25.30606,22.05621,27.4531,27.67616,27.41323,23.79103,29.15901,24.25651,19.31097,22.21745,14.76917,29.60154,10.69954,12.71247,16.46,15.21901,19.18785,19.92053,18.63781,16.27532,17.26334,15.46641,9.779658,12.07207,6.205252,7.005435,11.6811,8.399565,12.29514,11.12854,11.00168,10.64253,8.552877,15.41272,6.842271,11.99907,8.508027,4.155068,8.786774,8.55829,6.277811,6.689248,9.587624,9.678075,9.043395,10.34557,6.089123,10.36886,5.66565,5.753865,7.092371,7.965114,5.475886,5.834722,10.68419,9.686817,7.114992,10.35272,6.150978,11.89905
69,34.09838,29.60528,28.59575,33.35077,30.14945,26.96475,32.97132,22.31179,23.45753,23.82911,19.81416,38.63611,17.94903,21.47514,18.11313,20.04671,13.73139,12.65452,14.3464,11.27487,9.96932,11.16515,17.01631,19.47866,13.70511,14.14008,15.22031,18.47257,9.884383,7.532916,9.153002,7.051515,11.28032,13.86333,7.642011,9.243795,26.1062,22.95072,29.25978,28.31712,29.37094,25.58534,30.55754,25.4877,19.97999,23.23329,15.61598,30.17034,12.54381,14.21317,17.48031,17.29968,20.57979,21.31428,19.56544,18.28359,18.05852,17.70014,10.82525,13.30437,6.315269,7.075212,11.86889,8.600221,13.01875,11.73434,11.09745,10.76523,8.719678,16.20298,7.066402,12.70031,9.148,4.606831,9.198347,9.157715,6.244741,7.147276,9.6679,9.845798,8.891704,10.52857,6.23518,10.5144,6.099742,6.220345,7.01124,8.256802,5.665223,5.94409,10.25816,10.106,7.088802,10.36242,5.868526,12.13029
72,36.90561,32.60526,31.26111,38.69198,35.67092,31.72321,37.52213,27.14517,27.08875,27.73157,24.18131,42.80833,18.7866,22.20592,18.75036,21.12583,14.21422,13.01439,14.93743,11.67965,10.34064,11.94939,17.81349,20.42164,13.62996,14.03733,15.06262,19.22452,10.06344,7.136845,9.621547,7.077824,10.95636,14.45504,7.721689,9.439484,27.05382,25.1627,32.21156,31.42399,31.5127,27.05746,31.30921,25.70773,20.6664,25.23081,16.41513,31.69134,12.85986,16.38709,20.24472,19.23463,21.41751,23.6723,23.29402,19.61723,20.74917,19.44811,11.9457,13.81655,6.434044,7.133157,12.64157,9.209838,13.76028,11.93901,12.06176,10.54961,8.930254,15.9528,7.419484,12.40907,8.664721,4.545847,9.409572,9.419235,6.229922,7.260896,10.08857,10.19325,8.813169,10.87034,6.636357,11.14381,6.252116,6.474883,7.291575,8.435536,5.766994,5.58592,10.75446,10.37553,7.158135,10.48289,6.115279,12.51999
