Elapsed,PC9 UT,PC9 A/E,PC9 E,KO UT,KO A/E,KO E,KIN UT,KIN A/E,KIN E,KD UT,KD A/E,KD E,M4 UT,M4 A/E,M4 E,M5 UT,M5 A/E,M5 E,M7 UT,M7 A/E,M7 E,M10 UT,M10 A/E,M10 E,M11 UT,M11 A/E,M11 E,M15 UT,M15 A/E,M15 E
30,2.111111,2.3888885,2.277778,2.388889,3.8888885,4.0555555,1.777778,3,3.166667,2.1111115,2.8333335,2.277778,1.7222225,2.333333,2.111111,2,2.6111115,2.5,1.722222,2.111111,1.888889,2.111111,2.333333,3.111111,1.8333335,1.888889,2.777778,1.49999985,2.3333335,2.833333
33,2.3333335,1.9444445,2.5555555,2.8333335,5,4.6666665,2,3.111111,3,2.111111,3.0555555,2.5555555,2.1666665,2.7222225,2.888889,2.1666665,3.2222225,2.5,1.722222,2.555556,1.888889,2.388889,2.4444445,3.4444445,1.4444445,2.111111,2.444444,1.83333335,2.611111,2.6666665
36,2.1666665,2,2.777778,2.6666665,6.111111,4.7777775,1.888889,3.777778,3.777778,2.111111,2.944444,2.611111,2.0555555,2.6666665,3,1.888889,3.5555555,3.055556,1.777778,3.1666665,2.111111,2.5555555,2.777778,3.3333335,1.611111,2.111111,2.9444445,1.4999998,3.277778,3.0555555
39,1.9444445,2.3333335,2.6666665,3.333333,6.6111115,5.6666665,1.888889,4,4.4444445,2.4444445,3.5,2.5,2.111111,3.1111115,3.277778,2.0555555,3.9444445,3.6666665,1.9444445,3.2222225,2.0555555,2.611111,3.277778,3.8333335,1.8333335,2,3.0555555,2,3.611111,2.555556
42,2,3.277778,2.722222,3,7.0555555,6.611111,2,4.4444445,4.777778,2.5,4,3.2777775,1.7222225,3.5555555,4.166667,2.1666665,4.3333335,4.111111,1.7777775,3.7222225,2.4444445,2.3333335,3.222222,4.4444445,1.7222225,2.5,3.888889,2.111111,3.5555555,2.888889
45,2.0555555,3.722222,2.9444445,3.111111,8.2777775,7.3333335,1.8333335,4.8888885,5.166667,2.5,4.4444445,3.777778,2,4.0555555,3.9444445,2.7222225,5.0555555,4.5,1.666667,4.0555555,2.9444445,2.833333,3.7777775,4.9444445,1.666667,3.111111,3.888889,2.4444445,4.1666665,2.8333335
48,2,4.388889,3.3333335,3.611111,8.944444,8.7222225,2.222222,4.9444445,5.5555555,2.111111,5.277778,4.1111115,2.111111,4.3333335,5.1111115,2.611111,5.388889,5,1.8333335,4,3.2222225,2.8888885,4.333333,5.222222,2.2777775,3.3333335,4.5555555,2.2222225,4.555556,3.6666665
51,1.777778,4.8333335,4.2777775,3.777778,10.833335,10.2222235,1.9444445,6.4444445,6.111111,2.611111,6.1666665,4.611111,2.388889,5.2777775,5.9444445,2.7222225,5.5,5.4444445,1.833333,4.6111115,3.8333335,3.111111,4.833333,6.222222,2.111111,3.8333335,4.888889,2.166667,5.333333,4
54,1.777778,5.8333335,4.5555555,3.666667,11.77778,11.44444,1.888889,7.111111,6.3333335,2.722222,6.722222,5.111111,2.6666665,6.5,6.222222,2.8333335,5.7777775,6.3333335,1.9444445,4.777778,4.277778,3.277778,5.5,6,2.1111115,4.1666665,5.888889,2.5,5.611111,4.6111115
57,2.111111,6.8333335,5.666667,3.4444445,13.11111,13.111115,2.333333,8,7,2.5,7.388889,5.277778,2.9444445,7.4444455,6.888889,3.666667,6.8333335,7.1111115,2.111111,5.4444445,5,4.166667,6.2222225,6.3888885,2.3333335,4.4444445,6.388889,2.5555555,5.944444,4.7777775
60,2,7.388889,6.3333335,3.5,15.5,13.72222,2.4444445,8.777778,7.5555555,3.5000005,8.2777775,5.722222,3,8.6111125,8.5,3.333333,7.2777775,7.8888885,2.111111,6.444445,5.9444445,3.9444445,8,7.1666665,2.4444445,5.611111,6.9444445,2.6666665,6.611111,5.5555555
63,2.3888885,8.2777775,8.1111115,3.6666665,17.166665,15.944445,2.888889,9.777778,8.6666665,3.1111115,9.6111125,6.8333335,2.888889,9.944444,9.444446,3.4444445,7.7222225,8.277778,1.944444,7.388889,6.4444445,4.3888885,8.500001,7.9444425,2.5555555,7.1666665,8.055556,2.722222,7.277778,6.5
66,2.888889,9,9.6666665,4.4444445,19.055555,17.77778,3.611111,11.27778,9.4999985,4,10.888885,8.0555555,3.055556,11.055554,10.8888895,3.611111,9.5555535,10.4999995,2.5555555,8.5555565,7.6111115,4.277778,9.4444455,8.4999995,2.8333335,8.3888875,8.9444455,2.611111,8.5,7.777778
69,3.166667,9.6111105,11.777779,5.0555555,21.944445,19.555555,3.7222225,13.27778,9.9444425,4.0555555,12.61111,9.8333315,3.2222225,12.6666665,12.44444,4.611111,10.0555535,11.8333355,3,9.833335,8.8333355,4.722222,11.0555575,10.2222245,3.111111,10.222221,9.9444455,2.9444445,9.2777755,8.333331
72,3.4444445,10.8333345,13.22222,4.8888885,23.722225,21.944445,3.888889,15.72222,11.944445,3.722222,13.5,10.4444445,3.722222,15.2777765,14.222225,4.277778,11.44444,13.72222,3,10.833334,10.944445,4.9444445,12.0555545,11.6666685,3.1666665,11.833335,11.2777785,3.5,10.1666675,10.0555555
74.51666667,3.3888885,11.722225,15.833335,5.2222225,26.055555,24.055555,4.611111,17.111115,13.5,4.388889,14.11111,11.6666675,4.3888885,15.2777775,14.833335,4.722222,12.88889,14.166665,2.8333335,11.666666,11.3333345,5.7222225,14.111109,13.1666645,3.4444445,12.83333,12.77778,4,11.0555575,10.4444425
77.51666667,4.1666665,12.777775,18.66667,6,28.27778,26.38889,4.6666665,18.38889,14.277775,5.2777775,15.555555,12.27778,4.0555555,17.27778,16.61111,5.111111,14.277775,16.11111,3.611111,12.5555555,13.27778,5.666667,15.6111125,15.666665,4.1666665,14.33333,14.61111,4.166667,11.88889,11.5555565
80.51666667,4.444445,15.944445,22.16667,6.5555555,30.055555,29.055555,5.888889,20.61111,16.22222,4.888889,16.5,14.166665,4.722222,18.222225,17.833335,5.055556,16.611115,17.944445,3.611111,13.3333335,14.611115,5.944444,17,16.944445,4.2222225,16.055555,16.944445,4.777778,12.5555545,13.5
83.51666667,5.277778,18.111115,27.388885,7.277778,32.555555,30.555555,6,23.27778,19.27778,4.8333335,17.55556,15.22222,5.6666665,20.83333,19.72222,5,19,20.83333,4.2777775,15.111115,17.38889,6.5,17.944445,18.5,3.777778,17.5,18.611115,5.777778,13.83333,14.38889
86.51666667,5.7777775,21,32.27778,7.833331,34.166665,32.27778,6.277778,25.38889,21.222225,5.111111,18.27778,17.16667,6.388889,21.833335,21.722225,5.888889,21.55556,22.72222,4.222222,16.166665,18.88889,7.111111,19.722225,20.111115,4.666667,19.22222,19.88889,6.111111,15.27778,15.444445
89.51666667,6.6666665,24.166665,37.33333,9.4444465,37.88889,34.444445,7.666667,27.166665,23.66667,5.777778,19.722225,18.444445,7.388889,24.88889,23,7.8333345,23,25.5,5.222222,17.61111,22,7.7222205,22,21,6.0555555,22.333335,21.61111,5.722222,16.61111,17.22222
92.51666667,8.444445,29.277775,42.944445,9.8333325,38.333335,38.222225,8.888889,29.333335,26.22222,6.3333335,21,20.555555,8.7222225,26.5,24,11.6666675,24.05556,27.833335,6.1666665,18.944445,24.27778,8.2777775,23.277775,23,8.2222225,24.83333,22.166665,6.6666665,17.66667,19.055555
95.51666667,13.05556,34.555555,49.666665,12.6111125,41.27778,38.833335,10.0555575,31.27778,30.72222,7.1666665,23.055555,22.611115,10.9999975,27.66667,26.05556,15.166669,27.16667,30.722225,7.1111115,21.722225,26.055555,9.944446,25.444445,25.555555,13.4444425,26.22222,24.333335,8.444445,18.66667,20.777775
98.51666667,19.72222,40.88889,55.944445,16.055555,41.33333,41.83333,12.777775,33.333335,31.555555,8.388889,25.666665,24.333335,14.388891,30.05556,26.666665,19.7777795,27.666665,32.722225,8.4444445,23.38889,27.5,11.500001,26.666665,27.77778,17.7777775,27.27778,25.722225,10.944446,20.555555,21.166665
101.5166667,29.38889,48.66667,61.166665,22.833335,46.111115,44.38889,18.666665,35,34.111115,10.2222225,26.94444,24.66667,19.499999,33.38889,29.388885,29.11111,30.27778,36.333335,11.666665,26.5,28.833335,17.555556,28.833335,30.555555,23.833335,30.88889,28,14.9444455,23,23.61111
104.5166667,41.11111,60.11111,66.88889,29,45.88889,46.83333,23.166665,36.944445,35.777775,10.5,27.722225,27.27778,25.444445,34.5,31.055555,36.72222,32.22222,38.11111,15.722225,26.611115,31.055555,22.6111125,29.555555,32.777775,32.88889,33.55556,28.88889,23,24.77778,25.722225
107.5166667,55.111115,70.333335,73.222225,38.666665,49.61111,49.22222,32.61111,39.94444,40.16667,14,29.555555,29.5,34.61111,37.77778,34,47.05556,34.66667,41,22.5,29.444445,32.66667,29.33333,32.555555,33.5,43.11111,36.88889,31.11111,30.38889,27.33333,27.666665
110.5166667,66.555555,80.27778,78.333335,46.61111,50.833335,51.944445,40.83333,42.5,40.555555,16.833335,30.38889,30.333335,42.777775,39.66667,36.38889,61.222225,36.77778,40.722225,31.333335,31.11111,35.555555,36.77778,34.777775,35,52.11111,38.944445,31.5,42.61111,28.388885,28.27778
113.5166667,83.388885,88.99999,84.61111,60.666665,53.88889,53.055555,53.22222,45.27778,43.333335,22.833335,31.88889,31.944445,51.83333,41.5,40.22222,73.66668,38.833335,43.333335,40.16667,32.5,37.944445,47.11111,35.444445,37.166665,67.88889,40.777775,32.77778,55.88889,30.11111,30.83333
116.5166667,94.944455,99.11113,88.66667,69.777775,53.444445,55.11111,63.16667,46.333335,46.88889,27.666665,32.944445,33.11111,65.49998,44.11111,43.16667,87,40.777775,46.11111,49.166665,34.055555,38.38889,58.61111,37.555555,38.22222,78.72223,43.166665,35.27778,69.44444,31.722225,30.16667
119.5166667,106.11113,108.777755,94.33332,84.444445,56.666665,57.61111,73.77778,49.833335,48.72222,35.66667,35.444445,35.16667,74.388905,46.16667,45.27778,106.33331,42.61111,48.11111,60.72222,38.33333,41.66667,70.05555,40,39.88889,93.83332,46.833335,38.333335,82.16666,34.5,34.38889
122.5166667,111.94445,116.49999,96.38888,92.38888,58.111115,59.666665,85.94444,51.38889,50.11111,44.61111,36.055555,35.5,86.333335,47.61111,47.22222,117.388895,44.11111,49.38889,69.833335,38.5,43.11111,82.66669,41.88889,40.88889,105.27776,48.11111,39.77778,97.22222,35.944445,34.11111
125.5166667,126.44445,126.8889,100.2222,105.22223,59.22222,60.5,99.055555,53.33333,53,52.833335,37.38889,38.166665,93.222235,49.11111,48.38889,128.88889,47.94444,51.666665,81.55555,40.83333,45.944445,93.1111,43.555555,43.333335,120.166655,50.5,42.5,111.55553,38.166665,36.88889
128.5166667,130.94445,134.5,103.88887,112.5,60.444445,62.444445,109.55555,54.111115,54.444445,59.666665,38.222225,38.5,106.2222,50.166665,49.83333,142.11113,48.88889,52.055555,88.44445,42.88889,46.38889,102.94445,44.166665,44,127.555545,51.11111,43.777775,121.61113,40.055555,35.777775
131.5166667,139.2778,139.2222,108.61115,124.05555,65.055555,64.44444,122.05555,57.277775,56.11111,72.83333,41.38889,41.38889,112.55554,51.61111,51.888885,149.2222,50.222225,54.22222,99.611105,44.5,48.444445,111.55555,47.111115,45.77778,138.1111,54.66667,45.388885,133.94445,40.72222,39.333335
134.5166667,141.44445,147.16665,109.22225,133.16665,63.11111,65.666665,128.6111,57.222225,57.38889,76.11111,41,42.61111,119.444445,52.72222,52.333335,158.3889,51.38889,55.11111,107.1111,45.722225,48.5,119.66669,46.88889,47.16667,143.6111,55.94444,48.055555,139.44445,41.833335,40.38889
137.5166667,148.5,153,114,140.05555,66.66667,68.11111,139.94445,61.27778,59.166665,83.77778,42.944445,43.222225,126.61113,54.500005,53.11111,164.2222,54.555555,57.777775,112.94445,46.944445,49.944445,126.88889,48.555555,50.388885,148.61115,59.222225,49.38889,145.3333,44.61111,42.666665
