Elapsed,PC9-UT,PC9-A/E,PC9-E,AXL KO-UT,AXL KO-A/E,AXL KO-E,Kin-UT,Kin-A/E,Kin-E,Kdead-UT,Kdead-A/E,Kdead-E,M4-UT,M4-A/E,M4-E,M5-UT,M5-A/E,M5-E,M7-UT,M7-A/E,M7-E,M10-UT,M10-A/E,M10-E,M11-UT,M11-A/E,M11-E,M15-UT,M15-A/E,M15-E
69,2.3,9.4,13.7,1.9,12.5,11,2.2,13.4,17.6,1.3,9.6,12.1,2.1,15.3,15.6,2,10.4,12.7,1.9,16.4,14.8,2.4,9.8,11.7,1.9,14.1,11.8,2.2,6.4,7.5
72,2.3,11.7,16.5,2.1,13.4,12.3,2.2,15.2,19.9,1.3,10.8,12.6,2.1,16.1,17,2.1,12.2,15.3,2.1,18.2,15.9,2.1,11.7,13.1,2.4,15,12.8,2.2,7.1,7.7
75,2.8,13.5,20.9,2.4,14.4,13.2,2.7,17.1,20.9,1.4,11.7,13,2.3,17.3,18.5,2.1,13.7,16.4,1.9,19.3,17.4,2.3,12.6,13.9,2.3,16,14.5,4.7,8.3,8.8
78,3.6,15.7,24.8,2.1,15.1,14.8,2.8,18.7,22.8,1.7,12.5,14.7,2.8,18.2,19.8,2.2,15.6,17.8,1.9,21.6,18.9,2.6,13.3,14.9,2,17.1,15.7,3.2,9.4,9.6
81,4.1,18.2,27.7,2.3,16.6,15.8,2.4,20.2,26,1.4,13.8,15.5,2.6,19.8,20.8,2.1,18.1,19.3,2.3,22.9,20.4,2.3,15.8,16.8,2.1,18.8,16.7,4.4,10.1,10.4
84,4.4,21.2,32.9,2.2,16.6,16.9,2.8,21.5,27.5,1.6,15.1,16.6,2.7,21.3,20.6,2.3,19.4,20.5,2.9,24.9,22.4,2.6,17.4,18,2.3,18.9,17.4,4.4,10.3,11.8
87,4.7,25.6,36.1,2.2,16.8,17.4,3.6,22.8,27.9,1.9,15.8,17.3,2.9,21.7,21.7,2.6,19.5,22.7,2.8,25.6,23.5,3.2,19.6,18.6,2.3,19.5,17.7,4.1,11.3,12.4
90,6.1,30.2,41.3,2.4,17.8,18.9,3.4,22.3,29.7,1.9,15.6,17.7,3.4,23.2,23.3,3,21.8,23.8,3.1,27.2,24,2.9,21,19.4,2.8,20.9,18.2,3.3,11.5,13.4
93,8.7,36.9,45.8,2.7,18.2,19.3,4.4,23.4,31.7,2.5,14.9,18.7,4,24.4,24.2,3.3,21.4,25.9,4.3,30.4,25.3,3.4,20.7,21.1,4,21.9,19.2,4.3,12.9,16.1
96,12.3,41.6,51.8,2.6,18.1,19.2,5.2,23.9,33.3,3.1,15.1,18.4,4.8,24.7,25.5,3.8,23.3,26.7,5.3,32.2,26.8,3.5,21.8,21.9,4.7,22.8,20.8,4.4,13,14.9
99,19.3,47.3,55.4,2.8,19.1,19,6.6,25.6,33.1,3.5,16.3,18.2,5.7,26.7,26.3,4.3,23.2,27.1,6.8,34.4,26.7,3.5,22.3,22.2,5.5,23.5,20.7,3.8,13.3,15.1
102,29.3,55.9,59.8,3.4,19.4,19.2,8.3,25.8,34.1,3.4,16.9,17.9,6,28.4,27.2,4.6,24.3,27.5,8.2,35.4,27.4,4.4,23.6,22.6,6.7,23.5,21,5.3,13.8,15.5
105,40.6,60.6,63.8,3.3,19.8,19.7,10.7,26.9,35.3,3.8,16.2,17.7,7.3,29.3,27.2,5.4,25.4,27.3,11.2,36.3,26.6,4.6,24.8,21.5,10.9,23.9,21.6,5.7,14.1,16.8
108,54,66.8,68.2,3.4,20.2,20.3,13.8,26.7,34.8,4.9,16.7,17.9,8.5,30.2,27.9,6.1,26.2,28.7,15.3,37.6,26.8,5.9,25.1,22.2,14.6,24.8,21,6.4,14.2,16.8
111,70.6,74.2,70.9,3.9,20.1,21.1,20.7,27.6,37.2,6.4,17.2,18,11.7,30.9,29.6,9.5,26.5,30,23,39,28.6,8.1,25.6,23.7,19.6,26.2,20.8,8.2,14.4,17.1
114,85.7,77.1,74,4.5,19.8,21.1,28.4,27.3,36.5,7.6,17.1,18.4,13.4,31.6,29.1,12.3,26.9,30.9,30.5,38.7,28.6,10.1,26,22.9,26.3,26.1,20.6,10.9,14.1,16.9
117,95.6,83.7,76.3,5,19.6,20.3,34.4,28.1,36.9,9.8,17.3,18.7,16.4,31.5,30.1,15.1,26.4,29.3,39.6,39.3,29.8,11.8,25,23.8,35.7,26.1,21,15.9,13.8,17.4
120,104.1,87.3,76.6,5,19.2,19.7,44.7,28.4,36,12.3,17.3,18.3,20.9,32.3,29.2,18.9,26.4,30.4,51.5,39,29.3,14.9,24.7,22.6,44.7,26.8,21.3,20.5,14.2,17.3
123,114.1,91.6,78.1,6.3,18.8,19.8,55.1,27.8,36.1,15.8,17.7,18,25.4,32.1,30.6,22.5,26.6,29.3,64.4,40.6,28.4,19.4,24.9,23,57.1,26.6,20.3,25.2,14.3,17.1
126,124,98.2,82.1,7.9,18.2,20.3,65.7,30,37.4,19.6,17.4,18.4,31.6,34.1,31.6,28.6,28.2,31.1,76.7,42.6,29.3,25.4,25.8,23.6,73.4,28.4,21.2,33.3,14.8,17.3
129,127.6,100.5,82.7,9.8,18.2,20,78.3,29.1,37.9,22.8,17.5,17.5,37,35.3,33.5,34.6,27.1,30.1,90.4,41.5,28.8,30.1,26.1,22.3,86,28.4,21.2,41.6,15.3,17.7
132,129,106.9,83.9,11.6,17.9,20.2,89.1,28.4,38,27,17.2,16.3,42.9,35,32.6,38.4,28.6,30.6,104,42.9,28.9,37.3,26.3,23,88.2,28.3,22.2,48.7,14.2,17.5
135,128.2,107.2,82.3,14.1,16.9,19.1,101.9,28.3,37,32.3,17.3,15.5,48.3,34,32.7,42.8,26.4,30.2,110.7,42.5,28.2,41.8,25.7,21.9,95.4,27.9,21.4,54.7,14.6,16.3
138,154.6,116.8,88.3,21.2,17.7,19.8,121.2,33.2,41.1,42.9,17.4,17.3,64.8,37.9,36.7,60.6,31.4,32.8,130.7,45,31.5,54.2,28.6,24.8,117.2,29.6,23.6,76.8,15.1,18.6
141,182,124.1,96.8,26.6,18.2,21.3,137.1,36.9,38.8,51.4,16.7,17.5,82.6,42.7,39.3,76.4,36.1,34.9,146.7,49.3,34.5,66.5,30,26.9,133.2,32.6,26.1,94.2,16.4,20.9
144,180.1,131.1,102.4,30.4,19.9,22.3,147.9,39.4,42.4,56.1,17.1,18.1,90.5,42.8,41.8,86.9,37.1,35.7,163.1,52.2,33.3,71.9,31.5,27.1,143.2,32.9,26.8,104.4,18.2,20.9
147,163.4,130.7,100.1,30.1,18.3,20.1,148.9,37.1,41.8,58.7,15.6,16.4,94.5,40.5,37.6,89.3,34.1,32.3,158.6,49.1,30.5,73.3,29.6,25.1,138.7,31.5,25.4,103.4,16.8,19.6
150,159,133.3,101.8,31.6,17.7,19.4,155.7,37.5,41.9,64.1,15.6,16.2,99.4,39.4,37.9,95.6,34.3,32.9,164.7,48.6,30.4,79.7,30.7,25.1,146.4,32.6,26.7,109.3,16.6,20
153,144.1,129.3,95.9,33.6,16.9,18.4,155.2,36.1,40.3,64.9,15.6,14.4,100.8,37.6,34.8,94.3,32.9,30.7,157.4,48.1,29.4,78.3,29.2,23.7,139.6,30.6,24.2,109.9,15.2,17.7
156,136.8,130.2,95.8,37.2,16.2,17.8,155.9,35,39.8,69.4,14.1,13.9,106.1,36.8,34.8,97.9,33.4,30.1,160.8,48.3,28.9,83.7,28.7,24.2,148,31.5,24.6,113.8,15.5,17.7
159,118.7,128.5,90.7,36.6,15.2,15.4,148.1,33.4,36.6,68.3,12.8,12.4,102.8,35.2,32.1,94.9,29.8,27.3,149.9,45,26.9,82.7,27.6,21.7,139.7,29,21.9,104.9,14.1,16
